,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Xanax,,,,,,,,,,,,,,,,,,,
1,Klonopin,,,,,,,,,,,,,,,,,,,
2,clonazepam,,,,,,,,,,,,,,,,,,,
3,Zoloft,,,,,,,,,,,,,,,,,,,
4,alprazolam,,,,,,,,,,,,,,,,,,,
5,Ativan,,,,,,,,,,,,,,,,,,,
6,BuSpar,,,,,,,,,,,,,,,,,,,
7,Xanax XR,,,,,,,,,,,,,,,,,,,
8,lorazepam,,,,,,,,,,,,,,,,,,,
9,Alprazolam Intensol,,,,,,,,,,,,,,,,,,,
10,Prozac,,,,,,,,,,,,,,,,,,,
11,Niravam,,,,,,,,,,,,,,,,,,,
12,buspirone,,,,,,,,,,,,,,,,,,,
13,Effexor XR,,,,,,,,,,,,,,,,,,,
14,Paxil,,,,,,,,,,,,,,,,,,,
15,sertraline,,,,,,,,,,,,,,,,,,,
16,Lorazepam Intensol,,,,,,,,,,,,,,,,,,,
17,fluoxetine,,,,,,,,,,,,,,,,,,,
18,citalopram,,,,,,,,,,,,,,,,,,,
19,propranolol,,,,,,,,,,,,,,,,,,,
20,paroxetine,,,,,,,,,,,,,,,,,,,
21,Anafranil,,,,,,,,,,,,,,,,,,,
22,bupropion,,,,,,,,,,,,,,,,,,,
23,Paxil CR,,,,,,,,,,,,,,,,,,,
24,venlafaxine,,,,,,,,,,,,,,,,,,,
25,Prozac Weekly,,,,,,,,,,,,,,,,,,,
26,Vanspar,,,,,,,,,,,,,,,,,,,
27,Rapiflux,,,,,,,,,,,,,,,,,,,
28,nortriptyline,,,,,,,,,,,,,,,,,,,
29,Pexeva,,,,,,,,,,,,,,,,,,,
30,clomipramine,,,,,,,,,,,,,,,,,,,
31,imipramine,,,,,,,,,,,,,,,,,,,
32,chlordiazepoxide,,,,,,,,,,,,,,,,,,,
33,fluvoxamine,,,,,,,,,,,,,,,,,,,
34,maprotiline,,,,,,,,,,,,,,,,,,,
35,nefazodone,,,,,,,,,,,,,,,,,,,
36,desvenlafaxine,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,
