,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,carbidopa / levodopa,,,,,,,,,,,,,,,,,,,
1,Sinemet,,,,,,,,,,,,,,,,,,,
2,Azilect,,,,,,,,,,,,,,,,,,,
3,Mirapex,,,,,,,,,,,,,,,,,,,
4,ropinirole,,,,,,,,,,,,,,,,,,,
5,Requip,,,,,,,,,,,,,,,,,,,
6,amantadine,,,,,,,,,,,,,,,,,,,
7,Sinemet CR,,,,,,,,,,,,,,,,,,,
8,pramipexole,,,,,,,,,,,,,,,,,,,
9,Comtan,,,,,,,,,,,,,,,,,,,
10,Cogentin,,,,,,,,,,,,,,,,,,,
11,Neupro,,,,,,,,,,,,,,,,,,,
12,Eldepryl,,,,,,,,,,,,,,,,,,,
13,Mirapex ER,,,,,,,,,,,,,,,,,,,
14,Requip XL,,,,,,,,,,,,,,,,,,,
15,selegiline,,,,,,,,,,,,,,,,,,,
16,Akineton,,,,,,,,,,,,,,,,,,,
17,Stalevo,,,,,,,,,,,,,,,,,,,
18,Artane,,,,,,,,,,,,,,,,,,,
19,Exelon,,,,,,,,,,,,,,,,,,,
20,Apokyn,,,,,,,,,,,,,,,,,,,
21,benztropine,,,,,,,,,,,,,,,,,,,
22,Rytary,,,,,,,,,,,,,,,,,,,
23,trihexyphenidyl,,,,,,,,,,,,,,,,,,,
24,carbidopa / entacapone / levodopa,,,,,,,,,,,,,,,,,,,
25,entacapone,,,,,,,,,,,,,,,,,,,
26,rasagiline,,,,,,,,,,,,,,,,,,,
27,levodopa,,,,,,,,,,,,,,,,,,,
28,Parcopa,,,,,,,,,,,,,,,,,,,
29,Stalevo 100,,,,,,,,,,,,,,,,,,,
30,Duopa,,,,,,,,,,,,,,,,,,,
31,Parlodel,,,,,,,,,,,,,,,,,,,
32,Zelapar,,,,,,,,,,,,,,,,,,,
33,rivastigmine,,,,,,,,,,,,,,,,,,,
34,Stalevo 150,,,,,,,,,,,,,,,,,,,
35,rotigotine,,,,,,,,,,,,,,,,,,,
36,apomorphine,,,,,,,,,,,,,,,,,,,
37,biperiden,,,,,,,,,,,,,,,,,,,
38,bromocriptine,,,,,,,,,,,,,,,,,,,
39,Stalevo 200,,,,,,,,,,,,,,,,,,,
40,Tasmar,,,,,,,,,,,,,,,,,,,
41,Trihexane,,,,,,,,,,,,,,,,,,,
42,belladonna,,,,,,,,,,,,,,,,,,,
43,Belladonna Tincture,,,,,,,,,,,,,,,,,,,
44,Stalevo 50,,,,,,,,,,,,,,,,,,,
45,Stalevo 75,,,,,,,,,,,,,,,,,,,
46,Stalevo 125,,,,,,,,,,,,,,,,,,,
47,tolcapone,,,,,,,,,,,,,,,,,,,
48,Xadago,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,
