,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,prednisone,,,,,,,,,,,,,,,,,,,
1,dapsone,,,,,,,,,,,,,,,,,,,
2,Decadron,,,,,,,,,,,,,,,,,,,
3,dexamethasone,,,,,,,,,,,,,,,,,,,
4,niacinamide,,,,,,,,,,,,,,,,,,,
5,Doryx,,,,,,,,,,,,,,,,,,,
6,doxycycline,,,,,,,,,,,,,,,,,,,
7,prednisolone,,,,,,,,,,,,,,,,,,,
8,azathioprine,,,,,,,,,,,,,,,,,,,
9,rituximab,,,,,,,,,,,,,,,,,,,
10,Baycadron,,,,,,,,,,,,,,,,,,,
11,Dexamethasone Intensol,,,,,,,,,,,,,,,,,,,
12,mycophenolate mofetil,,,,,,,,,,,,,,,,,,,
13,Achromycin V,,,,,,,,,,,,,,,,,,,
14,Dynacin,,,,,,,,,,,,,,,,,,,
15,Prelone,,,,,,,,,,,,,,,,,,,
16,minocycline,,,,,,,,,,,,,,,,,,,
17,Doxy 100,,,,,,,,,,,,,,,,,,,
18,Monodox,,,,,,,,,,,,,,,,,,,
19,Minocin,,,,,,,,,,,,,,,,,,,
20,PediaPred,,,,,,,,,,,,,,,,,,,
21,tetracycline,,,,,,,,,,,,,,,,,,,
22,cyclophosphamide,,,,,,,,,,,,,,,,,,,
23,Morgidox,,,,,,,,,,,,,,,,,,,
24,Ridaura,,,,,,,,,,,,,,,,,,,
25,Vibramycin,,,,,,,,,,,,,,,,,,,
26,Dexacen-4,,,,,,,,,,,,,,,,,,,
27,Dexasone,,,,,,,,,,,,,,,,,,,
28,methotrexate,,,,,,,,,,,,,,,,,,,
29,cyclosporine,,,,,,,,,,,,,,,,,,,
30,infliximab,,,,,,,,,,,,,,,,,,,
31,Millipred,,,,,,,,,,,,,,,,,,,
32,auranofin,,,,,,,,,,,,,,,,,,,
33,Doxy 200,,,,,,,,,,,,,,,,,,,
34,Ocudox,,,,,,,,,,,,,,,,,,,
35,Oraxyl,,,,,,,,,,,,,,,,,,,
36,Vibra-Tabs,,,,,,,,,,,,,,,,,,,
37,De-Sone LA,,,,,,,,,,,,,,,,,,,
38,Dexasone LA,,,,,,,,,,,,,,,,,,,
39,Dexpak Taperpak,,,,,,,,,,,,,,,,,,,
40,Millipred DP,,,,,,,,,,,,,,,,,,,
41,Orapred ODT,,,,,,,,,,,,,,,,,,,
42,Solurex,,,,,,,,,,,,,,,,,,,
43,Solurex LA,,,,,,,,,,,,,,,,,,,
44,Veripred 20,,,,,,,,,,,,,,,,,,,
45,Zema Pak,,,,,,,,,,,,,,,,,,,
46,Ala-Tet,,,,,,,,,,,,,,,,,,,
47,Brodspec,,,,,,,,,,,,,,,,,,,
48,etanercept,,,,,,,,,,,,,,,,,,,
49,Myrac,,,,,,,,,,,,,,,,,,,
50,Panmycin,,,,,,,,,,,,,,,,,,,
51,Sumycin,,,,,,,,,,,,,,,,,,,
52,Tetracap,,,,,,,,,,,,,,,,,,,
53,Tetracon,,,,,,,,,,,,,,,,,,,
54,Ximino,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,
