,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Visipaque,,,,,,,,,,,,,,,,,,,
1,Optiray 350,,,,,,,,,,,,,,,,,,,
2,Ultravist,,,,,,,,,,,,,,,,,,,
3,iodixanol,,,,,,,,,,,,,,,,,,,
4,ioversol,,,,,,,,,,,,,,,,,,,
5,iopromide,,,,,,,,,,,,,,,,,,,
6,Optiray 160,,,,,,,,,,,,,,,,,,,
7,Optiray 240,,,,,,,,,,,,,,,,,,,
8,Optiray 300,,,,,,,,,,,,,,,,,,,
9,Optiray 320,,,,,,,,,,,,,,,,,,,
10,Oxilan,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,
