,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Vitamin B12,,,,,,,,,,,,,,,,,,,
1,cyanocobalamin,,,,,,,,,,,,,,,,,,,
2,Nascobal,,,,,,,,,,,,,,,,,,,
3,B-12 Dots,,,,,,,,,,,,,,,,,,,
4,Cobal 1000,,,,,,,,,,,,,,,,,,,
5,Depo-Cobolin,,,,,,,,,,,,,,,,,,,
6,B-12,,,,,,,,,,,,,,,,,,,
7,CaloMist,,,,,,,,,,,,,,,,,,,
8,Cobolin-M,,,,,,,,,,,,,,,,,,,
9,Vita #12,,,,,,,,,,,,,,,,,,,
10,Neuroforte-R,,,,,,,,,,,,,,,,,,,
11,LA-12,,,,,,,,,,,,,,,,,,,
12,Vitabee 12,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,
