,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,ibuprofen,,,,,,,,,,,,,,,,,,,
1,acetaminophen,,,,,,,,,,,,,,,,,,,
2,Advil,,,,,,,,,,,,,,,,,,,
3,IBU,,,,,,,,,,,,,,,,,,,
4,Motrin,,,,,,,,,,,,,,,,,,,
5,Proprinal,,,,,,,,,,,,,,,,,,,
6,Nuprin,,,,,,,,,,,,,,,,,,,
7,Midol IB,,,,,,,,,,,,,,,,,,,
8,Advil Liqui-Gels,,,,,,,,,,,,,,,,,,,
9,Motrin IB,,,,,,,,,,,,,,,,,,,
10,Addaprin,,,,,,,,,,,,,,,,,,,
11,IBU-200,,,,,,,,,,,,,,,,,,,
12,Haltran,,,,,,,,,,,,,,,,,,,
13,Q-Profen,,,,,,,,,,,,,,,,,,,
14,Actiprofen,,,,,,,,,,,,,,,,,,,
15,Ibu-6,,,,,,,,,,,,,,,,,,,
16,Ibu-Tab,,,,,,,,,,,,,,,,,,,
17,A-G Profen,,,,,,,,,,,,,,,,,,,
18,Ibu-4,,,,,,,,,,,,,,,,,,,
19,Ibu-8,,,,,,,,,,,,,,,,,,,
20,Genpril,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
