,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Enbrel,,,,,,,,,,,,,,,,,,,
1,Otezla,,,,,,,,,,,,,,,,,,,
2,Humira,,,,,,,,,,,,,,,,,,,
3,Taclonex,,,,,,,,,,,,,,,,,,,
4,Dovonex,,,,,,,,,,,,,,,,,,,
5,calcipotriene,,,,,,,,,,,,,,,,,,,
6,Cosentyx,,,,,,,,,,,,,,,,,,,
7,betamethasone,,,,,,,,,,,,,,,,,,,
8,Taclonex Scalp,,,,,,,,,,,,,,,,,,,
9,betamethasone / calcipotriene,,,,,,,,,,,,,,,,,,,
10,etanercept,,,,,,,,,,,,,,,,,,,
11,Calcitrene,,,,,,,,,,,,,,,,,,,
12,methylprednisolone,,,,,,,,,,,,,,,,,,,
13,Taltz,,,,,,,,,,,,,,,,,,,
14,dexamethasone,,,,,,,,,,,,,,,,,,,
15,Sorilux,,,,,,,,,,,,,,,,,,,
16,adalimumab,,,,,,,,,,,,,,,,,,,
17,apremilast,,,,,,,,,,,,,,,,,,,
18,Enstilar,,,,,,,,,,,,,,,,,,,
19,secukinumab,,,,,,,,,,,,,,,,,,,
20,hydroxyurea,,,,,,,,,,,,,,,,,,,
21,Sernivo,,,,,,,,,,,,,,,,,,,
22,Amjevita,,,,,,,,,,,,,,,,,,,
23,Inflectra,,,,,,,,,,,,,,,,,,,
24,infliximab,,,,,,,,,,,,,,,,,,,
25,Remicade,,,,,,,,,,,,,,,,,,,
26,brodalumab,,,,,,,,,,,,,,,,,,,
27,Erelzi,,,,,,,,,,,,,,,,,,,
28,ixekizumab,,,,,,,,,,,,,,,,,,,
29,Siliq,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,
