,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,doxycycline,,,,,,,,,,,,,,,,,,,
1,Vibramycin,,,,,,,,,,,,,,,,,,,
2,Doryx,,,,,,,,,,,,,,,,,,,
3,Monodox,,,,,,,,,,,,,,,,,,,
4,Doxy 100,,,,,,,,,,,,,,,,,,,
5,Oraxyl,,,,,,,,,,,,,,,,,,,
6,Vibra-Tabs,,,,,,,,,,,,,,,,,,,
7,Morgidox,,,,,,,,,,,,,,,,,,,
8,Doxy 200,,,,,,,,,,,,,,,,,,,
9,Ocudox,,,,,,,,,,,,,,,,,,,
10,Sclerosol,,,,,,,,,,,,,,,,,,,
11,sterile talc,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
