,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Bactrim,,,,,,,,,,,,,,,,,,,
1,dapsone,,,,,,,,,,,,,,,,,,,
2,sulfamethoxazole / trimethoprim,,,,,,,,,,,,,,,,,,,
3,Bactrim DS,,,,,,,,,,,,,,,,,,,
4,Mepron,,,,,,,,,,,,,,,,,,,
5,pentamidine,,,,,,,,,,,,,,,,,,,
6,Septra,,,,,,,,,,,,,,,,,,,
7,atovaquone,,,,,,,,,,,,,,,,,,,
8,SMZ-TMP DS,,,,,,,,,,,,,,,,,,,
9,Septra DS,,,,,,,,,,,,,,,,,,,
10,Co-trimoxazole,,,,,,,,,,,,,,,,,,,
11,Pentam 300,,,,,,,,,,,,,,,,,,,
12,Cotrim,,,,,,,,,,,,,,,,,,,
13,Nebupent,,,,,,,,,,,,,,,,,,,
14,Sulfatrim,,,,,,,,,,,,,,,,,,,
15,Wellcovorin,,,,,,,,,,,,,,,,,,,
16,Daraprim,,,,,,,,,,,,,,,,,,,
17,leucovorin,,,,,,,,,,,,,,,,,,,
18,Pentam,,,,,,,,,,,,,,,,,,,
19,pyrimethamine,,,,,,,,,,,,,,,,,,,
20,Sulfatrim Pediatric,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
