,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,metformin,,,,,,,,,,,,,,,,,,,
1,Loestrin 24 Fe,,,,,,,,,,,,,,,,,,,
2,desogestrel / ethinyl estradiol,,,,,,,,,,,,,,,,,,,
3,ethinyl estradiol / levonorgestrel,,,,,,,,,,,,,,,,,,,
4,ethinyl estradiol / norethindrone,,,,,,,,,,,,,,,,,,,
5,Microgestin Fe 1 / 20,,,,,,,,,,,,,,,,,,,
6,Seasonique,,,,,,,,,,,,,,,,,,,
7,Aviane,,,,,,,,,,,,,,,,,,,
8,Gildess Fe 1 / 20,,,,,,,,,,,,,,,,,,,
9,Microgestin 1 / 20,,,,,,,,,,,,,,,,,,,
10,Ortho-Novum 1 / 35,,,,,,,,,,,,,,,,,,,
11,Levora,,,,,,,,,,,,,,,,,,,
12,Necon 1 / 35,,,,,,,,,,,,,,,,,,,
13,drospirenone / ethinyl estradiol / levomefolate calcium,,,,,,,,,,,,,,,,,,,
14,drospirenone / ethinyl estradiol,,,,,,,,,,,,,,,,,,,
15,Estrostep Fe,,,,,,,,,,,,,,,,,,,
16,Loestrin 1 / 20,,,,,,,,,,,,,,,,,,,
17,Lutera,,,,,,,,,,,,,,,,,,,
18,Seasonale,,,,,,,,,,,,,,,,,,,
19,Jolessa,,,,,,,,,,,,,,,,,,,
20,Orsythia,,,,,,,,,,,,,,,,,,,
21,Triphasil,,,,,,,,,,,,,,,,,,,
22,Falmina,,,,,,,,,,,,,,,,,,,
23,femhrt,,,,,,,,,,,,,,,,,,,
24,Microgestin 1.5 / 30,,,,,,,,,,,,,,,,,,,
25,Loestrin Fe 1 / 20,,,,,,,,,,,,,,,,,,,
26,Ortho-Novum 7 / 7 / 7,,,,,,,,,,,,,,,,,,,
27,Quasense,,,,,,,,,,,,,,,,,,,
28,Sronyx,,,,,,,,,,,,,,,,,,,
29,Vestura,,,,,,,,,,,,,,,,,,,
30,Zenchent Fe,,,,,,,,,,,,,,,,,,,
31,Zeosa,,,,,,,,,,,,,,,,,,,
32,Alyacen 1 / 35,,,,,,,,,,,,,,,,,,,
33,Alyacen 7 / 7 / 7,,,,,,,,,,,,,,,,,,,
34,Amethia Lo,,,,,,,,,,,,,,,,,,,
35,Brevicon,,,,,,,,,,,,,,,,,,,
36,Briellyn,,,,,,,,,,,,,,,,,,,
37,CamreseLo,,,,,,,,,,,,,,,,,,,
38,Chateal,,,,,,,,,,,,,,,,,,,
39,Cyclafem 1 / 35,,,,,,,,,,,,,,,,,,,
40,Cyclafem 7 / 7 / 7,,,,,,,,,,,,,,,,,,,
41,Enpresse,,,,,,,,,,,,,,,,,,,
42,Femcon Fe,,,,,,,,,,,,,,,,,,,
43,Gildagia,,,,,,,,,,,,,,,,,,,
44,Gildess Fe 1.5 / 30,,,,,,,,,,,,,,,,,,,
45,Junel 1.5 / 30,,,,,,,,,,,,,,,,,,,
46,Junel 1 / 20,,,,,,,,,,,,,,,,,,,
47,Kurvelo,,,,,,,,,,,,,,,,,,,
48,Leena,,,,,,,,,,,,,,,,,,,
49,Lessina,,,,,,,,,,,,,,,,,,,
50,Levlen,,,,,,,,,,,,,,,,,,,
51,Levlite,,,,,,,,,,,,,,,,,,,
52,Loestrin 21 1.5 / 30,,,,,,,,,,,,,,,,,,,
53,LoSeasonique,,,,,,,,,,,,,,,,,,,
54,Modicon,,,,,,,,,,,,,,,,,,,
55,Myzilra,,,,,,,,,,,,,,,,,,,
56,Necon 0.5 / 35,,,,,,,,,,,,,,,,,,,
57,Necon 7 / 7 / 7,,,,,,,,,,,,,,,,,,,
58,Nordette,,,,,,,,,,,,,,,,,,,
59,Nortrel 1 / 35,,,,,,,,,,,,,,,,,,,
60,Nortrel 7 / 7 / 7,,,,,,,,,,,,,,,,,,,
61,Ovcon 35,,,,,,,,,,,,,,,,,,,
62,Portia,,,,,,,,,,,,,,,,,,,
63,Preven EC,,,,,,,,,,,,,,,,,,,
64,Tilia Fe,,,,,,,,,,,,,,,,,,,
65,Tri-Legest,,,,,,,,,,,,,,,,,,,
66,Tri-Legest Fe,,,,,,,,,,,,,,,,,,,
67,Tri-Norinyl,,,,,,,,,,,,,,,,,,,
68,Triphasil-28,,,,,,,,,,,,,,,,,,,
69,Trivora,,,,,,,,,,,,,,,,,,,
70,Trivora-28,,,,,,,,,,,,,,,,,,,
71,Wera,,,,,,,,,,,,,,,,,,,
72,Wymzya Fe,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,
