,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,prednisone,,,,,,,,,,,,,,,,,,,
1,Acthar,,,,,,,,,,,,,,,,,,,
2,immune globulin intravenous,,,,,,,,,,,,,,,,,,,
3,Carimune,,,,,,,,,,,,,,,,,,,
4,corticotropin,,,,,,,,,,,,,,,,,,,
5,Privigen,,,,,,,,,,,,,,,,,,,
6,Flebogamma,,,,,,,,,,,,,,,,,,,
7,Gammagard S / D,,,,,,,,,,,,,,,,,,,
8,H.P. Acthar Gel,,,,,,,,,,,,,,,,,,,
9,Gamimune,,,,,,,,,,,,,,,,,,,
10,Gammaplex,,,,,,,,,,,,,,,,,,,
11,Octagam,,,,,,,,,,,,,,,,,,,
12,Polygam S / D,,,,,,,,,,,,,,,,,,,
13,Gamimune N 5%,,,,,,,,,,,,,,,,,,,
14,Gammar-P I.V.,,,,,,,,,,,,,,,,,,,
15,Sandoglobulin,,,,,,,,,,,,,,,,,,,
16,Iveegam En,,,,,,,,,,,,,,,,,,,
17,Panglobulin NF,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,
