,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,prednisolone,,,,,,,,,,,,,,,,,,,
1,Durezol,,,,,,,,,,,,,,,,,,,
2,Pred Forte,,,,,,,,,,,,,,,,,,,
3,Lotemax,,,,,,,,,,,,,,,,,,,
4,Prolensa,,,,,,,,,,,,,,,,,,,
5,Nevanac,,,,,,,,,,,,,,,,,,,
6,Prednisol,,,,,,,,,,,,,,,,,,,
7,Acular,,,,,,,,,,,,,,,,,,,
8,ketorolac,,,,,,,,,,,,,,,,,,,
9,bromfenac,,,,,,,,,,,,,,,,,,,
10,Ilevro,,,,,,,,,,,,,,,,,,,
11,Omnipred,,,,,,,,,,,,,,,,,,,
12,diclofenac,,,,,,,,,,,,,,,,,,,
13,Voltaren Ophthalmic,,,,,,,,,,,,,,,,,,,
14,Acular LS,,,,,,,,,,,,,,,,,,,
15,nepafenac,,,,,,,,,,,,,,,,,,,
16,Alrex,,,,,,,,,,,,,,,,,,,
17,Acuvail,,,,,,,,,,,,,,,,,,,
18,loteprednol,,,,,,,,,,,,,,,,,,,
19,difluprednate,,,,,,,,,,,,,,,,,,,
20,Pred Mild,,,,,,,,,,,,,,,,,,,
21,Econopred,,,,,,,,,,,,,,,,,,,
22,Econopred Plus,,,,,,,,,,,,,,,,,,,
23,Inflamase Forte,,,,,,,,,,,,,,,,,,,
24,AK-Pred,,,,,,,,,,,,,,,,,,,
25,flurbiprofen,,,,,,,,,,,,,,,,,,,
26,Ocufen,,,,,,,,,,,,,,,,,,,
27,Vexol,,,,,,,,,,,,,,,,,,,
28,Acular PF,,,,,,,,,,,,,,,,,,,
29,dexamethasone / tobramycin,,,,,,,,,,,,,,,,,,,
30,rimexolone,,,,,,,,,,,,,,,,,,,
31,BromSite,,,,,,,,,,,,,,,,,,,
32,ketorolac / phenylephrine,,,,,,,,,,,,,,,,,,,
33,Omidria,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,
