,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Methergine,,,,,,,,,,,,,,,,,,,
1,Cytotec,,,,,,,,,,,,,,,,,,,
2,Hemabate,,,,,,,,,,,,,,,,,,,
3,methylergonovine,,,,,,,,,,,,,,,,,,,
4,Pitocin,,,,,,,,,,,,,,,,,,,
5,misoprostol,,,,,,,,,,,,,,,,,,,
6,Syntocinon,,,,,,,,,,,,,,,,,,,
7,oxytocin,,,,,,,,,,,,,,,,,,,
8,carboprost,,,,,,,,,,,,,,,,,,,
9,ergonovine,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
