,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Norditropin,,,,,,,,,,,,,,,,,,,
1,Genotropin,,,,,,,,,,,,,,,,,,,
2,Nutropin,,,,,,,,,,,,,,,,,,,
3,Omnitrope,,,,,,,,,,,,,,,,,,,
4,Saizen,,,,,,,,,,,,,,,,,,,
5,somatropin,,,,,,,,,,,,,,,,,,,
6,Humatrope,,,,,,,,,,,,,,,,,,,
7,Norditropin FlexPro,,,,,,,,,,,,,,,,,,,
8,Norditropin Nordiflex,,,,,,,,,,,,,,,,,,,
9,Nutropin AQ,,,,,,,,,,,,,,,,,,,
10,Nutropin Depot,,,,,,,,,,,,,,,,,,,
11,Serostim,,,,,,,,,,,,,,,,,,,
12,Zomacton,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,
