,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Lupron Depot-PED,,,,,,,,,,,,,,,,,,,
1,Supprelin LA,,,,,,,,,,,,,,,,,,,
2,tamoxifen,,,,,,,,,,,,,,,,,,,
3,leuprolide,,,,,,,,,,,,,,,,,,,
4,Soltamox,,,,,,,,,,,,,,,,,,,
5,Vantas,,,,,,,,,,,,,,,,,,,
6,Synarel,,,,,,,,,,,,,,,,,,,
7,Viadur,,,,,,,,,,,,,,,,,,,
8,histrelin,,,,,,,,,,,,,,,,,,,
9,nafarelin,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
