,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Prevident 5000 Plus,,,,,,,,,,,,,,,,,,,
1,fluoride,,,,,,,,,,,,,,,,,,,
2,Denta 5000 Plus,,,,,,,,,,,,,,,,,,,
3,PreviDent 5000 Booster,,,,,,,,,,,,,,,,,,,
4,Prevident,,,,,,,,,,,,,,,,,,,
5,ACT Fluoride Rinse,,,,,,,,,,,,,,,,,,,
6,SF 5000 Plus,,,,,,,,,,,,,,,,,,,
7,Prevident 5000 Sensitive,,,,,,,,,,,,,,,,,,,
8,Dentagel,,,,,,,,,,,,,,,,,,,
9,Gel-Kam,,,,,,,,,,,,,,,,,,,
10,Fluoridex,,,,,,,,,,,,,,,,,,,
11,Prevident 5000 Dry Mouth,,,,,,,,,,,,,,,,,,,
12,Biotene,,,,,,,,,,,,,,,,,,,
13,Control Rx,,,,,,,,,,,,,,,,,,,
14,Phos-Flur,,,,,,,,,,,,,,,,,,,
15,Clinpro 5000,,,,,,,,,,,,,,,,,,,
16,Neutral Sodium Fluoride Rinse,,,,,,,,,,,,,,,,,,,
17,Fluoritab,,,,,,,,,,,,,,,,,,,
18,Perio Med,,,,,,,,,,,,,,,,,,,
19,Prevident Dental Rinse,,,,,,,,,,,,,,,,,,,
20,SF,,,,,,,,,,,,,,,,,,,
21,Flura-Drops,,,,,,,,,,,,,,,,,,,
22,Luride,,,,,,,,,,,,,,,,,,,
23,Fluor-A-Day,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
