,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Vitamin D3,,,,,,,,,,,,,,,,,,,
1,cholecalciferol,,,,,,,,,,,,,,,,,,,
2,D 1000 IU,,,,,,,,,,,,,,,,,,,
3,D2000,,,,,,,,,,,,,,,,,,,
4,Replesta,,,,,,,,,,,,,,,,,,,
5,Thera-D 2000,,,,,,,,,,,,,,,,,,,
6,Carlson D,,,,,,,,,,,,,,,,,,,
7,Enfamil D-Vi-Sol,,,,,,,,,,,,,,,,,,,
8,Thera-D Rapid Repletion,,,,,,,,,,,,,,,,,,,
9,Delta D3,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
