,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,hydrocortisone,,,,,,,,,,,,,,,,,,,
1,fludrocortisone,,,,,,,,,,,,,,,,,,,
2,Florinef,,,,,,,,,,,,,,,,,,,
3,Cortef,,,,,,,,,,,,,,,,,,,
4,Decadron,,,,,,,,,,,,,,,,,,,
5,dexamethasone,,,,,,,,,,,,,,,,,,,
6,Florinef Acetate,,,,,,,,,,,,,,,,,,,
7,Solu-Cortef,,,,,,,,,,,,,,,,,,,
8,Dexamethasone Intensol,,,,,,,,,,,,,,,,,,,
9,Baycadron,,,,,,,,,,,,,,,,,,,
10,Dexasone,,,,,,,,,,,,,,,,,,,
11,Dexpak Taperpak,,,,,,,,,,,,,,,,,,,
12,Zema Pak,,,,,,,,,,,,,,,,,,,
13,Solurex,,,,,,,,,,,,,,,,,,,
14,A-Hydrocort,,,,,,,,,,,,,,,,,,,
15,De-Sone LA,,,,,,,,,,,,,,,,,,,
16,Dexacen-4,,,,,,,,,,,,,,,,,,,
17,Dexasone LA,,,,,,,,,,,,,,,,,,,
18,Solurex LA,,,,,,,,,,,,,,,,,,,
19,LoCort,,,,,,,,,,,,,,,,,,,
20,Zonacort,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
