,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,AndroGel,,,,,,,,,,,,,,,,,,,
1,testosterone,,,,,,,,,,,,,,,,,,,
2,Androderm,,,,,,,,,,,,,,,,,,,
3,Depo-Testosterone,,,,,,,,,,,,,,,,,,,
4,Axiron,,,,,,,,,,,,,,,,,,,
5,Testim,,,,,,,,,,,,,,,,,,,
6,Fortesta,,,,,,,,,,,,,,,,,,,
7,Delatestryl,,,,,,,,,,,,,,,,,,,
8,Gonal-f,,,,,,,,,,,,,,,,,,,
9,Aveed,,,,,,,,,,,,,,,,,,,
10,HCG,,,,,,,,,,,,,,,,,,,
11,Ovidrel,,,,,,,,,,,,,,,,,,,
12,Testopel,,,,,,,,,,,,,,,,,,,
13,chorionic gonadotropin (hcg),,,,,,,,,,,,,,,,,,,
14,Striant,,,,,,,,,,,,,,,,,,,
15,Vogelxo,,,,,,,,,,,,,,,,,,,
16,Android,,,,,,,,,,,,,,,,,,,
17,Methitest,,,,,,,,,,,,,,,,,,,
18,Novarel,,,,,,,,,,,,,,,,,,,
19,Natesto,,,,,,,,,,,,,,,,,,,
20,Pregnyl,,,,,,,,,,,,,,,,,,,
21,Testro AQ,,,,,,,,,,,,,,,,,,,
22,Androxy,,,,,,,,,,,,,,,,,,,
23,follicle stimulating hormone,,,,,,,,,,,,,,,,,,,
24,Follistim,,,,,,,,,,,,,,,,,,,
25,Halotestin,,,,,,,,,,,,,,,,,,,
26,methyltestosterone,,,,,,,,,,,,,,,,,,,
27,Testred,,,,,,,,,,,,,,,,,,,
28,Chorex,,,,,,,,,,,,,,,,,,,
29,fluoxymesterone,,,,,,,,,,,,,,,,,,,
30,Profasi,,,,,,,,,,,,,,,,,,,
31,Follistim AQ,,,,,,,,,,,,,,,,,,,
32,Follistim AQ Cartridge,,,,,,,,,,,,,,,,,,,
33,Gonal-f RFF,,,,,,,,,,,,,,,,,,,
34,Gonal-f RFF Pen,,,,,,,,,,,,,,,,,,,
35,Profasi HP,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,
