,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Cipro,,,,,,,,,,,,,,,,,,,
1,ciprofloxacin,,,,,,,,,,,,,,,,,,,
2,Levaquin,,,,,,,,,,,,,,,,,,,
3,Bactrim DS,,,,,,,,,,,,,,,,,,,
4,doxycycline,,,,,,,,,,,,,,,,,,,
5,oxybutynin,,,,,,,,,,,,,,,,,,,
6,Bactrim,,,,,,,,,,,,,,,,,,,
7,levofloxacin,,,,,,,,,,,,,,,,,,,
8,sulfamethoxazole / trimethoprim,,,,,,,,,,,,,,,,,,,
9,Doxy 100,,,,,,,,,,,,,,,,,,,
10,Keflex,,,,,,,,,,,,,,,,,,,
11,cephalexin,,,,,,,,,,,,,,,,,,,
12,moxifloxacin,,,,,,,,,,,,,,,,,,,
13,Doryx,,,,,,,,,,,,,,,,,,,
14,Vibramycin,,,,,,,,,,,,,,,,,,,
15,Floxin,,,,,,,,,,,,,,,,,,,
16,ofloxacin,,,,,,,,,,,,,,,,,,,
17,SMZ-TMP DS,,,,,,,,,,,,,,,,,,,
18,Cipro XR,,,,,,,,,,,,,,,,,,,
19,Co-trimoxazole,,,,,,,,,,,,,,,,,,,
20,Monodox,,,,,,,,,,,,,,,,,,,
21,Septra DS,,,,,,,,,,,,,,,,,,,
22,Sulfatrim,,,,,,,,,,,,,,,,,,,
23,Vibra-Tabs,,,,,,,,,,,,,,,,,,,
24,Cipro I.V.,,,,,,,,,,,,,,,,,,,
25,Doxy 200,,,,,,,,,,,,,,,,,,,
26,Morgidox,,,,,,,,,,,,,,,,,,,
27,Ocudox,,,,,,,,,,,,,,,,,,,
28,Oraxyl,,,,,,,,,,,,,,,,,,,
29,ceftriaxone,,,,,,,,,,,,,,,,,,,
30,Septra,,,,,,,,,,,,,,,,,,,
31,Biocef,,,,,,,,,,,,,,,,,,,
32,Cotrim,,,,,,,,,,,,,,,,,,,
33,Daxbia,,,,,,,,,,,,,,,,,,,
34,Panixine,,,,,,,,,,,,,,,,,,,
35,Sulfatrim Pediatric,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,
