,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,warfarin,,,,,,,,,,,,,,,,,,,
1,Coumadin,,,,,,,,,,,,,,,,,,,
2,aspirin,,,,,,,,,,,,,,,,,,,
3,Aspir 81,,,,,,,,,,,,,,,,,,,
4,Arthritis Pain,,,,,,,,,,,,,,,,,,,
5,Bayer Aspirin,,,,,,,,,,,,,,,,,,,
6,Ecotrin,,,,,,,,,,,,,,,,,,,
7,Jantoven,,,,,,,,,,,,,,,,,,,
8,Aspir-Low,,,,,,,,,,,,,,,,,,,
9,Bayer Aspirin Regimen,,,,,,,,,,,,,,,,,,,
10,Easprin,,,,,,,,,,,,,,,,,,,
11,Fasprin,,,,,,,,,,,,,,,,,,,
12,Aspergum,,,,,,,,,,,,,,,,,,,
13,Aspiritab,,,,,,,,,,,,,,,,,,,
14,Aspirtab,,,,,,,,,,,,,,,,,,,
15,Buffasal,,,,,,,,,,,,,,,,,,,
16,Bufferin Low Dose,,,,,,,,,,,,,,,,,,,
17,Ecpirin,,,,,,,,,,,,,,,,,,,
18,Entercote,,,,,,,,,,,,,,,,,,,
19,Genacote,,,,,,,,,,,,,,,,,,,
20,Halfprin,,,,,,,,,,,,,,,,,,,
21,Medi-Seltzer,,,,,,,,,,,,,,,,,,,
22,Norwich Aspirin,,,,,,,,,,,,,,,,,,,
23,St. Joseph Aspirin,,,,,,,,,,,,,,,,,,,
24,ZORprin,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
