,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Decadron,,,,,,,,,,,,,,,,,,,
1,dexamethasone,,,,,,,,,,,,,,,,,,,
2,Dexamethasone Intensol,,,,,,,,,,,,,,,,,,,
3,Dexasone,,,,,,,,,,,,,,,,,,,
4,Baycadron,,,,,,,,,,,,,,,,,,,
5,Dexpak Taperpak,,,,,,,,,,,,,,,,,,,
6,Solurex,,,,,,,,,,,,,,,,,,,
7,Zema Pak,,,,,,,,,,,,,,,,,,,
8,Solurex LA,,,,,,,,,,,,,,,,,,,
9,De-Sone LA,,,,,,,,,,,,,,,,,,,
10,Dexacen-4,,,,,,,,,,,,,,,,,,,
11,Dexasone LA,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
