,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Sutent,,,,,,,,,,,,,,,,,,,
1,Votrient,,,,,,,,,,,,,,,,,,,
2,Afinitor,,,,,,,,,,,,,,,,,,,
3,Inlyta,,,,,,,,,,,,,,,,,,,
4,Nexavar,,,,,,,,,,,,,,,,,,,
5,Torisel,,,,,,,,,,,,,,,,,,,
6,Avastin,,,,,,,,,,,,,,,,,,,
7,pazopanib,,,,,,,,,,,,,,,,,,,
8,sunitinib,,,,,,,,,,,,,,,,,,,
9,Depo-Provera,,,,,,,,,,,,,,,,,,,
10,Proleukin,,,,,,,,,,,,,,,,,,,
11,Provera,,,,,,,,,,,,,,,,,,,
12,sorafenib,,,,,,,,,,,,,,,,,,,
13,Tarceva,,,,,,,,,,,,,,,,,,,
14,axitinib,,,,,,,,,,,,,,,,,,,
15,medroxyprogesterone,,,,,,,,,,,,,,,,,,,
16,Opdivo,,,,,,,,,,,,,,,,,,,
17,bevacizumab,,,,,,,,,,,,,,,,,,,
18,everolimus,,,,,,,,,,,,,,,,,,,
19,capecitabine,,,,,,,,,,,,,,,,,,,
20,Depo-Provera Contraceptive,,,,,,,,,,,,,,,,,,,
21,aldesleukin,,,,,,,,,,,,,,,,,,,
22,depo-subQ provera 104,,,,,,,,,,,,,,,,,,,
23,nivolumab,,,,,,,,,,,,,,,,,,,
24,PegIntron,,,,,,,,,,,,,,,,,,,
25,temsirolimus,,,,,,,,,,,,,,,,,,,
26,erlotinib,,,,,,,,,,,,,,,,,,,
27,Cabometyx,,,,,,,,,,,,,,,,,,,
28,cabozantinib,,,,,,,,,,,,,,,,,,,
29,peginterferon alfa-2b,,,,,,,,,,,,,,,,,,,
30,lenvatinib,,,,,,,,,,,,,,,,,,,
31,Lenvima,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
