,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,furosemide,,,,,,,,,,,,,,,,,,,
1,Imuran,,,,,,,,,,,,,,,,,,,
2,Lasix,,,,,,,,,,,,,,,,,,,
3,azathioprine,,,,,,,,,,,,,,,,,,,
4,Thymoglobulin,,,,,,,,,,,,,,,,,,,
5,Atgam,,,,,,,,,,,,,,,,,,,
6,Azasan,,,,,,,,,,,,,,,,,,,
7,anti-thymocyte globulin (rabbit),,,,,,,,,,,,,,,,,,,
8,"lymphocyte immune globulin, anti-thy (equine)",,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
