,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,vitamin e,,,,,,,,,,,,,,,,,,,
1,Aquasol E,,,,,,,,,,,,,,,,,,,
2,Alpha E,,,,,,,,,,,,,,,,,,,
3,Aquavite-E,,,,,,,,,,,,,,,,,,,
4,E-600,,,,,,,,,,,,,,,,,,,
5,E-Gems,,,,,,,,,,,,,,,,,,,
6,Nutr-E-Sol,,,,,,,,,,,,,,,,,,,
7,Aqua-E,,,,,,,,,,,,,,,,,,,
8,E-400 Clear,,,,,,,,,,,,,,,,,,,
9,Aqua Gem-E,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
