,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,doxycycline,,,,,,,,,,,,,,,,,,,
1,Vibramycin,,,,,,,,,,,,,,,,,,,
2,Doxy 100,,,,,,,,,,,,,,,,,,,
3,chloramphenicol,,,,,,,,,,,,,,,,,,,
4,Doryx,,,,,,,,,,,,,,,,,,,
5,Chloromycetin Sodium Succinate,,,,,,,,,,,,,,,,,,,
6,Doxy 200,,,,,,,,,,,,,,,,,,,
7,Monodox,,,,,,,,,,,,,,,,,,,
8,tetracycline,,,,,,,,,,,,,,,,,,,
9,Ocudox,,,,,,,,,,,,,,,,,,,
10,Chloromycetin,,,,,,,,,,,,,,,,,,,
11,Morgidox,,,,,,,,,,,,,,,,,,,
12,Oraxyl,,,,,,,,,,,,,,,,,,,
13,Vibra-Tabs,,,,,,,,,,,,,,,,,,,
14,Sumycin,,,,,,,,,,,,,,,,,,,
15,Achromycin V,,,,,,,,,,,,,,,,,,,
16,Ala-Tet,,,,,,,,,,,,,,,,,,,
17,Brodspec,,,,,,,,,,,,,,,,,,,
18,Panmycin,,,,,,,,,,,,,,,,,,,
19,Tetracap,,,,,,,,,,,,,,,,,,,
20,Tetracon,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
