,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Lamictal,,,,,,,,,,,,,,,,,,,
1,Topamax,,,,,,,,,,,,,,,,,,,
2,lamotrigine,,,,,,,,,,,,,,,,,,,
3,Klonopin,,,,,,,,,,,,,,,,,,,
4,clonazepam,,,,,,,,,,,,,,,,,,,
5,topiramate,,,,,,,,,,,,,,,,,,,
6,Lamictal XR,,,,,,,,,,,,,,,,,,,
7,Valium,,,,,,,,,,,,,,,,,,,
8,diazepam,,,,,,,,,,,,,,,,,,,
9,Diazepam Intensol,,,,,,,,,,,,,,,,,,,
10,valproic acid,,,,,,,,,,,,,,,,,,,
11,Depacon,,,,,,,,,,,,,,,,,,,
12,Depakene,,,,,,,,,,,,,,,,,,,
13,Epsom Salt,,,,,,,,,,,,,,,,,,,
14,Lamictal ODT,,,,,,,,,,,,,,,,,,,
15,Diamox,,,,,,,,,,,,,,,,,,,
16,Diastat,,,,,,,,,,,,,,,,,,,
17,Topiragen,,,,,,,,,,,,,,,,,,,
18,magnesium sulfate,,,,,,,,,,,,,,,,,,,
19,Tranxene,,,,,,,,,,,,,,,,,,,
20,Trokendi XR,,,,,,,,,,,,,,,,,,,
21,Diastat AcuDial,,,,,,,,,,,,,,,,,,,
22,Topamax Sprinkle,,,,,,,,,,,,,,,,,,,
23,acetazolamide,,,,,,,,,,,,,,,,,,,
24,clorazepate,,,,,,,,,,,,,,,,,,,
25,Diastat Pediatric,,,,,,,,,,,,,,,,,,,
26,Lamictal CD,,,,,,,,,,,,,,,,,,,
27,Qudexy XR,,,,,,,,,,,,,,,,,,,
28,Sabril,,,,,,,,,,,,,,,,,,,
29,Tranxene T-Tab,,,,,,,,,,,,,,,,,,,
30,Diamox Sequels,,,,,,,,,,,,,,,,,,,
31,vigabatrin,,,,,,,,,,,,,,,,,,,
32,ethotoin,,,,,,,,,,,,,,,,,,,
33,Peganone,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,
