,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Advil Cold and Sinus,,,,,,,,,,,,,,,,,,,
1,Nasonex,,,,,,,,,,,,,,,,,,,
2,Sudafed PE Pressure + Pain,,,,,,,,,,,,,,,,,,,
3,Aleve-D Sinus & Cold,,,,,,,,,,,,,,,,,,,
4,guaifenesin / phenylephrine,,,,,,,,,,,,,,,,,,,
5,ibuprofen / pseudoephedrine,,,,,,,,,,,,,,,,,,,
6,mometasone,,,,,,,,,,,,,,,,,,,
7,Tylenol Allergy Multi-Symptom,,,,,,,,,,,,,,,,,,,
8,Vicks Dayquil Cold & Flu Relief,,,,,,,,,,,,,,,,,,,
9,acetaminophen / chlorpheniramine / phenylephrine,,,,,,,,,,,,,,,,,,,
10,acetaminophen / phenylephrine,,,,,,,,,,,,,,,,,,,
11,Sudafed 12 Hour Pressure+Pain,,,,,,,,,,,,,,,,,,,
12,Vicks Dayquil Sinus,,,,,,,,,,,,,,,,,,,
13,acetaminophen / pseudoephedrine,,,,,,,,,,,,,,,,,,,
14,Entex LA,,,,,,,,,,,,,,,,,,,
15,Advil Cold and Sinus Liqui-Gels,,,,,,,,,,,,,,,,,,,
16,Tylenol Sinus + Headache Day,,,,,,,,,,,,,,,,,,,
17,dexbrompheniramine / pseudoephedrine,,,,,,,,,,,,,,,,,,,
18,Deconex,,,,,,,,,,,,,,,,,,,
19,Excedrin Sinus Headache,,,,,,,,,,,,,,,,,,,
20,Tylenol Sinus Congestion & Pain Nighttime,,,,,,,,,,,,,,,,,,,
21,Aleve-D Sinus & Headache,,,,,,,,,,,,,,,,,,,
22,naproxen / pseudoephedrine,,,,,,,,,,,,,,,,,,,
23,acetaminophen / dextromethorphan / phenylephrine,,,,,,,,,,,,,,,,,,,
24,atropine / chlorpheniramine / hyoscyamine / pseudoephedrine / scopolamine,,,,,,,,,,,,,,,,,,,
25,Dristan Cold Multi Symptom Formula,,,,,,,,,,,,,,,,,,,
26,Drixoral Cold and Allergy,,,,,,,,,,,,,,,,,,,
27,Respa-AR,,,,,,,,,,,,,,,,,,,
28,Ru-Tuss,,,,,,,,,,,,,,,,,,,
29,acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine,,,,,,,,,,,,,,,,,,,
30,Allerest No Drowsiness,,,,,,,,,,,,,,,,,,,
31,aspirin / chlorpheniramine / phenylephrine,,,,,,,,,,,,,,,,,,,
32,Chlorex A,,,,,,,,,,,,,,,,,,,
33,chlorpheniramine / methscopolamine / pseudoephedrine,,,,,,,,,,,,,,,,,,,
34,chlorpheniramine / phenylephrine / phenyltoloxamine,,,,,,,,,,,,,,,,,,,
35,codeine / pseudoephedrine / triprolidine,,,,,,,,,,,,,,,,,,,
36,Comtrex Cold and Cough Maximum Strength,,,,,,,,,,,,,,,,,,,
37,Deconex IR,,,,,,,,,,,,,,,,,,,
38,Dixaphedrine,,,,,,,,,,,,,,,,,,,
39,Gilphex TR,,,,,,,,,,,,,,,,,,,
40,Ornex,,,,,,,,,,,,,,,,,,,
41,Robitussin Peak Cold Daytime Cold + Flu,,,,,,,,,,,,,,,,,,,
42,Robitussin Peak Cold Nasal Relief,,,,,,,,,,,,,,,,,,,
43,Robitussin Peak Cold Nighttime Nasal Relief,,,,,,,,,,,,,,,,,,,
44,Sudafed PE Pressure+Pain+Cough,,,,,,,,,,,,,,,,,,,
45,Tavist Sinus,,,,,,,,,,,,,,,,,,,
46,Theraflu Warming Relief Daytime Severe Cold & Cough,,,,,,,,,,,,,,,,,,,
47,Tylenol Cold Max Day,,,,,,,,,,,,,,,,,,,
48,Vicks QlearQuil Nighttime Sinus & Congestion,,,,,,,,,,,,,,,,,,,
49,acetaminophen / doxylamine / phenylephrine,,,,,,,,,,,,,,,,,,,
50,Advil Children's Cold,,,,,,,,,,,,,,,,,,,
51,Aldex G,,,,,,,,,,,,,,,,,,,
52,Alka-Seltzer Plus Cold Formula Sparkling Original Effervescent Tablets,,,,,,,,,,,,,,,,,,,
53,Aquatab D,,,,,,,,,,,,,,,,,,,
54,codeine / pseudoephedrine / pyrilamine,,,,,,,,,,,,,,,,,,,
55,Comhist,,,,,,,,,,,,,,,,,,,
56,Comtrex Cold & Cough,,,,,,,,,,,,,,,,,,,
57,Comtrex Severe Cold & Sinus,,,,,,,,,,,,,,,,,,,
58,Conex,,,,,,,,,,,,,,,,,,,
59,Contac Cold + Flu (Day Formula),,,,,,,,,,,,,,,,,,,
60,Contac Cold + Flu (Night Formula),,,,,,,,,,,,,,,,,,,
61,Crantex,,,,,,,,,,,,,,,,,,,
62,D-Phen 1000,,,,,,,,,,,,,,,,,,,
63,Dallergy PSE,,,,,,,,,,,,,,,,,,,
64,dexbrompheniramine / phenylephrine,,,,,,,,,,,,,,,,,,,
65,dihydrocodeine / phenylephrine / pyrilamine,,,,,,,,,,,,,,,,,,,
66,Donatussin Drops,,,,,,,,,,,,,,,,,,,
67,Dristan Cold Non-Drowsy,,,,,,,,,,,,,,,,,,,
68,DryMax,,,,,,,,,,,,,,,,,,,
69,Dryphen,,,,,,,,,,,,,,,,,,,
70,DuraHist,,,,,,,,,,,,,,,,,,,
71,Duravent PE,,,,,,,,,,,,,,,,,,,
72,Flu & Severe Cold & Cough Daytime Powder,,,,,,,,,,,,,,,,,,,
73,Gentex LA,,,,,,,,,,,,,,,,,,,
74,GNP Cold Relief Plus,,,,,,,,,,,,,,,,,,,
75,Guaphenyl LA,,,,,,,,,,,,,,,,,,,
76,Guiatex PE,,,,,,,,,,,,,,,,,,,
77,ibuprofen / phenylephrine,,,,,,,,,,,,,,,,,,,
78,Liquibid-D,,,,,,,,,,,,,,,,,,,
79,Liquibid-PD,,,,,,,,,,,,,,,,,,,
80,Little Colds Multi-Symptom,,,,,,,,,,,,,,,,,,,
81,Lusonex,,,,,,,,,,,,,,,,,,,
82,Mapap Cold Formula,,,,,,,,,,,,,,,,,,,
83,Mapap Sinus Congestion and Pain,,,,,,,,,,,,,,,,,,,
84,Miraphen PE,,,,,,,,,,,,,,,,,,,
85,Motrin Childrens Cold,,,,,,,,,,,,,,,,,,,
86,MucaphEd,,,,,,,,,,,,,,,,,,,
87,Nalex-A,,,,,,,,,,,,,,,,,,,
88,Nariz,,,,,,,,,,,,,,,,,,,
89,Neo AC,,,,,,,,,,,,,,,,,,,
90,NoHist-A,,,,,,,,,,,,,,,,,,,
91,Ornex Maximum Strength,,,,,,,,,,,,,,,,,,,
92,PCM-LA,,,,,,,,,,,,,,,,,,,
93,Poly Hist DHC,,,,,,,,,,,,,,,,,,,
94,Polyhist NC,,,,,,,,,,,,,,,,,,,
95,Prolex D,,,,,,,,,,,,,,,,,,,
96,Protid,,,,,,,,,,,,,,,,,,,
97,Pseudodine C,,,,,,,,,,,,,,,,,,,
98,Pyrroxate,,,,,,,,,,,,,,,,,,,
99,Relcof PSE,,,,,,,,,,,,,,,,,,,
100,Rescon-GG,,,,,,,,,,,,,,,,,,,
101,Rhinacon A,,,,,,,,,,,,,,,,,,,
102,Sina-12X,,,,,,,,,,,,,,,,,,,
103,Sinarest Sinus,,,,,,,,,,,,,,,,,,,
104,Sine-Off Maximum Strength,,,,,,,,,,,,,,,,,,,
105,Sinus Congestion and Pain Daytime Cool Ice,,,,,,,,,,,,,,,,,,,
106,Supress-PE,,,,,,,,,,,,,,,,,,,
107,Theraflu Daytime Severe Cold & Cough,,,,,,,,,,,,,,,,,,,
108,Triaminic Chest & Nasal Congestion,,,,,,,,,,,,,,,,,,,
109,Tylenol Plus Children's Cold,,,,,,,,,,,,,,,,,,,
110,Tylenol Plus Children's Flu,,,,,,,,,,,,,,,,,,,
111,Vicks QlearQuil Daytime Sinus & Congestion,,,,,,,,,,,,,,,,,,,
112,VisRx Dose Pack,,,,,,,,,,,,,,,,,,,
113,West-Decon M,,,,,,,,,,,,,,,,,,,
114,Xiral SR,,,,,,,,,,,,,,,,,,,
115,Xpect-PE,,,,,,,,,,,,,,,,,,,
116,Zotex-GP,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,
