,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Bactrim,,,,,,,,,,,,,,,,,,,
1,Bactrim DS,,,,,,,,,,,,,,,,,,,
2,sulfamethoxazole / trimethoprim,,,,,,,,,,,,,,,,,,,
3,bacitracin,,,,,,,,,,,,,,,,,,,
4,SMZ-TMP DS,,,,,,,,,,,,,,,,,,,
5,Neosporin,,,,,,,,,,,,,,,,,,,
6,Co-trimoxazole,,,,,,,,,,,,,,,,,,,
7,Septra,,,,,,,,,,,,,,,,,,,
8,Triple Antibiotic,,,,,,,,,,,,,,,,,,,
9,Septra DS,,,,,,,,,,,,,,,,,,,
10,A + D Cracked Skin Relief,,,,,,,,,,,,,,,,,,,
11,Sulfatrim,,,,,,,,,,,,,,,,,,,
12,Baciguent,,,,,,,,,,,,,,,,,,,
13,Cortisporin Cream,,,,,,,,,,,,,,,,,,,
14,Cotrim,,,,,,,,,,,,,,,,,,,
15,Polysporin First Aid Antibiotic Ointment,,,,,,,,,,,,,,,,,,,
16,Sulfatrim Pediatric,,,,,,,,,,,,,,,,,,,
17,bacitracin / neomycin / polymyxin b,,,,,,,,,,,,,,,,,,,
18,Cortisporin Ointment,,,,,,,,,,,,,,,,,,,
19,benzalkonium chloride / lidocaine,,,,,,,,,,,,,,,,,,,
20,bacitracin / polymyxin b,,,,,,,,,,,,,,,,,,,
21,Duospore,,,,,,,,,,,,,,,,,,,
22,hydrocortisone / neomycin / polymyxin b,,,,,,,,,,,,,,,,,,,
23,bacitracin / hydrocortisone / neomycin / polymyxin b,,,,,,,,,,,,,,,,,,,
24,Dr Scholl's Cracked Heel Relief,,,,,,,,,,,,,,,,,,,
25,neomycin / polymyxin b / pramoxine,,,,,,,,,,,,,,,,,,,
26,Antibiotic Plus Pain Relief,,,,,,,,,,,,,,,,,,,
27,bacitracin / neomycin / polymyxin b / pramoxine,,,,,,,,,,,,,,,,,,,
28,fluocinolone / neomycin,,,,,,,,,,,,,,,,,,,
29,Medi-Quik,,,,,,,,,,,,,,,,,,,
30,Neo-Synalar,,,,,,,,,,,,,,,,,,,
31,Neosporin + Pain Relief Cream,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
