,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Ambien,,,,,,,,,,,,,,,,,,,
1,trazodone,,,,,,,,,,,,,,,,,,,
2,zolpidem,,,,,,,,,,,,,,,,,,,
3,Lunesta,,,,,,,,,,,,,,,,,,,
4,Ativan,,,,,,,,,,,,,,,,,,,
5,Dalmane,,,,,,,,,,,,,,,,,,,
6,Restoril,,,,,,,,,,,,,,,,,,,
7,temazepam,,,,,,,,,,,,,,,,,,,
8,Ambien CR,,,,,,,,,,,,,,,,,,,
9,Prosom,,,,,,,,,,,,,,,,,,,
10,amitriptyline,,,,,,,,,,,,,,,,,,,
11,Belsomra,,,,,,,,,,,,,,,,,,,
12,Halcion,,,,,,,,,,,,,,,,,,,
13,lorazepam,,,,,,,,,,,,,,,,,,,
14,Rozerem,,,,,,,,,,,,,,,,,,,
15,Advil PM,,,,,,,,,,,,,,,,,,,
16,Silenor,,,,,,,,,,,,,,,,,,,
17,clonazepam,,,,,,,,,,,,,,,,,,,
18,Sonata,,,,,,,,,,,,,,,,,,,
19,Intermezzo,,,,,,,,,,,,,,,,,,,
20,doxepin,,,,,,,,,,,,,,,,,,,
21,eszopiclone,,,,,,,,,,,,,,,,,,,
22,Unisom SleepTabs,,,,,,,,,,,,,,,,,,,
23,diphenhydramine,,,,,,,,,,,,,,,,,,,
24,gabapentin,,,,,,,,,,,,,,,,,,,
25,mirtazapine,,,,,,,,,,,,,,,,,,,
26,Tylenol PM,,,,,,,,,,,,,,,,,,,
27,quetiapine,,,,,,,,,,,,,,,,,,,
28,doxylamine,,,,,,,,,,,,,,,,,,,
29,flurazepam,,,,,,,,,,,,,,,,,,,
30,Seconal,,,,,,,,,,,,,,,,,,,
31,triazolam,,,,,,,,,,,,,,,,,,,
32,olanzapine,,,,,,,,,,,,,,,,,,,
33,zaleplon,,,,,,,,,,,,,,,,,,,
34,diphenhydramine / ibuprofen,,,,,,,,,,,,,,,,,,,
35,Edluar,,,,,,,,,,,,,,,,,,,
36,estazolam,,,,,,,,,,,,,,,,,,,
37,Seconal Sodium,,,,,,,,,,,,,,,,,,,
38,Doral,,,,,,,,,,,,,,,,,,,
39,secobarbital,,,,,,,,,,,,,,,,,,,
40,Zolpimist,,,,,,,,,,,,,,,,,,,
41,acetaminophen / diphenhydramine,,,,,,,,,,,,,,,,,,,
42,Compoz Nighttime Sleep Aid,,,,,,,,,,,,,,,,,,,
43,Nytol,,,,,,,,,,,,,,,,,,,
44,oxazepam,,,,,,,,,,,,,,,,,,,
45,quazepam,,,,,,,,,,,,,,,,,,,
46,ramelteon,,,,,,,,,,,,,,,,,,,
47,Sominex,,,,,,,,,,,,,,,,,,,
48,Unisom SleepGels,,,,,,,,,,,,,,,,,,,
49,Unisom SleepMelts,,,,,,,,,,,,,,,,,,,
50,Aldex AN,,,,,,,,,,,,,,,,,,,
51,Aquachloral Supprettes,,,,,,,,,,,,,,,,,,,
52,butabarbital,,,,,,,,,,,,,,,,,,,
53,chloral hydrate,,,,,,,,,,,,,,,,,,,
54,dimenhydrinate,,,,,,,,,,,,,,,,,,,
55,Doxytex,,,,,,,,,,,,,,,,,,,
56,Ibuprofen PM,,,,,,,,,,,,,,,,,,,
57,Nytol QuickCaps,,,,,,,,,,,,,,,,,,,
58,pentobarbital,,,,,,,,,,,,,,,,,,,
59,phenobarbital,,,,,,,,,,,,,,,,,,,
60,Simply Sleep,,,,,,,,,,,,,,,,,,,
61,Sleepinal,,,,,,,,,,,,,,,,,,,
62,suvorexant,,,,,,,,,,,,,,,,,,,
63,Tranquil Nighttime Sleep Aid,,,,,,,,,,,,,,,,,,,
64,Twilite,,,,,,,,,,,,,,,,,,,
65,Z-Sleep,,,,,,,,,,,,,,,,,,,
66,ZzzQuil,,,,,,,,,,,,,,,,,,,
67,Aceta-Gesic,,,,,,,,,,,,,,,,,,,
68,Aldex AN Chewable,,,,,,,,,,,,,,,,,,,
69,Aleve PM,,,,,,,,,,,,,,,,,,,
70,amobarbital,,,,,,,,,,,,,,,,,,,
71,Care One Sleep Aid,,,,,,,,,,,,,,,,,,,
72,diphenhydramine / magnesium salicylate,,,,,,,,,,,,,,,,,,,
73,diphenhydramine / naproxen,,,,,,,,,,,,,,,,,,,
74,Doans PM,,,,,,,,,,,,,,,,,,,
75,Equaline Sleep Aid,,,,,,,,,,,,,,,,,,,
76,Equate Sleep Aid,,,,,,,,,,,,,,,,,,,
77,Excedrin PM,,,,,,,,,,,,,,,,,,,
78,Headache Relief PM,,,,,,,,,,,,,,,,,,,
79,Hetlioz,,,,,,,,,,,,,,,,,,,
