,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Avastin,,,,,,,,,,,,,,,,,,,
1,Taxotere,,,,,,,,,,,,,,,,,,,
2,Trexall,,,,,,,,,,,,,,,,,,,
3,Droxia,,,,,,,,,,,,,,,,,,,
4,Hydrea,,,,,,,,,,,,,,,,,,,
5,Idamycin,,,,,,,,,,,,,,,,,,,
6,methotrexate,,,,,,,,,,,,,,,,,,,
7,hydroxyurea,,,,,,,,,,,,,,,,,,,
8,Idamycin PFS,,,,,,,,,,,,,,,,,,,
9,docetaxel,,,,,,,,,,,,,,,,,,,
10,idarubicin,,,,,,,,,,,,,,,,,,,
11,bevacizumab,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
