,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Chloraseptic Sore Throat Spray,,,,,,,,,,,,,,,,,,,
1,Cepacol Sore Throat,,,,,,,,,,,,,,,,,,,
2,Chloraseptic Sore Throat Lozenges,,,,,,,,,,,,,,,,,,,
3,phenol,,,,,,,,,,,,,,,,,,,
4,Cepacol Dual Relief Sore Throat,,,,,,,,,,,,,,,,,,,
5,benzocaine,,,,,,,,,,,,,,,,,,,
6,Halls Mentho-Lyptus Drops,,,,,,,,,,,,,,,,,,,
7,Laryngesic,,,,,,,,,,,,,,,,,,,
8,benzocaine / menthol,,,,,,,,,,,,,,,,,,,
9,Cepacol Ultra,,,,,,,,,,,,,,,,,,,
10,aspirin / chlorpheniramine / phenylephrine,,,,,,,,,,,,,,,,,,,
11,benzocaine / dextromethorphan,,,,,,,,,,,,,,,,,,,
12,Alka-Seltzer Plus Cold Formula Sparkling Original Effervescent Tablets,,,,,,,,,,,,,,,,,,,
13,Cheracol Sore Throat,,,,,,,,,,,,,,,,,,,
14,Assure Sore Throat,,,,,,,,,,,,,,,,,,,
15,Trocaine,,,,,,,,,,,,,,,,,,,
16,glycerin / phenol,,,,,,,,,,,,,,,,,,,
17,Cheracol Sore Throat and Cough,,,,,,,,,,,,,,,,,,,
18,Luden's Honey Lemon Throat Drops,,,,,,,,,,,,,,,,,,,
19,menthol,,,,,,,,,,,,,,,,,,,
20,N Ice,,,,,,,,,,,,,,,,,,,
21,Vicks Cough Drops,,,,,,,,,,,,,,,,,,,
22,dyclonine,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,
