,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,itraconazole,,,,,,,,,,,,,,,,,,,
1,Sporanox,,,,,,,,,,,,,,,,,,,
2,Onmel,,,,,,,,,,,,,,,,,,,
3,amphotericin b,,,,,,,,,,,,,,,,,,,
4,Fungizone,,,,,,,,,,,,,,,,,,,
5,Amphocin,,,,,,,,,,,,,,,,,,,
6,Sporanox PulsePak,,,,,,,,,,,,,,,,,,,
7,Diflucan,,,,,,,,,,,,,,,,,,,
8,fluconazole,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
