,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,ranitidine,,,,,,,,,,,,,,,,,,,
1,Ancef,,,,,,,,,,,,,,,,,,,
2,clindamycin,,,,,,,,,,,,,,,,,,,
3,Cleocin,,,,,,,,,,,,,,,,,,,
4,metronidazole,,,,,,,,,,,,,,,,,,,
5,Vancocin,,,,,,,,,,,,,,,,,,,
6,cefazolin,,,,,,,,,,,,,,,,,,,
7,Flagyl,,,,,,,,,,,,,,,,,,,
8,Zantac,,,,,,,,,,,,,,,,,,,
9,vancomycin,,,,,,,,,,,,,,,,,,,
10,cefuroxime,,,,,,,,,,,,,,,,,,,
11,Ceftin,,,,,,,,,,,,,,,,,,,
12,Claforan,,,,,,,,,,,,,,,,,,,
13,Flagyl IV,,,,,,,,,,,,,,,,,,,
14,cefotaxime,,,,,,,,,,,,,,,,,,,
15,gentamicin,,,,,,,,,,,,,,,,,,,
16,Zantac 150,,,,,,,,,,,,,,,,,,,
17,Cefotan,,,,,,,,,,,,,,,,,,,
18,Deprizine,,,,,,,,,,,,,,,,,,,
19,Garamycin,,,,,,,,,,,,,,,,,,,
20,Berkley and Jensen Acid Reducer Maximum Strength,,,,,,,,,,,,,,,,,,,
21,ceftriaxone,,,,,,,,,,,,,,,,,,,
22,Mefoxin,,,,,,,,,,,,,,,,,,,
23,Metro,,,,,,,,,,,,,,,,,,,
24,Unasyn,,,,,,,,,,,,,,,,,,,
25,Zantac 75,,,,,,,,,,,,,,,,,,,
26,Zantac 300,,,,,,,,,,,,,,,,,,,
27,Careone Acid Reducer,,,,,,,,,,,,,,,,,,,
28,Equaline Heartburn Relief,,,,,,,,,,,,,,,,,,,
29,Kefzol,,,,,,,,,,,,,,,,,,,
30,Sunmark Acid Reducer Maximum Strength,,,,,,,,,,,,,,,,,,,
31,Taladine,,,,,,,,,,,,,,,,,,,
32,Zantac 25 mg EFFERdose,,,,,,,,,,,,,,,,,,,
33,Zantac 150 EFFERdose,,,,,,,,,,,,,,,,,,,
34,Zantac EFFERdose,,,,,,,,,,,,,,,,,,,
35,Zinacef,,,,,,,,,,,,,,,,,,,
36,ampicillin,,,,,,,,,,,,,,,,,,,
37,ciprofloxacin,,,,,,,,,,,,,,,,,,,
38,ampicillin / sulbactam,,,,,,,,,,,,,,,,,,,
39,cefoxitin,,,,,,,,,,,,,,,,,,,
40,Cipro,,,,,,,,,,,,,,,,,,,
41,Cipro I.V.,,,,,,,,,,,,,,,,,,,
42,Cipro XR,,,,,,,,,,,,,,,,,,,
43,Cleocin HCl,,,,,,,,,,,,,,,,,,,
44,Cleocin Pediatric,,,,,,,,,,,,,,,,,,,
45,Cleocin Phosphate,,,,,,,,,,,,,,,,,,,
46,Flagyl 375,,,,,,,,,,,,,,,,,,,
47,Proquin XR,,,,,,,,,,,,,,,,,,,
48,Vancocin HCl,,,,,,,,,,,,,,,,,,,
49,Vancocin HCl Pulvules,,,,,,,,,,,,,,,,,,,
50,piperacillin,,,,,,,,,,,,,,,,,,,
51,Pipracil,,,,,,,,,,,,,,,,,,,
52,cefotetan,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,
