,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,vitamin e,,,,,,,,,,,,,,,,,,,
1,propranolol,,,,,,,,,,,,,,,,,,,
2,tetrabenazine,,,,,,,,,,,,,,,,,,,
3,clonidine,,,,,,,,,,,,,,,,,,,
4,ropinirole,,,,,,,,,,,,,,,,,,,
5,pramipexole,,,,,,,,,,,,,,,,,,,
6,chlordiazepoxide,,,,,,,,,,,,,,,,,,,
7,apomorphine,,,,,,,,,,,,,,,,,,,
8,bromocriptine,,,,,,,,,,,,,,,,,,,
9,Aquavite-E,,,,,,,,,,,,,,,,,,,
10,Aquasol E,,,,,,,,,,,,,,,,,,,
11,Alpha E,,,,,,,,,,,,,,,,,,,
12,E-400 Clear,,,,,,,,,,,,,,,,,,,
13,E-600,,,,,,,,,,,,,,,,,,,
14,Nutr-E-Sol,,,,,,,,,,,,,,,,,,,
15,Aqua-E,,,,,,,,,,,,,,,,,,,
16,Aqua Gem-E,,,,,,,,,,,,,,,,,,,
17,E-Gems,,,,,,,,,,,,,,,,,,,
18,Ingrezza,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
