,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Robaxin,,,,,,,,,,,,,,,,,,,
1,diazepam,,,,,,,,,,,,,,,,,,,
2,methocarbamol,,,,,,,,,,,,,,,,,,,
3,Valium,,,,,,,,,,,,,,,,,,,
4,tetanus immune globulin,,,,,,,,,,,,,,,,,,,
5,Robaxin-750,,,,,,,,,,,,,,,,,,,
6,Diazepam Intensol,,,,,,,,,,,,,,,,,,,
7,Thorazine,,,,,,,,,,,,,,,,,,,
8,Diastat,,,,,,,,,,,,,,,,,,,
9,Diastat Pediatric,,,,,,,,,,,,,,,,,,,
10,HyperTET S / D,,,,,,,,,,,,,,,,,,,
11,Diastat AcuDial,,,,,,,,,,,,,,,,,,,
12,BayTet,,,,,,,,,,,,,,,,,,,
13,Pfizerpen,,,,,,,,,,,,,,,,,,,
14,chlorpromazine,,,,,,,,,,,,,,,,,,,
15,penicillin g potassium,,,,,,,,,,,,,,,,,,,
16,penicillin g sodium,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
