,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,tetanus toxoid,,,,,,,,,,,,,,,,,,,
1,Tetanus Toxoid Adsorbed,,,,,,,,,,,,,,,,,,,
2,Boostrix (Tdap),,,,,,,,,,,,,,,,,,,
3,Adacel (Tdap),,,,,,,,,,,,,,,,,,,
4,"diphtheria toxoid / pertussis, acellular / tetanus toxoid",,,,,,,,,,,,,,,,,,,
5,"diphtheria and tetanus toxoids / pertussis, acellular",,,,,,,,,,,,,,,,,,,
6,diphtheria toxoid / tetanus toxoid,,,,,,,,,,,,,,,,,,,
7,Daptacel (DTaP),,,,,,,,,,,,,,,,,,,
8,Decavac (Td),,,,,,,,,,,,,,,,,,,
9,Infanrix (DTaP),,,,,,,,,,,,,,,,,,,
10,Te Anatoxal Berna,,,,,,,,,,,,,,,,,,,
11,Tenivac (Td),,,,,,,,,,,,,,,,,,,
12,tetanus immune globulin,,,,,,,,,,,,,,,,,,,
13,Tripedia (DTaP),,,,,,,,,,,,,,,,,,,
14,HyperTET S / D,,,,,,,,,,,,,,,,,,,
15,Pediarix,,,,,,,,,,,,,,,,,,,
16,BayTet,,,,,,,,,,,,,,,,,,,
17,Pentacel,,,,,,,,,,,,,,,,,,,
18,"diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",,,,,,,,,,,,,,,,,,,
19,"diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",,,,,,,,,,,,,,,,,,,
20,Kinrix,,,,,,,,,,,,,,,,,,,
21,"diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",,,,,,,,,,,,,,,,,,,
22,Quadracel,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,
