,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,aspirin,,,,,,,,,,,,,,,,,,,
1,Coumadin,,,,,,,,,,,,,,,,,,,
2,warfarin,,,,,,,,,,,,,,,,,,,
3,Aspir 81,,,,,,,,,,,,,,,,,,,
4,Bayer Aspirin,,,,,,,,,,,,,,,,,,,
5,Easprin,,,,,,,,,,,,,,,,,,,
6,Aspir-Low,,,,,,,,,,,,,,,,,,,
7,Bayer Aspirin Regimen,,,,,,,,,,,,,,,,,,,
8,Eliquis,,,,,,,,,,,,,,,,,,,
9,Arthritis Pain,,,,,,,,,,,,,,,,,,,
10,Ecotrin,,,,,,,,,,,,,,,,,,,
11,ZORprin,,,,,,,,,,,,,,,,,,,
12,Halfprin,,,,,,,,,,,,,,,,,,,
13,Aspergum,,,,,,,,,,,,,,,,,,,
14,Aspiritab,,,,,,,,,,,,,,,,,,,
15,Aspirtab,,,,,,,,,,,,,,,,,,,
16,Buffasal,,,,,,,,,,,,,,,,,,,
17,Bufferin Low Dose,,,,,,,,,,,,,,,,,,,
18,Ecpirin,,,,,,,,,,,,,,,,,,,
19,Entercote,,,,,,,,,,,,,,,,,,,
20,Fasprin,,,,,,,,,,,,,,,,,,,
21,Genacote,,,,,,,,,,,,,,,,,,,
22,Medi-Seltzer,,,,,,,,,,,,,,,,,,,
23,Norwich Aspirin,,,,,,,,,,,,,,,,,,,
24,Jantoven,,,,,,,,,,,,,,,,,,,
25,apixaban,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,
