,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,amoxicillin,,,,,,,,,,,,,,,,,,,
1,Amoxil,,,,,,,,,,,,,,,,,,,
2,Azithromycin Dose Pack,,,,,,,,,,,,,,,,,,,
3,azithromycin,,,,,,,,,,,,,,,,,,,
4,Zithromax,,,,,,,,,,,,,,,,,,,
5,Chloraseptic Sore Throat Spray,,,,,,,,,,,,,,,,,,,
6,cefuroxime,,,,,,,,,,,,,,,,,,,
7,Ceftin,,,,,,,,,,,,,,,,,,,
8,cefdinir,,,,,,,,,,,,,,,,,,,
9,cefixime,,,,,,,,,,,,,,,,,,,
10,clarithromycin,,,,,,,,,,,,,,,,,,,
11,Penicillin VK,,,,,,,,,,,,,,,,,,,
12,Zmax,,,,,,,,,,,,,,,,,,,
13,Apo-Amoxi,,,,,,,,,,,,,,,,,,,
14,benzocaine / menthol,,,,,,,,,,,,,,,,,,,
15,Biaxin,,,,,,,,,,,,,,,,,,,
16,penicillin v potassium,,,,,,,,,,,,,,,,,,,
17,cefaclor,,,,,,,,,,,,,,,,,,,
18,cefadroxil,,,,,,,,,,,,,,,,,,,
19,Moxatag,,,,,,,,,,,,,,,,,,,
20,Moxilin,,,,,,,,,,,,,,,,,,,
21,cefpodoxime,,,,,,,,,,,,,,,,,,,
22,Cefzil,,,,,,,,,,,,,,,,,,,
23,Cepacol Dual Relief Sore Throat,,,,,,,,,,,,,,,,,,,
24,Cepacol Sore Throat,,,,,,,,,,,,,,,,,,,
25,Duricef,,,,,,,,,,,,,,,,,,,
26,Suprax,,,,,,,,,,,,,,,,,,,
27,Zinacef,,,,,,,,,,,,,,,,,,,
28,benzocaine,,,,,,,,,,,,,,,,,,,
29,Biaxin XL,,,,,,,,,,,,,,,,,,,
30,Bicillin L-A,,,,,,,,,,,,,,,,,,,
31,Cedax,,,,,,,,,,,,,,,,,,,
32,ceftibuten,,,,,,,,,,,,,,,,,,,
33,Chloraseptic Sore Throat Lozenges,,,,,,,,,,,,,,,,,,,
34,penicillin g benzathine,,,,,,,,,,,,,,,,,,,
35,phenol,,,,,,,,,,,,,,,,,,,
36,Alka-Seltzer Plus Cold Formula Sparkling Original Effervescent Tablets,,,,,,,,,,,,,,,,,,,
37,aspirin / chlorpheniramine / phenylephrine,,,,,,,,,,,,,,,,,,,
38,cefprozil,,,,,,,,,,,,,,,,,,,
39,Assure Sore Throat,,,,,,,,,,,,,,,,,,,
40,benzocaine / dextromethorphan,,,,,,,,,,,,,,,,,,,
41,cefditoren,,,,,,,,,,,,,,,,,,,
42,Cepacol Ultra,,,,,,,,,,,,,,,,,,,
43,Cheracol Sore Throat,,,,,,,,,,,,,,,,,,,
44,glycerin / phenol,,,,,,,,,,,,,,,,,,,
45,Laryngesic,,,,,,,,,,,,,,,,,,,
46,Penicillin G Procaine,,,,,,,,,,,,,,,,,,,
47,procaine penicillin,,,,,,,,,,,,,,,,,,,
48,Spectracef,,,,,,,,,,,,,,,,,,,
49,Trocaine,,,,,,,,,,,,,,,,,,,
50,Vicks Formula 44 Custom Care Throat Spray,,,,,,,,,,,,,,,,,,,
51,Wycillin,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,
