,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,povidone iodine,,,,,,,,,,,,,,,,,,,
1,Betadine,,,,,,,,,,,,,,,,,,,
2,sodium hypochlorite,,,,,,,,,,,,,,,,,,,
3,Minidyne,,,,,,,,,,,,,,,,,,,
4,Betadine Aerosol Spray,,,,,,,,,,,,,,,,,,,
5,iodine,,,,,,,,,,,,,,,,,,,
6,Pharmadine,,,,,,,,,,,,,,,,,,,
7,Recuro Vaginal,,,,,,,,,,,,,,,,,,,
8,benzalkonium chloride,,,,,,,,,,,,,,,,,,,
9,CureChrome,,,,,,,,,,,,,,,,,,,
10,Polydine,,,,,,,,,,,,,,,,,,,
11,silver nitrate,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,
