,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,isoniazid,,,,,,,,,,,,,,,,,,,
1,Rifadin,,,,,,,,,,,,,,,,,,,
2,rifampin,,,,,,,,,,,,,,,,,,,
3,Nydrazid,,,,,,,,,,,,,,,,,,,
4,Rimactane,,,,,,,,,,,,,,,,,,,
5,rifabutin,,,,,,,,,,,,,,,,,,,
6,Rifadin IV,,,,,,,,,,,,,,,,,,,
7,Mycobutin,,,,,,,,,,,,,,,,,,,
8,bcg,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
