,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Lialda,,,,,,,,,,,,,,,,,,,
1,Asacol,,,,,,,,,,,,,,,,,,,
2,mesalamine,,,,,,,,,,,,,,,,,,,
3,Pentasa,,,,,,,,,,,,,,,,,,,
4,Delzicol,,,,,,,,,,,,,,,,,,,
5,Canasa,,,,,,,,,,,,,,,,,,,
6,Uceris,,,,,,,,,,,,,,,,,,,
7,Asacol HD,,,,,,,,,,,,,,,,,,,
8,budesonide,,,,,,,,,,,,,,,,,,,
9,Colazal,,,,,,,,,,,,,,,,,,,
10,balsalazide,,,,,,,,,,,,,,,,,,,
11,sulfasalazine,,,,,,,,,,,,,,,,,,,
12,Rowasa,,,,,,,,,,,,,,,,,,,
13,Azulfidine,,,,,,,,,,,,,,,,,,,
14,cyclosporine,,,,,,,,,,,,,,,,,,,
15,hydrocortisone,,,,,,,,,,,,,,,,,,,
16,Salofalk,,,,,,,,,,,,,,,,,,,
17,Sulfazine,,,,,,,,,,,,,,,,,,,
18,Proctosol-HC,,,,,,,,,,,,,,,,,,,
19,Proctocort,,,,,,,,,,,,,,,,,,,
20,Proctozone HC,,,,,,,,,,,,,,,,,,,
21,Hemmorex-HC,,,,,,,,,,,,,,,,,,,
22,Hemorrhoidal HC,,,,,,,,,,,,,,,,,,,
23,Hemril-30,,,,,,,,,,,,,,,,,,,
24,Hemril-HC Uniserts,,,,,,,,,,,,,,,,,,,
25,Procto-Kit 1%,,,,,,,,,,,,,,,,,,,
26,Procto-Kit 2.5%,,,,,,,,,,,,,,,,,,,
27,Procto-Med HC,,,,,,,,,,,,,,,,,,,
28,Procto-Pak 1%,,,,,,,,,,,,,,,,,,,
29,ProctoCare-HC,,,,,,,,,,,,,,,,,,,
30,Proctocream-HC,,,,,,,,,,,,,,,,,,,
31,Proctosert HC,,,,,,,,,,,,,,,,,,,
32,Proctozone-H,,,,,,,,,,,,,,,,,,,
33,Rectacort-HC,,,,,,,,,,,,,,,,,,,
34,Rectasol-HC,,,,,,,,,,,,,,,,,,,
35,Azulfidine EN-tabs,,,,,,,,,,,,,,,,,,,
36,Dipentum,,,,,,,,,,,,,,,,,,,
37,Mesasal Enteric Coated,,,,,,,,,,,,,,,,,,,
38,Canasa Pac,,,,,,,,,,,,,,,,,,,
39,olsalazine,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,
