,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,sodium bicarbonate,,,,,,,,,,,,,,,,,,,
1,Bicitra,,,,,,,,,,,,,,,,,,,
2,citric acid / sodium citrate,,,,,,,,,,,,,,,,,,,
3,Cytra-2,,,,,,,,,,,,,,,,,,,
4,Neut,,,,,,,,,,,,,,,,,,,
5,Cytra-K,,,,,,,,,,,,,,,,,,,
6,citric acid / potassium citrate / sodium citrate,,,,,,,,,,,,,,,,,,,
7,citric acid / potassium citrate,,,,,,,,,,,,,,,,,,,
8,Oracit,,,,,,,,,,,,,,,,,,,
9,Polycitra-K,,,,,,,,,,,,,,,,,,,
10,Cytra-3,,,,,,,,,,,,,,,,,,,
11,Poly-Citra K Crystals,,,,,,,,,,,,,,,,,,,
12,Polycitra,,,,,,,,,,,,,,,,,,,
13,Tricitrates,,,,,,,,,,,,,,,,,,,
14,Liqui-Dual Citra,,,,,,,,,,,,,,,,,,,
15,Polycitra-LC,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
