,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,oxybutynin,,,,,,,,,,,,,,,,,,,
1,VESIcare,,,,,,,,,,,,,,,,,,,
2,Myrbetriq,,,,,,,,,,,,,,,,,,,
3,tamsulosin,,,,,,,,,,,,,,,,,,,
4,Flomax,,,,,,,,,,,,,,,,,,,
5,Detrol LA,,,,,,,,,,,,,,,,,,,
6,Detrol,,,,,,,,,,,,,,,,,,,
7,Ditropan,,,,,,,,,,,,,,,,,,,
8,Toviaz,,,,,,,,,,,,,,,,,,,
9,Enablex,,,,,,,,,,,,,,,,,,,
10,Ditropan XL,,,,,,,,,,,,,,,,,,,
11,tolterodine,,,,,,,,,,,,,,,,,,,
12,B & O Supprettes,,,,,,,,,,,,,,,,,,,
13,Oxytrol,,,,,,,,,,,,,,,,,,,
14,Oxytrol for Women,,,,,,,,,,,,,,,,,,,
15,Botox,,,,,,,,,,,,,,,,,,,
16,Sanctura XR,,,,,,,,,,,,,,,,,,,
17,mirabegron,,,,,,,,,,,,,,,,,,,
18,Sanctura,,,,,,,,,,,,,,,,,,,
19,solifenacin,,,,,,,,,,,,,,,,,,,
20,Anturol,,,,,,,,,,,,,,,,,,,
21,Gelnique,,,,,,,,,,,,,,,,,,,
22,trospium,,,,,,,,,,,,,,,,,,,
23,belladonna / opium,,,,,,,,,,,,,,,,,,,
24,Belladonna Tincture,,,,,,,,,,,,,,,,,,,
25,flavoxate,,,,,,,,,,,,,,,,,,,
26,Urispas,,,,,,,,,,,,,,,,,,,
27,darifenacin,,,,,,,,,,,,,,,,,,,
28,fesoterodine,,,,,,,,,,,,,,,,,,,
29,onabotulinumtoxinA,,,,,,,,,,,,,,,,,,,
30,belladonna,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,
