,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Zyrtec,,,,,,,,,,,,,,,,,,,
1,Allegra,,,,,,,,,,,,,,,,,,,
2,cetirizine,,,,,,,,,,,,,,,,,,,
3,fexofenadine,,,,,,,,,,,,,,,,,,,
4,loratadine,,,,,,,,,,,,,,,,,,,
5,Claritin,,,,,,,,,,,,,,,,,,,
6,Xyzal,,,,,,,,,,,,,,,,,,,
7,ranitidine,,,,,,,,,,,,,,,,,,,
8,Alavert,,,,,,,,,,,,,,,,,,,
9,Benadryl,,,,,,,,,,,,,,,,,,,
10,doxepin,,,,,,,,,,,,,,,,,,,
11,Benadryl Allergy,,,,,,,,,,,,,,,,,,,
12,diphenhydramine,,,,,,,,,,,,,,,,,,,
13,Xolair,,,,,,,,,,,,,,,,,,,
14,levocetirizine,,,,,,,,,,,,,,,,,,,
15,Claritin 24 Hour Allergy,,,,,,,,,,,,,,,,,,,
16,famotidine,,,,,,,,,,,,,,,,,,,
17,Phenergan,,,,,,,,,,,,,,,,,,,
18,promethazine,,,,,,,,,,,,,,,,,,,
19,Clarinex,,,,,,,,,,,,,,,,,,,
20,Allergy Relief Tablets,,,,,,,,,,,,,,,,,,,
21,Children's Claritin Allergy,,,,,,,,,,,,,,,,,,,
22,chlorpheniramine,,,,,,,,,,,,,,,,,,,
23,Sinequan,,,,,,,,,,,,,,,,,,,
24,Wal-itin,,,,,,,,,,,,,,,,,,,
25,All Day Allergy,,,,,,,,,,,,,,,,,,,
26,All Day Allergy Children's,,,,,,,,,,,,,,,,,,,
27,Aller-Tec,,,,,,,,,,,,,,,,,,,
28,Aller-Tec Children's,,,,,,,,,,,,,,,,,,,
29,Allergy Relief 24 Hour,,,,,,,,,,,,,,,,,,,
30,Bactimicina Allergy,,,,,,,,,,,,,,,,,,,
31,Children's Allergy Relief,,,,,,,,,,,,,,,,,,,
32,Children's Allergy Relief 24 Hour,,,,,,,,,,,,,,,,,,,
33,Chlor-Trimeton,,,,,,,,,,,,,,,,,,,
34,Claritin Reditabs,,,,,,,,,,,,,,,,,,,
35,Clear-Atadine,,,,,,,,,,,,,,,,,,,
36,desloratadine,,,,,,,,,,,,,,,,,,,
