,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Durezol,,,,,,,,,,,,,,,,,,,
1,methotrexate,,,,,,,,,,,,,,,,,,,
2,cyclopentolate,,,,,,,,,,,,,,,,,,,
3,Cyclogyl,,,,,,,,,,,,,,,,,,,
4,Acthar,,,,,,,,,,,,,,,,,,,
5,TobraDex,,,,,,,,,,,,,,,,,,,
6,atropine,,,,,,,,,,,,,,,,,,,
7,Maxidex,,,,,,,,,,,,,,,,,,,
8,prednisolone / sulfacetamide sodium,,,,,,,,,,,,,,,,,,,
9,Maxitrol,,,,,,,,,,,,,,,,,,,
10,Imuran,,,,,,,,,,,,,,,,,,,
11,triamcinolone,,,,,,,,,,,,,,,,,,,
12,dexamethasone,,,,,,,,,,,,,,,,,,,
13,difluprednate,,,,,,,,,,,,,,,,,,,
14,mycophenolate mofetil,,,,,,,,,,,,,,,,,,,
15,Vexol,,,,,,,,,,,,,,,,,,,
16,azathioprine,,,,,,,,,,,,,,,,,,,
17,Kenalog-40,,,,,,,,,,,,,,,,,,,
18,sulfasalazine,,,,,,,,,,,,,,,,,,,
19,Azasan,,,,,,,,,,,,,,,,,,,
20,Azulfidine,,,,,,,,,,,,,,,,,,,
21,Blephamide,,,,,,,,,,,,,,,,,,,
22,Cortisporin Ophthalmic Suspension,,,,,,,,,,,,,,,,,,,
23,dexamethasone / neomycin / polymyxin b,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
