,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Valtrex,,,,,,,,,,,,,,,,,,,
1,acyclovir,,,,,,,,,,,,,,,,,,,
2,valacyclovir,,,,,,,,,,,,,,,,,,,
3,Zovirax,,,,,,,,,,,,,,,,,,,
4,Foscavir,,,,,,,,,,,,,,,,,,,
5,varicella zoster immune globulin,,,,,,,,,,,,,,,,,,,
6,VariZIG,,,,,,,,,,,,,,,,,,,
7,GamaSTAN S / D,,,,,,,,,,,,,,,,,,,
8,immune globulin intramuscular,,,,,,,,,,,,,,,,,,,
9,foscarnet,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
