,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Visipaque,,,,,,,,,,,,,,,,,,,
1,Optiray 160,,,,,,,,,,,,,,,,,,,
2,Optiray 350,,,,,,,,,,,,,,,,,,,
3,iodixanol,,,,,,,,,,,,,,,,,,,
4,iopromide,,,,,,,,,,,,,,,,,,,
5,ioversol,,,,,,,,,,,,,,,,,,,
6,Optiray 240,,,,,,,,,,,,,,,,,,,
7,Optiray 300,,,,,,,,,,,,,,,,,,,
8,Optiray 320,,,,,,,,,,,,,,,,,,,
9,Ultravist,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
