,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,vitamin e,,,,,,,,,,,,,,,,,,,
1,E-400 Clear,,,,,,,,,,,,,,,,,,,
2,Aquasol E,,,,,,,,,,,,,,,,,,,
3,E-600,,,,,,,,,,,,,,,,,,,
4,Alpha E,,,,,,,,,,,,,,,,,,,
5,Aquavite-E,,,,,,,,,,,,,,,,,,,
6,E-Gems,,,,,,,,,,,,,,,,,,,
7,Aqua Gem-E,,,,,,,,,,,,,,,,,,,
8,Aqua-E,,,,,,,,,,,,,,,,,,,
9,Nutr-E-Sol,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,
