,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,gabapentin,,,,,,,,,,,,,,,,,,,
1,amitriptyline,,,,,,,,,,,,,,,,,,,
2,Topamax,,,,,,,,,,,,,,,,,,,
3,Effexor XR,,,,,,,,,,,,,,,,,,,
4,tramadol,,,,,,,,,,,,,,,,,,,
5,nortriptyline,,,,,,,,,,,,,,,,,,,
6,Pamelor,,,,,,,,,,,,,,,,,,,
7,sertraline,,,,,,,,,,,,,,,,,,,
8,citalopram,,,,,,,,,,,,,,,,,,,
9,topiramate,,,,,,,,,,,,,,,,,,,
10,fluoxetine,,,,,,,,,,,,,,,,,,,
11,carbamazepine,,,,,,,,,,,,,,,,,,,
12,Topamax Sprinkle,,,,,,,,,,,,,,,,,,,
13,venlafaxine,,,,,,,,,,,,,,,,,,,
14,Aventyl Hydrochloride,,,,,,,,,,,,,,,,,,,
15,escitalopram,,,,,,,,,,,,,,,,,,,
16,Topiragen,,,,,,,,,,,,,,,,,,,
17,desipramine,,,,,,,,,,,,,,,,,,,
18,paroxetine,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,
