,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,Xanax,,,,,,,,,,,,,,,,,,,
1,Ativan,,,,,,,,,,,,,,,,,,,
2,clonazepam,,,,,,,,,,,,,,,,,,,
3,alprazolam,,,,,,,,,,,,,,,,,,,
4,lorazepam,,,,,,,,,,,,,,,,,,,
5,Lexapro,,,,,,,,,,,,,,,,,,,
6,BuSpar,,,,,,,,,,,,,,,,,,,
7,Valium,,,,,,,,,,,,,,,,,,,
8,buspirone,,,,,,,,,,,,,,,,,,,
9,hydroxyzine,,,,,,,,,,,,,,,,,,,
10,Cymbalta,,,,,,,,,,,,,,,,,,,
11,diazepam,,,,,,,,,,,,,,,,,,,
12,Vistaril,,,,,,,,,,,,,,,,,,,
13,Effexor XR,,,,,,,,,,,,,,,,,,,
14,Paxil,,,,,,,,,,,,,,,,,,,
15,escitalopram,,,,,,,,,,,,,,,,,,,
16,gabapentin,,,,,,,,,,,,,,,,,,,
17,trazodone,,,,,,,,,,,,,,,,,,,
18,clonidine,,,,,,,,,,,,,,,,,,,
19,propranolol,,,,,,,,,,,,,,,,,,,
20,bupropion,,,,,,,,,,,,,,,,,,,
21,paroxetine,,,,,,,,,,,,,,,,,,,
22,Tenormin,,,,,,,,,,,,,,,,,,,
23,venlafaxine,,,,,,,,,,,,,,,,,,,
24,Alprazolam Intensol,,,,,,,,,,,,,,,,,,,
25,atenolol,,,,,,,,,,,,,,,,,,,
26,Librium,,,,,,,,,,,,,,,,,,,
27,mirtazapine,,,,,,,,,,,,,,,,,,,
28,Niravam,,,,,,,,,,,,,,,,,,,
29,tramadol,,,,,,,,,,,,,,,,,,,
30,Tranxene,,,,,,,,,,,,,,,,,,,
31,duloxetine,,,,,,,,,,,,,,,,,,,
32,Lorazepam Intensol,,,,,,,,,,,,,,,,,,,
33,Diazepam Intensol,,,,,,,,,,,,,,,,,,,
34,Paxil CR,,,,,,,,,,,,,,,,,,,
35,risperidone,,,,,,,,,,,,,,,,,,,
36,doxepin,,,,,,,,,,,,,,,,,,,
37,lamotrigine,,,,,,,,,,,,,,,,,,,
38,oxazepam,,,,,,,,,,,,,,,,,,,
39,chlordiazepoxide,,,,,,,,,,,,,,,,,,,
40,clorazepate,,,,,,,,,,,,,,,,,,,
41,Diastat,,,,,,,,,,,,,,,,,,,
42,Diastat AcuDial,,,,,,,,,,,,,,,,,,,
43,Diastat Pediatric,,,,,,,,,,,,,,,,,,,
44,Pexeva,,,,,,,,,,,,,,,,,,,
45,Sinequan,,,,,,,,,,,,,,,,,,,
46,Vanspar,,,,,,,,,,,,,,,,,,,
47,amitriptyline / perphenazine,,,,,,,,,,,,,,,,,,,
48,Compro,,,,,,,,,,,,,,,,,,,
49,Etrafon,,,,,,,,,,,,,,,,,,,
50,nefazodone,,,,,,,,,,,,,,,,,,,
51,oxcarbazepine,,,,,,,,,,,,,,,,,,,
52,phenytoin,,,,,,,,,,,,,,,,,,,
53,prochlorperazine,,,,,,,,,,,,,,,,,,,
54,Stelazine,,,,,,,,,,,,,,,,,,,
55,Triavil,,,,,,,,,,,,,,,,,,,
56,amitriptyline / chlordiazepoxide,,,,,,,,,,,,,,,,,,,
57,aspirin / meprobamate,,,,,,,,,,,,,,,,,,,
58,Corgard,,,,,,,,,,,,,,,,,,,
59,desvenlafaxine,,,,,,,,,,,,,,,,,,,
60,Duo-Vil,,,,,,,,,,,,,,,,,,,
61,Equagesic,,,,,,,,,,,,,,,,,,,
62,Etrafon Forte,,,,,,,,,,,,,,,,,,,
63,Limbitrol,,,,,,,,,,,,,,,,,,,
64,Limbitrol DS,,,,,,,,,,,,,,,,,,,
65,meprobamate,,,,,,,,,,,,,,,,,,,
66,Micrainin,,,,,,,,,,,,,,,,,,,
67,nadolol,,,,,,,,,,,,,,,,,,,
68,Tranxene T-Tab,,,,,,,,,,,,,,,,,,,
69,trifluoperazine,,,,,,,,,,,,,,,,,,,
70,vilazodone,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,
