,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,mupirocin,,,,,,,,,,,,,,,,,,,
1,Bactroban,,,,,,,,,,,,,,,,,,,
2,Augmentin,,,,,,,,,,,,,,,,,,,
3,Azithromycin Dose Pack,,,,,,,,,,,,,,,,,,,
4,amoxicillin / clavulanate,,,,,,,,,,,,,,,,,,,
5,Zithromax,,,,,,,,,,,,,,,,,,,
6,Zyvox,,,,,,,,,,,,,,,,,,,
7,azithromycin,,,,,,,,,,,,,,,,,,,
8,minocycline,,,,,,,,,,,,,,,,,,,
9,Ceftin,,,,,,,,,,,,,,,,,,,
10,gentamicin,,,,,,,,,,,,,,,,,,,
11,Biaxin,,,,,,,,,,,,,,,,,,,
12,Avelox,,,,,,,,,,,,,,,,,,,
13,clarithromycin,,,,,,,,,,,,,,,,,,,
14,Duricef,,,,,,,,,,,,,,,,,,,
15,Augmentin XR,,,,,,,,,,,,,,,,,,,
16,cefuroxime,,,,,,,,,,,,,,,,,,,
17,ciprofloxacin,,,,,,,,,,,,,,,,,,,
18,Cubicin,,,,,,,,,,,,,,,,,,,
19,linezolid,,,,,,,,,,,,,,,,,,,
20,Minocin,,,,,,,,,,,,,,,,,,,
21,Zmax,,,,,,,,,,,,,,,,,,,
22,cefadroxil,,,,,,,,,,,,,,,,,,,
23,cefdinir,,,,,,,,,,,,,,,,,,,
24,Cipro,,,,,,,,,,,,,,,,,,,
25,Cipro I.V.,,,,,,,,,,,,,,,,,,,
26,Cipro XR,,,,,,,,,,,,,,,,,,,
27,meropenem,,,,,,,,,,,,,,,,,,,
28,Proquin XR,,,,,,,,,,,,,,,,,,,
29,Teflaro,,,,,,,,,,,,,,,,,,,
30,Azactam,,,,,,,,,,,,,,,,,,,
31,ceftriaxone,,,,,,,,,,,,,,,,,,,
32,Maxipime,,,,,,,,,,,,,,,,,,,
33,Merrem,,,,,,,,,,,,,,,,,,,
34,moxifloxacin,,,,,,,,,,,,,,,,,,,
35,Bactroban Nasal,,,,,,,,,,,,,,,,,,,
36,cefepime,,,,,,,,,,,,,,,,,,,
37,daptomycin,,,,,,,,,,,,,,,,,,,
38,Fortaz,,,,,,,,,,,,,,,,,,,
39,neomycin,,,,,,,,,,,,,,,,,,,
40,Tygacil,,,,,,,,,,,,,,,,,,,
41,Zinacef,,,,,,,,,,,,,,,,,,,
42,Amoclan,,,,,,,,,,,,,,,,,,,
43,Augmentin ES-600,,,,,,,,,,,,,,,,,,,
44,Avelox I.V.,,,,,,,,,,,,,,,,,,,
45,aztreonam,,,,,,,,,,,,,,,,,,,
46,Biaxin XL,,,,,,,,,,,,,,,,,,,
47,cefoxitin,,,,,,,,,,,,,,,,,,,
48,ceftaroline,,,,,,,,,,,,,,,,,,,
49,ceftazidime,,,,,,,,,,,,,,,,,,,
50,Centany,,,,,,,,,,,,,,,,,,,
51,Centany AT Kit,,,,,,,,,,,,,,,,,,,
52,cilastatin / imipenem,,,,,,,,,,,,,,,,,,,
53,Dynacin,,,,,,,,,,,,,,,,,,,
54,Myrac,,,,,,,,,,,,,,,,,,,
55,Primaxin IV,,,,,,,,,,,,,,,,,,,
56,Ximino,,,,,,,,,,,,,,,,,,,
57,ampicillin / sulbactam,,,,,,,,,,,,,,,,,,,
58,cefaclor,,,,,,,,,,,,,,,,,,,
59,cefditoren,,,,,,,,,,,,,,,,,,,
60,Ceptaz,,,,,,,,,,,,,,,,,,,
61,Cubicin RF,,,,,,,,,,,,,,,,,,,
62,dalbavancin,,,,,,,,,,,,,,,,,,,
63,Dalvance,,,,,,,,,,,,,,,,,,,
64,Mefoxin,,,,,,,,,,,,,,,,,,,
65,nafcillin,,,,,,,,,,,,,,,,,,,
66,Orbactiv,,,,,,,,,,,,,,,,,,,
67,oritavancin,,,,,,,,,,,,,,,,,,,
68,Primaxin IM,,,,,,,,,,,,,,,,,,,
69,Sivextro,,,,,,,,,,,,,,,,,,,
70,Spectracef,,,,,,,,,,,,,,,,,,,
71,Tazicef,,,,,,,,,,,,,,,,,,,
72,tedizolid,,,,,,,,,,,,,,,,,,,
73,telavancin,,,,,,,,,,,,,,,,,,,
74,tigecycline,,,,,,,,,,,,,,,,,,,
75,Unasyn,,,,,,,,,,,,,,,,,,,
76,Unipen,,,,,,,,,,,,,,,,,,,
77,Vibativ,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,
