,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Xarelto,,,,,,,,,,,"back pain;bleeding gums;bloody stools;bowel or bladder dysfunction;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;coughing up blood;difficulty with breathing or swallowing;dizziness;headache;increased menstrual flow or vaginal bleeding;leg weakness;nosebleeds;numbness;paralysis;prolonged bleeding from cuts;red or black, tarry stools;red or dark brown urine;vomiting of blood or material that looks like coffee grounds;fainting;pain in the arms or legs;wound secretion;burning while urinating;difficult or painful urination;abdominal or stomach pain or swelling;blistering, peeling, or loosening of the skin;blurred vision;chills;clay-colored stools;cough or hoarseness;dark urine;diarrhea;fast or irregular heartbeat;fever with or without chills;general feeling of tiredness or weakness;hives, itching, or skin rash;joint or muscle pain;loss of appetite;lower back or side pain;nausea or vomiting;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red skin lesions, often with a purple center;red, irritated eyes;severe headache;sore throat;sores, ulcers, or white spots in the mouth or on the lips;tightness in the chest;unpleasant breath odor;unusual bleeding or bruising;unusual tiredness or weakness;yellow eyes or skin;blisters;muscle spasm",,,,,,,,
1,1,digoxin,,,,,,,,,,,"dizziness;fainting;fast, pounding, or irregular heartbeat or pulse;slow heartbeat;black, tarry stools;bleeding gums;blood in the urine or stools;bloody vomit;pinpoint red spots on the skin;rash with flat lesions or small raised lesions on the skin;severe stomach pain;unusual bleeding or bruising;chest pain or discomfort;nausea;shortness of breath;sweating;swelling of the feet and lower legs;troubled breathing;unusual tiredness or weakness;agitation or combativeness;anxiety;confusion;depression;diarrhea;expressed fear of impending death;hallucinations;rash;vomiting;blurred or loss of vision;disturbed color perception;double vision;halos around lights;headache;lack of feeling or emotion;loss of appetite;night blindness;overbright appearance of lights;swelling of the breasts or breast soreness in both females and males;tunnel vision;weakness;weight loss;or",,,,,,,,
2,2,metoprolol,,,,,,,,,,,"blurred vision;chest pain or discomfort;confusion;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;shortness of breath;slow or irregular heartbeat;sweating;unusual tiredness or weakness;bloating or swelling of the face, arms, hands, lower legs, or feet;cough;decreased urine output;difficult or labored breathing;difficulty with speaking;dilated neck veins;disturbed color perception;double vision;extreme fatigue;fast, pounding, or racing heartbeat or pulse;halos around lights;headache;inability to move the arms, legs, or facial muscles;inability to speak;irregular breathing;loss of vision;night blindness;noisy breathing;overbright appearance of lights;pain, tension, and weakness upon walking that subsides during periods of rest;paleness or cold feeling in the fingertips and toes;rapid weight gain;seeing, hearing, or feeling things that are not there;short-term memory loss;slow speech;swelling of the face, fingers, feet, or lower legs;tightness in the chest;tingling of the hands or feet;tingling or pain in the fingers or toes when exposed to cold;troubled breathing;tunnel vision;unusual weight gain or loss;bluish color skin of the fingers or toes;chills;clay-colored stools;continuing loss of appetite;continuing or severe abdominal or stomach pain;continuing or severe nausea and vomiting;dark urine;difficulty with moving;fever;general tiredness and weakness;hoarseness;increased frequency of urination;itching skin;light-colored stools;lower back or side pain;muscle pain or stiffness;numbness of the fingers or toes;pain, swelling, or redness in the joints;rash;sore throat;sores, ulcers, or white spots on the lips or in the mouth;unpleasant breath odor;unusual bleeding or bruising;upper right abdominal or stomach pain;vomiting of blood;weakness;yellow eyes and skin;black, tarry stools;bleeding gums;blood in the urine or stools;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;cool, sweaty skin;pinpoint red spots on the skin;bluish color of the fingernails, lips, skin, palms, or nail beds;change in consciousness;loss of consciousness;no blood pressure or pulse;stopping of heart;unconsciousness;very drowsy or sleepy;belching;bloated;decreased interest in sexual intercourse;difficulty having a bowel movement (stool);discouragement;dry mouth;excess air or gas in stomach or intestines;feeling of constant movement of self or surroundings;feeling of indigestion;feeling sad or empty;full feeling;inability to have or keep an erection;irritability;loss in sexual ability, desire, drive, or performance;loss of interest or pleasure;nightmares;pain in the chest below the breastbone;passing gas;redness or other discoloration of the skin;runny nose;sensation of spinning;sneezing;stuffy nose;tiredness;trouble concentrating;trouble sleeping;bone pain;continuing ringing or buzzing or other unexplained noise in the ears;dry eyes;hair loss or thinning of the hair;hearing loss;increased sensitivity of the skin to sunlight;pain of penis on erection;severe sunburn;change in taste or bad, unusual, or unpleasant (after) taste;fear or nervousness;hives or welts;or",,,,,,,,
3,3,Cardizem,,,,,,,,,,,"body aches or pain;congestion;cough;dryness or soreness of the throat;fever;hoarseness;runny nose;tender or swollen glands in the neck;trouble swallowing;voice changes;chest pain or discomfort;chills;diarrhea;difficult or labored breathing;feeling faint, dizzy, or lightheaded;feeling of warmth or heat;flushing or redness of the skin, especially on the face and neck;general feeling of discomfort or illness;headache;joint pain;loss of appetite;muscle aches and pains;nausea;shivering;slow or irregular heartbeat;sweating;swelling of the hands, ankles, feet, or lower legs;tightness in the chest;trouble sleeping;unusual tiredness or weakness;vomiting;blistering, peeling, or loosening of the skin;itching;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;no heartbeat;red skin lesions, often with a purple center;red, irritated eyes;sores, ulcers, or white spots in the mouth or on the lips;sneezing;stuffy nose;acid or sour stomach;belching;constipation;continuing ringing or buzzing or other unexplained noise in the ears;degenerative disease of the joint;difficulty with moving;hearing loss;heartburn;indigestion;lack or loss of strength;muscle aching or cramping;muscle pains or stiffness;pain or tenderness around the eyes and cheekbones;rash;stomach discomfort, upset, or pain;swollen joints;hair loss or thinning of the hair;or",,,,,,,,
4,4,diltiazem,,,,,,,,,,,"body aches or pain;congestion;cough;dryness or soreness of the throat;fever;hoarseness;runny nose;tender or swollen glands in the neck;trouble swallowing;voice changes;chest pain or discomfort;chills;diarrhea;difficult or labored breathing;feeling faint, dizzy, or lightheaded;feeling of warmth or heat;flushing or redness of the skin, especially on the face and neck;general feeling of discomfort or illness;headache;joint pain;loss of appetite;muscle aches and pains;nausea;shivering;slow or irregular heartbeat;sweating;swelling of the hands, ankles, feet, or lower legs;tightness in the chest;trouble sleeping;unusual tiredness or weakness;vomiting;blistering, peeling, or loosening of the skin;itching;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;no heartbeat;red skin lesions, often with a purple center;red, irritated eyes;sores, ulcers, or white spots in the mouth or on the lips;sneezing;stuffy nose;acid or sour stomach;belching;constipation;continuing ringing or buzzing or other unexplained noise in the ears;degenerative disease of the joint;difficulty with moving;hearing loss;heartburn;indigestion;lack or loss of strength;muscle aching or cramping;muscle pains or stiffness;pain or tenderness around the eyes and cheekbones;rash;stomach discomfort, upset, or pain;swollen joints;hair loss or thinning of the hair;or",,,,,,,,
5,5,flecainide,,,,,,,,,,,"difficult or labored breathing;dizziness, fainting, or lightheadedness;fast, irregular, pounding, or racing heartbeat or pulse;shortness of breath;tightness in the chest;wheezing;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chest pain;fainting;feeling of warmth;fever;increased sweating;partial or slight paralysis;redness of the face, neck, arms, and occasionally, upper chest;shakiness and unsteady walk;shakiness in the legs, arms, hands, or feet;swelling of the feet or lower legs;trembling or shaking of the hands or feet;unsteadiness, trembling, or other problems with muscle control or coordination;arm, back, or jaw pain;black, tarry stools;bleeding gums;blood in the urine or stools;blurred vision;chest discomfort;chest tightness or heaviness;chills;confusion;convulsions;cough;decrease in the frequency of urination;decrease in urine volume;difficulty in passing urine (dribbling);difficulty with breathing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;frequent urination;general feeling of discomfort or illness;headache;increased volume of pale, dilute urine;nausea;nervousness;noisy breathing;painful or difficult urination;pinpoint red spots on the skin;pounding in the ears;sensation of pins and needles;slow or fast heartbeat;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stabbing pain;sweating;swollen glands;thickening of bronchial secretions;troubled breathing;unusual bleeding or bruising;unusual tiredness or weakness;yellow eyes or skin;blurred vision or seeing spots;abdominal or stomach pain;acid or sour stomach;anxiety or mental depression;belching;constipation;continuing ringing or buzzing or other unexplained noise in the ears;depression;diarrhea;feeling of constant movement of self or surroundings;general feeling of discomfort or illness;hearing loss;heartburn;indigestion;lack or loss of strength;loss of appetite;sensation of spinning;sleepiness or unusual drowsiness;sleeplessness;skin rash;stomach discomfort, upset, or pain;trouble with sleeping;unable to sleep;weight loss;bloated;change in color vision;change in taste;cracks in the skin;decreased awareness or responsiveness;decreased interest in sexual intercourse;difficulty seeing at night;difficulty with moving;dry mouth;excess air or gas in the stomach or intestines;eye pain  or irritation;false or unusual sense of well-being;feeling of unreality;full feeling;hair loss or thinning of the hair;hives or welts;inability to have or keep an erection;increased sensitivity of the eyes to sunlight;itching skin;joint pain;lack of feeling or emotion;loss in sexual ability, desire, drive, or performance;loss of heat from the body;loss of memory;muscle aching or cramping;muscle pain or stiffness;passing gas;problems with memory;red, swollen skin;scaly skin;sense of detachment from self or body;severe sleepiness;swollen joints;swollen lips, mouth, or tongue;uncaring uncontrolled eye movements;or",,,,,,,,
6,6,Multaq,,,,,,,,,,,"chest pain or discomfort;lightheadedness, dizziness, or fainting;shortness of breath;slow or irregular heartbeat;unusual tiredness;abdominal or stomach pain, severe;chills;cough;dark urine;fever;general feeling of discomfort or illness;loss of appetite;nausea or vomiting;thickening of bronchial secretions;unusual tiredness or weakness;yellow eyes or skin;diarrhea;lack or loss of strength;acid or sour stomach;belching;blistering, crusting, irritation, itching, or reddening of the skin;cracked, dry, or scaly skin;heartburn;indigestion;itching skin;rash;redness or discoloration of the skin;skin rash, encrusted, scaly, and oozing;skin rash, hives, itching, or redness;stomach discomfort, upset, or pain;swelling;change in taste;increased sensitivity of the skin to sunlight;loss of taste;severe sunburn",,,,,,,,
7,7,carvedilol,,,,,,,,,,,"allergy;chest pain, discomfort, tightness, or heaviness;dizziness, lightheadedness, or fainting;generalized swelling or swelling of the feet, ankles, or lower legs;pain;shortness of breath;slow heartbeat;weight gain;ankle, knee, or great toe joint pain;anxiety;arm, back, or jaw pain;blood in the urine;bloody, black or tarry stools;chills;cloudy urine;cold sweats;coma;confusion;convulsions;cool pale skin;cough;dark urine;decreased appetite;decreased frequency or amount of urine;depression;difficulty with breathing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying position;dry mouth;fainting;fast or irregular heartbeat;fever;flu-like symptoms;flushed, dry skin;fruit-like breath odor;headache, sudden and severe;inability to speak;increased blood pressure;increased hunger;increased thirst;increased urination;itching;joint stiffness or swelling;large amount of cholesterol in the blood;loss of appetite;loss of consciousness;lower back, side, or stomach pain;mental depression;muscle pain or cramps;nervousness;nightmares;noisy, rattling breathing;numbness or tingling in the hands, feet, or lips;pinpoint red or purple spots on the skin;pounding in the ears;pounding, slow heartbeat;rapid breathing;seizures;shakiness;slurred speech;stomachache;sweating;swelling of the fingers or hands;temporary blindness;tenderness on the upper right side of the body;trouble with breathing even at rest;unexplained weight loss;unusual bleeding or bruising;weakness in the arm and/or leg on one side of the body, sudden and severe;weakness or heaviness of the legs;yellow eyes or skin;sores, ulcers, or white spots on the lips or in the mouth;swollen or painful glands;wheezing;back pain;diarrhea;prickling or tingling sensation;unusual tiredness or weakness;abdominal or stomach pain;bleeding gums;blurred vision;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;changes in vision;cold hands and feet;decreased interest in sexual intercourse;decreased tearing;difficulty with moving;feeling of constant movement of self or surroundings;general feeling of discomfort or illness;headache;inability to have or keep an erection;increased sweating;joint or muscle pain;lack or loss of strength;loose teeth;loss of sexual ability, desire, or performance;loss of strength or energy;muscle aches, stiffness, or weakness;nausea;persistent breath odor or bad taste in your mouth;redness and swelling of the gums;sensation of spinning;sleepiness or unusual drowsiness;sore throat;stuffy or runny nose;sugar in the urine;trouble sleeping;unusual weak feeling;vomiting;weight loss;or",,,,,,,,
8,8,sotalol,,,,,,,,,,,"blurred vision;chest pain or discomfort;confusion;difficult or labored breathing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fast, slow, irregular, pounding, or racing heartbeat or pulse;lightheadedness, dizziness, or fainting;nausea and vomiting;sweating;swelling of the face, fingers, feet, or lower legs;tightness in the chest;unusual tiredness or weakness;abdominal or stomach pain or swelling;body aches or pain;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;cough or hoarseness;decreased alertness;difficulty with speaking;dilated neck veins;double vision;extreme fatigue;feeling of warmth or heat;fever or chills;flushing or redness of the skin, especially on the face and neck;headache;inability to move the arms, legs, or facial muscles;inability to speak;irregular breathing;joint pain or swelling;loss of voice;lower back or side pain;nervousness;noisy breathing;painful, burning, or difficult urination;pounding in the ears;slow speech;weight gain;fast breathing;pinpoint red spots on the skin;anxiety;cold sweats;cool, pale skin;depression;increased hunger;nightmares;seizures;shakiness;slurred speech;acid or sour stomach;difficulty with sleeping;heartburn or indigestion;pain in the arms or legs;changes in vision;decreased sexual performance or desire;loss of appetite;mood changes;night blindness;passing gas;skin rash;weight changes;feeling of constant movement of self or surroundings;hair loss or thinning of the hair;itching skin;muscle aching or cramping;muscle pains or stiffness;quick to react or overreact emotionally;sensation of spinning;severe sunburn;or",,,,,,,,
9,9,Lanoxin,,,,,,,,,,,"dizziness;fainting;fast, pounding, or irregular heartbeat or pulse;slow heartbeat;black, tarry stools;bleeding gums;blood in the urine or stools;bloody vomit;pinpoint red spots on the skin;rash with flat lesions or small raised lesions on the skin;severe stomach pain;unusual bleeding or bruising;chest pain or discomfort;nausea;shortness of breath;sweating;swelling of the feet and lower legs;troubled breathing;unusual tiredness or weakness;agitation or combativeness;anxiety;confusion;depression;diarrhea;expressed fear of impending death;hallucinations;rash;vomiting;blurred or loss of vision;disturbed color perception;double vision;halos around lights;headache;lack of feeling or emotion;loss of appetite;night blindness;overbright appearance of lights;swelling of the breasts or breast soreness in both females and males;tunnel vision;weakness;weight loss;or",,,,,,,,
