,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Librium,,,,,,,,,,,"fainting;mood or mental changes;shakiness and unsteady walk;unsteadiness, trembling, or other problems with muscle control or coordination;abdominal and muscle cramps;chills;clay-colored stools;convulsions;cough or hoarseness;dark urine;difficulty in speaking;dizziness;drooling;fever with or without chills;general feeling of tiredness or weakness;headache;itching;light-colored stools;loss of appetite;loss of balance control;lower back or side pain;muscle trembling, jerking, or stiffness;nausea and vomiting;painful or difficult urination;pale skin;rash;restlessness;shakiness in the legs, arms, hands, or feet;shuffling walk;sleeplessness;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stiffness of the limbs;stomach pain;sweating;swelling;trouble sleeping;twisting movements of the body;unable to sleep;uncontrolled movements, especially of the face, neck, and back;unpleasant breath odor;unusual bruising or bleeding;unusual tiredness or weakness;vomiting of blood;yellow eyes or skin;change in consciousness;lack of coordination;loss of consciousness;sleepiness or unusual drowsiness;decreased interest in sexual intercourse;difficulty having a bowel movement (stool);inability to have or keep an erection;increased in sexual ability, desire, drive, or performance;increased interest in sexual intercourse;loss in sexual ability, desire, drive, or performance;menstrual changes;skin blisters",,,,,,,,
1,1,gabapentin,,,,,,,,,,,"clumsiness or unsteadiness;continuous, uncontrolled, back-and-forth, or rolling eye movements;aggressive behavior or other behavior problems;anxiety;concentration problems and change in school performance;crying;depression;false sense of well-being;hyperactivity or increase in body movements;rapidly changing moods;reacting too quickly, too emotional, or overreacting;restlessness;suspiciousness or distrust;black, tarry stools;chest pain;chills;cough;depression, irritability, or other mood or mental changes;fever;loss of memory;pain or swelling in the arms or legs;painful or difficult urination;shortness of breath;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swollen glands;unusual bleeding or bruising;unusual tiredness or weakness;abdominal or stomach pain;blistering, peeling, or loosening of the skin;clay-colored stools;coma;confusion;convulsions;dark urine;decreased urine output;diarrhea;dizziness;fast or irregular heartbeat;headache;increased thirst;itching or skin rash;joint pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of appetite;muscle ache or pain;nausea;red skin lesions, often with a purple center;red, irritated eyes;unpleasant breath odor;vomiting of blood;yellow eyes or skin;blurred vision;cold or flu-like symptoms;delusions;dementia;hoarseness;lack or loss of strength;lower back or side pain;swelling of the hands, feet, or lower legs;trembling or shaking;accidental injury;appetite increased;back pain;bloated or full feeling;body aches or pain;burning, dry, or itching eyes;change in vision;change in walking and balance;clumsiness or unsteadiness;congestion;constipation;cough producing mucus;decrease in sexual desire or ability;difficulty with breathing;dryness of the mouth or throat;earache;excess air or gas in the stomach or intestines;excessive tearing;eye discharge;feeling faint, dizzy, or lightheadedness;feeling of warmth or heat;flushed, dry skin;flushing or redness of the skin, especially on the face and neck;frequent urination;fruit-like breath odor;impaired vision;incoordination;increased hunger;increased sensitivity to pain;increased sensitivity to touch;increased thirst;indigestion;noise in the ears;pain, redness, rash, swelling, or bleeding where the skin is rubbed off;passing gas;redness or swelling in the ear;redness, pain, swelling of the eye, eyelid, or inner lining of the eyelid;runny nose;sneezing;sweating;tender, swollen glands in the neck;tightness in the chest;tingling in the hands and feet;trouble sleeping;trouble swallowing;trouble thinking;twitching;unexplained weight loss;voice changes;vomiting;weakness or loss of strength;weight gain;or",,,,,,,,
2,2,baclofen,,,,,,,,,,,"bloody or dark urine;chest pain;fainting;hallucinations (seeing or hearing things that are not there);mental depression or other mood changes;ringing or buzzing in the ears;skin rash or itching;blurred or double vision;convulsions (seizures);muscle weakness (severe);shortness of breath or unusually slow or troubled breathing;vomiting;confusion;dizziness or lightheadedness;drowsiness;nausea;unusual weakness, especially muscle weakness;abdominal or stomach pain or discomfort;clumsiness, unsteadiness, trembling, or other problems with muscle control;constipation;diarrhea;difficult or painful urination or decrease in amount of urine;false sense of well-being;frequent urge to urinate or uncontrolled urination;headache;loss of appetite;low blood pressure;muscle or joint pain;numbness or tingling in hands or feet;pounding heartbeat;sexual problems in males;slurred speech or other speech problems;stuffy nose;swelling of ankles;trouble in sleeping;unexplained muscle stiffness;unusual excitement;unusual tiredness;weight gain;convulsions (seizures);hallucinations (seeing or hearing things that are not there);increase in muscle spasm, cramping, or tightness;mood or mental changes;unusual nervousness or restlessness;or",,,,,,,,
3,3,Valium,,,,,,,,,,,"shakiness and unsteady walk;unsteadiness, trembling, or other problems with muscle control or coordination;abdominal or stomach pain;agitation;anxiety;black, tarry stools;blistering, flaking, or peeling of skin;blurred vision;changes in patterns and rhythms of speech;chills;confusion;cough;dark urine;decrease in frequency of urination;decrease in urine volume;difficulty in passing urine (dribbling);discouragement;dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly;false beliefs that cannot be changed by facts;fast heartbeat;fast or irregular breathing;feeling sad or empty;feeling that others are watching you or controlling your behavior;feeling that others can hear your thoughts;feeling, seeing, or hearing things that are not there;fever;headache;hyperexcitability;increased muscle spasms or tone;irritability;itching;lack of appetite;lack of memory of what takes place after a certain event;loss of appetite;loss of bladder control;loss of interest or pleasure;lower back or side pain;mood or other mental changes;nausea;nervousness;nightmares;outbursts of anger;painful or difficult urination;pale skin;rash;restlessness;seizures;shakiness in the legs, arms, hands, or feet;shortness of breath;sleeplessness;slurred speech;sore throat;sweating;trembling or shaking of the hands or feet;tremor;trouble concentrating;trouble in speaking;trouble sleeping;ulcers, sores, or white spots in the mouth;unable to sleep;unpleasant breath odor;unusual behavior;unusual bleeding or bruising;unusual feeling of excitement;unusual tiredness or weakness;vomiting of blood;yellow eyes or skin;change in consciousness;difficult or troubled breathing;irregular, fast or slow, or shallow breathing;lack of coordination;loss of consciousness;loss of strength or energy;muscle pain or weakness;pale or blue lips, fingernails, or skin;sleepiness;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;constipation;decreased interest in sexual intercourse;diarrhea;difficulty in swallowing;double vision;dry mouth;feeling of constant movement of self or surroundings;inability to have or keep an erection;increase in sexual ability, desire, drive, or performance;increased interest in sexual intercourse;increased watering of mouth;indigestion;loss of sexual ability, desire, drive, or performance;passing of gas;seeing double;sensation of spinning;or",,,,,,,,
4,4,diazepam,,,,,,,,,,,"shakiness and unsteady walk;unsteadiness, trembling, or other problems with muscle control or coordination;abdominal or stomach pain;agitation;anxiety;black, tarry stools;blistering, flaking, or peeling of skin;blurred vision;changes in patterns and rhythms of speech;chills;confusion;cough;dark urine;decrease in frequency of urination;decrease in urine volume;difficulty in passing urine (dribbling);discouragement;dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly;false beliefs that cannot be changed by facts;fast heartbeat;fast or irregular breathing;feeling sad or empty;feeling that others are watching you or controlling your behavior;feeling that others can hear your thoughts;feeling, seeing, or hearing things that are not there;fever;headache;hyperexcitability;increased muscle spasms or tone;irritability;itching;lack of appetite;lack of memory of what takes place after a certain event;loss of appetite;loss of bladder control;loss of interest or pleasure;lower back or side pain;mood or other mental changes;nausea;nervousness;nightmares;outbursts of anger;painful or difficult urination;pale skin;rash;restlessness;seizures;shakiness in the legs, arms, hands, or feet;shortness of breath;sleeplessness;slurred speech;sore throat;sweating;trembling or shaking of the hands or feet;tremor;trouble concentrating;trouble in speaking;trouble sleeping;ulcers, sores, or white spots in the mouth;unable to sleep;unpleasant breath odor;unusual behavior;unusual bleeding or bruising;unusual feeling of excitement;unusual tiredness or weakness;vomiting of blood;yellow eyes or skin;change in consciousness;difficult or troubled breathing;irregular, fast or slow, or shallow breathing;lack of coordination;loss of consciousness;loss of strength or energy;muscle pain or weakness;pale or blue lips, fingernails, or skin;sleepiness;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;constipation;decreased interest in sexual intercourse;diarrhea;difficulty in swallowing;double vision;dry mouth;feeling of constant movement of self or surroundings;inability to have or keep an erection;increase in sexual ability, desire, drive, or performance;increased interest in sexual intercourse;increased watering of mouth;indigestion;loss of sexual ability, desire, drive, or performance;passing of gas;seeing double;sensation of spinning;or",,,,,,,,
5,5,chlordiazepoxide,,,,,,,,,,,"fainting;mood or mental changes;shakiness and unsteady walk;unsteadiness, trembling, or other problems with muscle control or coordination;abdominal and muscle cramps;chills;clay-colored stools;convulsions;cough or hoarseness;dark urine;difficulty in speaking;dizziness;drooling;fever with or without chills;general feeling of tiredness or weakness;headache;itching;light-colored stools;loss of appetite;loss of balance control;lower back or side pain;muscle trembling, jerking, or stiffness;nausea and vomiting;painful or difficult urination;pale skin;rash;restlessness;shakiness in the legs, arms, hands, or feet;shuffling walk;sleeplessness;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stiffness of the limbs;stomach pain;sweating;swelling;trouble sleeping;twisting movements of the body;unable to sleep;uncontrolled movements, especially of the face, neck, and back;unpleasant breath odor;unusual bruising or bleeding;unusual tiredness or weakness;vomiting of blood;yellow eyes or skin;change in consciousness;lack of coordination;loss of consciousness;sleepiness or unusual drowsiness;decreased interest in sexual intercourse;difficulty having a bowel movement (stool);inability to have or keep an erection;increased in sexual ability, desire, drive, or performance;increased interest in sexual intercourse;loss in sexual ability, desire, drive, or performance;menstrual changes;skin blisters",,,,,,,,
6,6,clonidine,,,,,,,,,,,"mental depression;swelling of the feet and lower legs;anxiety;blistering, burning, crusting, dryness, or flaking of the skin;chest pain or discomfort;confusion as to time, place, or person;decreased urine output;dilated neck veins;drowsiness;dry mouth;fast, pounding, or irregular heartbeat or pulse;fever;general feeling of discomfort or illness;holding false beliefs that cannot be changed by fact;hyperventilation;irregular breathing;irritability;itching, scaling, severe redness, soreness, or swelling of the skin;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;lightheadedness, dizziness, or fainting;mental depression;paleness or cold feeling in the fingertips and toes;pounding, slow heartbeat;problems in urination or increase in the amount of urine;raised red swellings on the skin, lips, tongue, or in the throat;restlessness;seeing or hearing things that are not there;shaking;shortness of breath;skin rash;swelling of the face, fingers, feet, or lower legs;tightness in the chest;tingling or pain in the fingers or toes when exposed to cold;trouble with sleeping;troubled breathing;unusual excitement, nervousness, or restlessness;unusual tiredness or weakness;vivid dreams or nightmares;weight gain;wheezing;dizziness (extreme) or faintness;feeling cold;pinpoint pupils of the eyes;unusual tiredness or weakness (extreme);constipation;darkening of the skin;decreased sexual ability;dry, itching, or burning eyes;loss of appetite;nausea or vomiting;blurred vision;decreased interest in sexual intercourse;hair loss or thinning of the hair;inability to have or keep an erection;leg cramps;loss in sexual ability, desire, drive, or performance;muscle or joint pain;pale skin;swelling of the breasts or breast soreness in both females and males;weakness;or",,,,,,,,
7,7,atenolol,,,,,,,,,,,"blurred vision;cold hands or feet;confusion;difficult or labored breathing;dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly;shortness of breath;sweating;tightness in chest;unusual tiredness or weakness;wheezing;anxiety;chest pain or discomfort;chills;cold sweats;cough;dizziness or lightheadedness;fainting;fast heartbeat;leg pain;noisy breathing;slow or irregular heartbeat;sudden shortness of breath or troubled breathing;bloody urine;decreased frequency or amount of urine;increased blood pressure;increased thirst;loss of appetite;lower back or side pain;nausea;swelling of face, fingers, or lower legs;vomiting;weight gain;black, tarry stools;bleeding gums;blood in urine or stools;blurred or loss of vision;bone or joint pain;disturbed color perception;double vision;feeling that others are watching you or controlling your behavior;feeling that others can hear your thoughts;feeling, seeing, or hearing things that are not there;fever;halos around lights;night blindness;overbright appearance of lights;paleness or cold feeling in fingertips and toes;pinpoint red or purple spots on skin;severe mood or mental changes;skin irritation or rash, including rash that looks like psoriasis;skin rash, hives, or itching;sore throat;swollen or painful glands;tingling or pain in fingers or toes when exposed to cold;tunnel vision;unusual behavior;unusual bleeding or bruising;anxiety;coma;cool, pale skin;depression;dilated neck veins;extreme fatigue;headache;increased hunger;irregular breathing;nervousness;nightmares;seizures;shakiness;slurred speech;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;discouragement;feeling sad or empty;irritability;lack of appetite;loss of interest or pleasure;trouble concentrating;trouble sleeping;diarrhea;dream activity;feeling of constant movement of self or surroundings;sensation of spinning;sleepiness;decreased interest in sexual intercourse;dry mouth;inability to have or keep an erection;loss in sexual ability, desire, drive, or performance;loss of hair, temporary;pain of penis on erection;or",,,,,,,,
8,8,Tranxene,,,,,,,,,,,"bladder pain;bloody or cloudy urine;difficult, burning, or painful urination;frequent urge to urinate;lower back or side pain;shakiness and unsteady walk;slurred speech;trembling or shaking of the hands or feet;unsteadiness, trembling, or other problems with muscle control or coordination;change in consciousness;drowsiness;loss of consciousness;relaxed and calm;sleepiness;blurred vision;diarrhea;discouragement;dizziness;double vision;dry mouth;feeling sad or empty;headache;indigestion;irritability;loss of appetite;loss of interest or pleasure;mental confusion;nausea or vomiting;nervousness;passing of gas;seeing double;skin rash;sleeplessness;stomach pain, fullness, or discomfort;trouble with concentrating;trouble with sleeping;unable to sleep;unusual tiredness or weakness;or",,,,,,,,
9,9,Tenormin,,,,,,,,,,,"blurred vision;cold hands or feet;confusion;difficult or labored breathing;dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly;shortness of breath;sweating;tightness in chest;unusual tiredness or weakness;wheezing;anxiety;chest pain or discomfort;chills;cold sweats;cough;dizziness or lightheadedness;fainting;fast heartbeat;leg pain;noisy breathing;slow or irregular heartbeat;sudden shortness of breath or troubled breathing;bloody urine;decreased frequency or amount of urine;increased blood pressure;increased thirst;loss of appetite;lower back or side pain;nausea;swelling of face, fingers, or lower legs;vomiting;weight gain;black, tarry stools;bleeding gums;blood in urine or stools;blurred or loss of vision;bone or joint pain;disturbed color perception;double vision;feeling that others are watching you or controlling your behavior;feeling that others can hear your thoughts;feeling, seeing, or hearing things that are not there;fever;halos around lights;night blindness;overbright appearance of lights;paleness or cold feeling in fingertips and toes;pinpoint red or purple spots on skin;severe mood or mental changes;skin irritation or rash, including rash that looks like psoriasis;skin rash, hives, or itching;sore throat;swollen or painful glands;tingling or pain in fingers or toes when exposed to cold;tunnel vision;unusual behavior;unusual bleeding or bruising;anxiety;coma;cool, pale skin;depression;dilated neck veins;extreme fatigue;headache;increased hunger;irregular breathing;nervousness;nightmares;seizures;shakiness;slurred speech;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;discouragement;feeling sad or empty;irritability;lack of appetite;loss of interest or pleasure;trouble concentrating;trouble sleeping;diarrhea;dream activity;feeling of constant movement of self or surroundings;sensation of spinning;sleepiness;decreased interest in sexual intercourse;dry mouth;inability to have or keep an erection;loss in sexual ability, desire, drive, or performance;loss of hair, temporary;pain of penis on erection;or",,,,,,,,
