,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Zaditor,,,,,,,,,,,"chills;cough;diarrhea;fever;general feeling of discomfort or illness;headache;joint pain;loss of appetite;muscle aches and pains;nausea;runny nose;shivering;sore throat;sweating;trouble sleeping;unusual tiredness or weakness;vomiting;abdominal or stomach pain;blistering, itching, peeling, or redness of skin;bloody or cloudy urine;clay-colored stools;convulsions;dark urine;difficult, burning, or painful urination;dizziness;frequent urge to urinate;muscle spasm or jerking of all extremities;rash;sudden loss of consciousness;unpleasant breath odor;vomiting of blood;yellow eyes or skin;blurred vision;confusion;convulsions;disorientation;dizziness;drowsiness (severe);faintness or lightheadedness when getting up from a lying or sitting position;fast, pounding, or irregular heartbeat or pulse;hyperexcitability;loss of consciousness;palpitations;sweating;unusual tiredness or weakness;weight gain;bloody nose;drowsiness;dryness of mouth;excitation;increased appetite;irritability;nervousness;swelling of eyelids;unexplained nosebleeds;or",,,,,,,,
1,1,ketotifen,,,,,,,,,,,"chills;cough;diarrhea;fever;general feeling of discomfort or illness;headache;joint pain;loss of appetite;muscle aches and pains;nausea;runny nose;shivering;sore throat;sweating;trouble sleeping;unusual tiredness or weakness;vomiting;abdominal or stomach pain;blistering, itching, peeling, or redness of skin;bloody or cloudy urine;clay-colored stools;convulsions;dark urine;difficult, burning, or painful urination;dizziness;frequent urge to urinate;muscle spasm or jerking of all extremities;rash;sudden loss of consciousness;unpleasant breath odor;vomiting of blood;yellow eyes or skin;blurred vision;confusion;convulsions;disorientation;dizziness;drowsiness (severe);faintness or lightheadedness when getting up from a lying or sitting position;fast, pounding, or irregular heartbeat or pulse;hyperexcitability;loss of consciousness;palpitations;sweating;unusual tiredness or weakness;weight gain;bloody nose;drowsiness;dryness of mouth;excitation;increased appetite;irritability;nervousness;swelling of eyelids;unexplained nosebleeds;or",,,,,,,,
2,2,Alaway,,,,,,,,,,,"chills;cough;diarrhea;fever;general feeling of discomfort or illness;headache;joint pain;loss of appetite;muscle aches and pains;nausea;runny nose;shivering;sore throat;sweating;trouble sleeping;unusual tiredness or weakness;vomiting;abdominal or stomach pain;blistering, itching, peeling, or redness of skin;bloody or cloudy urine;clay-colored stools;convulsions;dark urine;difficult, burning, or painful urination;dizziness;frequent urge to urinate;muscle spasm or jerking of all extremities;rash;sudden loss of consciousness;unpleasant breath odor;vomiting of blood;yellow eyes or skin;blurred vision;confusion;convulsions;disorientation;dizziness;drowsiness (severe);faintness or lightheadedness when getting up from a lying or sitting position;fast, pounding, or irregular heartbeat or pulse;hyperexcitability;loss of consciousness;palpitations;sweating;unusual tiredness or weakness;weight gain;bloody nose;drowsiness;dryness of mouth;excitation;increased appetite;irritability;nervousness;swelling of eyelids;unexplained nosebleeds;or",,,,,,,,
3,3,Bepreve,,,,,,,,,,,"red, sore eyes;body rash;itching;swelling of the lips, tongue, or throat;mild taste in your mouth;fever;headache;muscle aches;sore throat;stuffy or runny nose;unusual tiredness or weakness;or",,,,,,,,
4,4,Optivar,,,,,,,,,,,"cough;difficulty breathing;noisy breathing;shortness of breath;tightness in chest;wheezing;bitter taste in mouth;headaches;temporary eye burning or stinging;burning, dry or itching eyes;blurred vision, temporary;chills;diarrhea;eye discharge or excessive tearing;fever;general feeling of discomfort or illness;hoarseness or other voice changes;itching skin;joint pain;loss of appetite;muscle aches and pains;nausea;redness, pain, swelling of eye, eyelid, or inner lining of eyelid;runny nose;shivering;sneezing;sore throat;stuffy nose;sweating;tender, swollen glands in neck;trouble in swallowing;trouble sleeping;unusual tiredness or weakness;vomiting;or",,,,,,,,
5,5,azelastine,,,,,,,,,,,"blood in the urine;blurred vision or other change in vision;cough;eye pain;eye redness;hives, itching, or skin rash;rapid heartbeat;sores in the mouth or on the lips;tightness in the chest;troubled breathing;bitter taste in the mouth;drowsiness or sleepiness;bloody mucus or unexplained nosebleeds;burning inside the nose;dizziness;dryness of the mouth;headache;muscle aches or pain;nausea;sore throat;sudden outbursts of sneezing;unusual tiredness or weakness;weight gain;or",,,,,,,,
6,6,Elestat,,,,,,,,,,,"burning sensation in the eye;increase in blood flow to the whites of the eyes;redness, itching, pain, swelling, or other irritation of the eye;body aches or pain;chills;cough;difficulty with breathing;ear congestion;fever;headache;loss of voice;nasal congestion;runny nose;sneezing;sore throat;unusual tiredness or weakness;congestion;hoarseness;increased cough;pain or tenderness around the eyes and cheekbones;shortness of breath;stuffy nose;tender, swollen glands in the neck;tightness of the chest or wheezing;trouble with swallowing;troubled breathing;voice changes;or",,,,,,,,
7,7,Lastacaft,,,,,,,,,,,"burning or stinging sensation in the eye;itching of the eyes;red, sore eyes;chills;cough;diarrhea;fever;general feeling of discomfort or illness;headache;joint pain;loss of appetite;muscle aches and pains;nausea;runny nose;shivering;sore throat;stuffy or runny nose;sweating;trouble sleeping;unusual tiredness or weakness;vomiting",,,,,,,,
8,8,cromolyn,,,,,,,,,,,"difficulty in swallowing;hives;increased wheezing or difficulty in breathing;itching of skin;low blood pressure;shortness of breath;swelling of face, lips, or eyelids;tightness in chest;coughing;nausea;throat irritation or dryness;or",,,,,,,,
9,9,Alocril,,,,,,,,,,,"blurred vision;change in color vision;cough;difficulty breathing;noisy breathing;shortness of breath, tightness in chest, or wheezing;difficulty seeing at night;dry or itching eyes;headache;increased sensitivity of eyes to sunlight;redness, pain, or swelling of eye, eyelid, or inner lining of the eye;runny or stuffy nose;sneezing;stinging, irritation or burning of your eyes;unpleasant taste;unusual watering of eyes or discharge;or",,,,,,,,
10,10,Zyrtec Itchy Eye Drops,,,,,,,,,,,"chills;cough;diarrhea;fever;general feeling of discomfort or illness;headache;joint pain;loss of appetite;muscle aches and pains;nausea;runny nose;shivering;sore throat;sweating;trouble sleeping;unusual tiredness or weakness;vomiting;abdominal or stomach pain;blistering, itching, peeling, or redness of skin;bloody or cloudy urine;clay-colored stools;convulsions;dark urine;difficult, burning, or painful urination;dizziness;frequent urge to urinate;muscle spasm or jerking of all extremities;rash;sudden loss of consciousness;unpleasant breath odor;vomiting of blood;yellow eyes or skin;blurred vision;confusion;convulsions;disorientation;dizziness;drowsiness (severe);faintness or lightheadedness when getting up from a lying or sitting position;fast, pounding, or irregular heartbeat or pulse;hyperexcitability;loss of consciousness;palpitations;sweating;unusual tiredness or weakness;weight gain;bloody nose;drowsiness;dryness of mouth;excitation;increased appetite;irritability;nervousness;swelling of eyelids;unexplained nosebleeds;or",,,,,,,,
11,11,prednisone,,,,,,,,,,,"aggression;agitation;blurred vision;decrease in the amount of urine;dizziness;fast, slow, pounding, or irregular heartbeat or pulse;headache;irritability;mood changes;noisy, rattling breathing;numbness or tingling in the arms or legs;pounding in the ears;shortness of breath;swelling of the fingers, hands, feet, or lower legs;trouble thinking, speaking, or walking;troubled breathing at rest;weight gain;abdominal or stomach cramping or burning (severe);abdominal or stomach pain;backache;bloody, black, or tarry stools;cough or hoarseness;darkening of the skin;decrease in height;decreased vision;diarrhea;dry mouth;eye pain;eye tearing;facial hair growth in females;fainting;fever or chills;flushed, dry skin;fractures;fruit-like breath odor;full or round face, neck, or trunk;heartburn or indigestion (severe and continuous);increased hunger;increased thirst;increased urination;loss of appetite;loss of sexual desire or ability;lower back or side pain;menstrual irregularities;muscle pain or tenderness;muscle wasting or weakness;nausea;pain in the back, ribs, arms, or legs;painful or difficult urination;skin rash;sweating;trouble healing;trouble sleeping;unexplained weight loss;unusual tiredness or weakness;vision changes;vomiting;vomiting of material that looks like coffee grounds;increased appetite;abnormal fat deposits on the face, neck, and trunk;acne;dry scalp;lightening of normal skin color;red face;reddish purple lines on the arms, face, legs, trunk, or groin;swelling of the stomach area;thinning of the scalp hair;or",,,,,,,,
12,12,epinastine,,,,,,,,,,,"burning sensation in the eye;increase in blood flow to the whites of the eyes;redness, itching, pain, swelling, or other irritation of the eye;body aches or pain;chills;cough;difficulty with breathing;ear congestion;fever;headache;loss of voice;nasal congestion;runny nose;sneezing;sore throat;unusual tiredness or weakness;congestion;hoarseness;increased cough;pain or tenderness around the eyes and cheekbones;shortness of breath;stuffy nose;tender, swollen glands in the neck;tightness of the chest or wheezing;trouble with swallowing;troubled breathing;voice changes;or",,,,,,,,
13,13,nedocromil,,,,,,,,,,,"abdominal pain;body aches or pain;chills;congestion;cough;dryness or soreness of throat;ear congestion;fever;hoarseness;increased wheezing, tightness in chest, or difficulty in breathing;loss of voice;nasal congestion;noisy breathing;runny nose;shortness of breath;sneezing;stuffy nose;tender, swollen glands in neck;trouble in swallowing;unusual tiredness or weakness;voice changes;pain, stiffness, or swelling of joints;headache;nausea or vomiting;sensation of warmth;throat irritation;tremor;unpleasant taste;or",,,,,,,,
14,14,Emadine,,,,,,,,,,,"abnormal dreams;blurred vision or other change in vision;eye redness, irritation, or pain;tearing, discomfort, or other eye irritation not present before therapy or becoming worse during therapy;weakness;headache;bad taste;burning or stinging of the eye;dry eye;feeling of something in the eye;itching;skin rash;stuffy or runny nose;or",,,,,,,,
15,15,bepotastine,,,,,,,,,,,"red, sore eyes;body rash;itching;swelling of the lips, tongue, or throat;mild taste in your mouth;fever;headache;muscle aches;sore throat;stuffy or runny nose;unusual tiredness or weakness;or",,,,,,,,
16,16,Crolom,,,,,,,,,,,"rash or redness around the eyes;swelling of the membrane covering the white part of the eye, redness of the white part of the eye, styes, or other eye irritation not present before therapy;burning or stinging of eye (mild and temporary);dryness or puffiness around the eye;watering or itching of eye (increased);or",,,,,,,,
17,17,alcaftadine,,,,,,,,,,,"burning or stinging sensation in the eye;itching of the eyes;red, sore eyes;chills;cough;diarrhea;fever;general feeling of discomfort or illness;headache;joint pain;loss of appetite;muscle aches and pains;nausea;runny nose;shivering;sore throat;stuffy or runny nose;sweating;trouble sleeping;unusual tiredness or weakness;vomiting",,,,,,,,
