,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Aricept,,,,,,,,,,,"diarrhea;loss of appetite;muscle cramps;nausea;trouble in sleeping;unusual tiredness or weakness;vomiting;abnormal dreams;constipation;dizziness;drowsiness;fainting;frequent urination;headache;joint pain, stiffness, or swelling;mental depression;pain;unusual bleeding or bruising;weight loss;black, tarry stools;bloating;bloody or cloudy urine;blurred vision;burning, prickling, or tingling sensations;cataract;chills;clumsiness or unsteadiness;confusion;cough;decreased urination;difficult or painful urination;dryness of mouth;eye irritation;fever;flushing of skin;frequent urge to urinate;high or low blood pressure;hives;hot flashes;increase in sexual desire or performance;increased heart rate and breathing;increased sweating;increased urge to urinate during the night;irregular heartbeat;itching;loss of bladder control;loss of bowel control;mood or mental changes, including abnormal crying, aggression, agitation, delusions, irritability, nervousness, or restlessness;nasal congestion;pain in chest, upper stomach, or throat;problems with speech;runny nose;severe thirst;shortness of breath;sneezing;sore throat;sunken eyes;tightness in chest;tremor;troubled breathing;wheezing;wrinkled skin;back, leg, or stomach pains;bleeding gums;chest pain or discomfort;coma;convulsions;dark urine;difficulty breathing;fast or irregular heartbeat;fatigue;general body swelling;general tiredness and weakness;high fever;increased thirst;indigestion;light-colored stools;muscle pain or cramps;nausea and vomiting;nosebleeds;pains in stomach, side, or abdomen, possibly radiating to the back;pale skin;rash;seeing, hearing, or feeling things that are not there;seizures;severe muscle stiffness;severe nausea;slow or irregular heartbeat;stomach pain;sweating;swelling of face, ankles, or hands;tiredness;unusually pale skin;upper right abdominal or stomach pain;yellow eyes and skin;convulsions (seizures);increased sweating;increased watering of mouth;increasing muscle weakness;low blood pressure;severe nausea;severe vomiting;slow heartbeat;troubled breathing",,,,,,,,
1,1,Namenda,,,,,,,,,,,"bloating or swelling of the face, arms, hands, lower legs, or feet;blurred vision;dizziness;headache;nervousness;pounding in the ears;rapid weight gain;slow or fast heartbeat;tingling of the hands or feet;unusual weight gain or loss;abdominal or stomach pain;agitation;black, tarry stools;bleeding gums;blistering, peeling, or loosening of the skin;blood in the urine or stools;chest pain;coma;constipation;continuing vomiting;convulsions;dark-colored urine;decreased urine output;depression;fainting;fast, pounding, or irregular heartbeat or pulse;general feeling of tiredness or weakness;high fever;high or low blood pressure;hostility;increased sweating;indigestion;infection from breathing foreign substances into the lungs;itching;lethargy;light-colored stools;lip smacking or puckering;loss of consciousness;muscle twitching;no blood pressure;no breathing;no pulse;numbness or tingling in the face, arms, or legs;pain in the stomach, side, or abdomen, possibly radiating to the back;pain or swelling in the arms or legs without any injury;pain, tension, and weakness upon walking that subsides during periods of rest;pinpoint red spots on the skin;pounding, slow heartbeat;puffing of the cheeks;rapid or worm-like movements of the tongue;rapid weight gain;recurrent fainting;red irritated eyes;red skin lesions, often with a purple center;seizures;severe constipation;severe headache;severe muscle stiffness;severe vomiting;sores, ulcers, or white spots in the mouth or on the lips;stupor;sudden severe weakness;swelling of the face, ankles, or hands;total body jerking;trouble with speaking or walking;troubled breathing;twitching, twisting, or uncontrolled repetitive movements of the tongue, lips, face, arms, or legs;uncontrolled chewing movements;unusual bleeding or bruising;unusually pale skin;vomiting;yellow eyes and skin;confusion;anxiety;back pain;bladder pain;bloody or cloudy urine;change in walking and balance;chills;clumsiness or unsteadiness;cough producing mucus;coughing;diarrhea;difficult, burning, or painful urination;difficulty with breathing;difficulty with moving;discouragement;dry mouth;fear;feeling sad or empty;fever;frequent urge to urinate;general feeling of discomfort or illness;hyperventilation;insomnia;irritability;joint pain;loss of appetite;loss of bladder control;loss of interest or pleasure;lower back or side pain;muscle pain or stiffness;nausea;nervousness;pain;pain in the joints;restlessness;seeing, hearing, or feeling things that are not there;shortness of breath;sleepiness or unusual drowsiness;sore throat;tightness in the chest;tiredness;trouble with concentrating;trouble with sleeping;unusual tiredness or weakness;vomiting;wheezing;burning feeling in the chest or stomach;burning, numbness, pain, or tingling in all fingers except smallest finger;cold sweats;cool pale skin;decreased interest in sexual intercourse;difficulty with swallowing;general feeling of discomfort or illness;heartburn;inability to have or keep an erection;increased hunger;large amounts of fat in the blood;loss in sexual ability, desire, drive, or performance;nightmares;shakiness;slurred speech;stomach cramps;stomach upset;tenderness in the stomach area;watery or bloody diarrhea",,,,,,,,
2,2,donepezil,,,,,,,,,,,"diarrhea;loss of appetite;muscle cramps;nausea;trouble in sleeping;unusual tiredness or weakness;vomiting;abnormal dreams;constipation;dizziness;drowsiness;fainting;frequent urination;headache;joint pain, stiffness, or swelling;mental depression;pain;unusual bleeding or bruising;weight loss;black, tarry stools;bloating;bloody or cloudy urine;blurred vision;burning, prickling, or tingling sensations;cataract;chills;clumsiness or unsteadiness;confusion;cough;decreased urination;difficult or painful urination;dryness of mouth;eye irritation;fever;flushing of skin;frequent urge to urinate;high or low blood pressure;hives;hot flashes;increase in sexual desire or performance;increased heart rate and breathing;increased sweating;increased urge to urinate during the night;irregular heartbeat;itching;loss of bladder control;loss of bowel control;mood or mental changes, including abnormal crying, aggression, agitation, delusions, irritability, nervousness, or restlessness;nasal congestion;pain in chest, upper stomach, or throat;problems with speech;runny nose;severe thirst;shortness of breath;sneezing;sore throat;sunken eyes;tightness in chest;tremor;troubled breathing;wheezing;wrinkled skin;back, leg, or stomach pains;bleeding gums;chest pain or discomfort;coma;convulsions;dark urine;difficulty breathing;fast or irregular heartbeat;fatigue;general body swelling;general tiredness and weakness;high fever;increased thirst;indigestion;light-colored stools;muscle pain or cramps;nausea and vomiting;nosebleeds;pains in stomach, side, or abdomen, possibly radiating to the back;pale skin;rash;seeing, hearing, or feeling things that are not there;seizures;severe muscle stiffness;severe nausea;slow or irregular heartbeat;stomach pain;sweating;swelling of face, ankles, or hands;tiredness;unusually pale skin;upper right abdominal or stomach pain;yellow eyes and skin;convulsions (seizures);increased sweating;increased watering of mouth;increasing muscle weakness;low blood pressure;severe nausea;severe vomiting;slow heartbeat;troubled breathing",,,,,,,,
3,3,Exelon,,,,,,,,,,,"diarrhea;indigestion;loss of appetite;loss of strength;nausea and vomiting;weight loss;fainting;aggression;convulsions (seizures);trembling and shaking of the hands and fingers;trouble urinating;bloody or black, tarry stools;chest pain or discomfort;constipation;difficulty with speaking;drooling;lightheadedness, dizziness, or fainting;loss of balance control;muscle trembling, jerking, or stiffness;restlessness;severe stomach pain;shortness of breath;shuffling walk;slow or irregular heartbeat;stiffness of the limbs;trouble urinating;twisting movements of the body;uncontrolled movements, especially of the face, neck, and back;unusual tiredness;vomiting of blood or material that looks like coffee grounds;chest pain or discomfort;increased sweating;increased watering of the mouth;irregular, fast, slow, or shallow breathing;lightheadedness, dizziness, or fainting;nausea (severe);pale or blue lips, fingernails, or skin;seizures;slow or irregular heartbeat;trouble breathing;unusual tiredness;vomiting (severe);abdominal or stomach pain or cramping;bloated or full feeling;confusion;dizziness;headache;mental depression;seeing, hearing, or feeling things that are not there;trouble sleeping;general feeling of discomfort or illness;runny nose",,,,,,,,
4,4,Namenda XR,,,,,,,,,,,"bloating or swelling of the face, arms, hands, lower legs, or feet;blurred vision;dizziness;headache;nervousness;pounding in the ears;rapid weight gain;slow or fast heartbeat;tingling of the hands or feet;unusual weight gain or loss;abdominal or stomach pain;agitation;black, tarry stools;bleeding gums;blistering, peeling, or loosening of the skin;blood in the urine or stools;chest pain;coma;constipation;continuing vomiting;convulsions;dark-colored urine;decreased urine output;depression;fainting;fast, pounding, or irregular heartbeat or pulse;general feeling of tiredness or weakness;high fever;high or low blood pressure;hostility;increased sweating;indigestion;infection from breathing foreign substances into the lungs;itching;lethargy;light-colored stools;lip smacking or puckering;loss of consciousness;muscle twitching;no blood pressure;no breathing;no pulse;numbness or tingling in the face, arms, or legs;pain in the stomach, side, or abdomen, possibly radiating to the back;pain or swelling in the arms or legs without any injury;pain, tension, and weakness upon walking that subsides during periods of rest;pinpoint red spots on the skin;pounding, slow heartbeat;puffing of the cheeks;rapid or worm-like movements of the tongue;rapid weight gain;recurrent fainting;red irritated eyes;red skin lesions, often with a purple center;seizures;severe constipation;severe headache;severe muscle stiffness;severe vomiting;sores, ulcers, or white spots in the mouth or on the lips;stupor;sudden severe weakness;swelling of the face, ankles, or hands;total body jerking;trouble with speaking or walking;troubled breathing;twitching, twisting, or uncontrolled repetitive movements of the tongue, lips, face, arms, or legs;uncontrolled chewing movements;unusual bleeding or bruising;unusually pale skin;vomiting;yellow eyes and skin;confusion;anxiety;back pain;bladder pain;bloody or cloudy urine;change in walking and balance;chills;clumsiness or unsteadiness;cough producing mucus;coughing;diarrhea;difficult, burning, or painful urination;difficulty with breathing;difficulty with moving;discouragement;dry mouth;fear;feeling sad or empty;fever;frequent urge to urinate;general feeling of discomfort or illness;hyperventilation;insomnia;irritability;joint pain;loss of appetite;loss of bladder control;loss of interest or pleasure;lower back or side pain;muscle pain or stiffness;nausea;nervousness;pain;pain in the joints;restlessness;seeing, hearing, or feeling things that are not there;shortness of breath;sleepiness or unusual drowsiness;sore throat;tightness in the chest;tiredness;trouble with concentrating;trouble with sleeping;unusual tiredness or weakness;vomiting;wheezing;burning feeling in the chest or stomach;burning, numbness, pain, or tingling in all fingers except smallest finger;cold sweats;cool pale skin;decreased interest in sexual intercourse;difficulty with swallowing;general feeling of discomfort or illness;heartburn;inability to have or keep an erection;increased hunger;large amounts of fat in the blood;loss in sexual ability, desire, drive, or performance;nightmares;shakiness;slurred speech;stomach cramps;stomach upset;tenderness in the stomach area;watery or bloody diarrhea",,,,,,,,
5,5,Aricept ODT,,,,,,,,,,,"diarrhea;loss of appetite;muscle cramps;nausea;trouble in sleeping;unusual tiredness or weakness;vomiting;abnormal dreams;constipation;dizziness;drowsiness;fainting;frequent urination;headache;joint pain, stiffness, or swelling;mental depression;pain;unusual bleeding or bruising;weight loss;black, tarry stools;bloating;bloody or cloudy urine;blurred vision;burning, prickling, or tingling sensations;cataract;chills;clumsiness or unsteadiness;confusion;cough;decreased urination;difficult or painful urination;dryness of mouth;eye irritation;fever;flushing of skin;frequent urge to urinate;high or low blood pressure;hives;hot flashes;increase in sexual desire or performance;increased heart rate and breathing;increased sweating;increased urge to urinate during the night;irregular heartbeat;itching;loss of bladder control;loss of bowel control;mood or mental changes, including abnormal crying, aggression, agitation, delusions, irritability, nervousness, or restlessness;nasal congestion;pain in chest, upper stomach, or throat;problems with speech;runny nose;severe thirst;shortness of breath;sneezing;sore throat;sunken eyes;tightness in chest;tremor;troubled breathing;wheezing;wrinkled skin;back, leg, or stomach pains;bleeding gums;chest pain or discomfort;coma;convulsions;dark urine;difficulty breathing;fast or irregular heartbeat;fatigue;general body swelling;general tiredness and weakness;high fever;increased thirst;indigestion;light-colored stools;muscle pain or cramps;nausea and vomiting;nosebleeds;pains in stomach, side, or abdomen, possibly radiating to the back;pale skin;rash;seeing, hearing, or feeling things that are not there;seizures;severe muscle stiffness;severe nausea;slow or irregular heartbeat;stomach pain;sweating;swelling of face, ankles, or hands;tiredness;unusually pale skin;upper right abdominal or stomach pain;yellow eyes and skin;convulsions (seizures);increased sweating;increased watering of mouth;increasing muscle weakness;low blood pressure;severe nausea;severe vomiting;slow heartbeat;troubled breathing",,,,,,,,
6,6,memantine,,,,,,,,,,,"bloating or swelling of the face, arms, hands, lower legs, or feet;blurred vision;dizziness;headache;nervousness;pounding in the ears;rapid weight gain;slow or fast heartbeat;tingling of the hands or feet;unusual weight gain or loss;abdominal or stomach pain;agitation;black, tarry stools;bleeding gums;blistering, peeling, or loosening of the skin;blood in the urine or stools;chest pain;coma;constipation;continuing vomiting;convulsions;dark-colored urine;decreased urine output;depression;fainting;fast, pounding, or irregular heartbeat or pulse;general feeling of tiredness or weakness;high fever;high or low blood pressure;hostility;increased sweating;indigestion;infection from breathing foreign substances into the lungs;itching;lethargy;light-colored stools;lip smacking or puckering;loss of consciousness;muscle twitching;no blood pressure;no breathing;no pulse;numbness or tingling in the face, arms, or legs;pain in the stomach, side, or abdomen, possibly radiating to the back;pain or swelling in the arms or legs without any injury;pain, tension, and weakness upon walking that subsides during periods of rest;pinpoint red spots on the skin;pounding, slow heartbeat;puffing of the cheeks;rapid or worm-like movements of the tongue;rapid weight gain;recurrent fainting;red irritated eyes;red skin lesions, often with a purple center;seizures;severe constipation;severe headache;severe muscle stiffness;severe vomiting;sores, ulcers, or white spots in the mouth or on the lips;stupor;sudden severe weakness;swelling of the face, ankles, or hands;total body jerking;trouble with speaking or walking;troubled breathing;twitching, twisting, or uncontrolled repetitive movements of the tongue, lips, face, arms, or legs;uncontrolled chewing movements;unusual bleeding or bruising;unusually pale skin;vomiting;yellow eyes and skin;confusion;anxiety;back pain;bladder pain;bloody or cloudy urine;change in walking and balance;chills;clumsiness or unsteadiness;cough producing mucus;coughing;diarrhea;difficult, burning, or painful urination;difficulty with breathing;difficulty with moving;discouragement;dry mouth;fear;feeling sad or empty;fever;frequent urge to urinate;general feeling of discomfort or illness;hyperventilation;insomnia;irritability;joint pain;loss of appetite;loss of bladder control;loss of interest or pleasure;lower back or side pain;muscle pain or stiffness;nausea;nervousness;pain;pain in the joints;restlessness;seeing, hearing, or feeling things that are not there;shortness of breath;sleepiness or unusual drowsiness;sore throat;tightness in the chest;tiredness;trouble with concentrating;trouble with sleeping;unusual tiredness or weakness;vomiting;wheezing;burning feeling in the chest or stomach;burning, numbness, pain, or tingling in all fingers except smallest finger;cold sweats;cool pale skin;decreased interest in sexual intercourse;difficulty with swallowing;general feeling of discomfort or illness;heartburn;inability to have or keep an erection;increased hunger;large amounts of fat in the blood;loss in sexual ability, desire, drive, or performance;nightmares;shakiness;slurred speech;stomach cramps;stomach upset;tenderness in the stomach area;watery or bloody diarrhea",,,,,,,,
7,7,galantamine,,,,,,,,,,,"chest pain or discomfort;lightheadedness, dizziness, or fainting;shakiness in the legs, arms, hands, or feet;shortness of breath;slow or irregular heartbeat;unusual tiredness;blurred vision;confusion;decreased urination;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;dry mouth;fainting;fast, irregular, pounding, or racing heartbeat or pulse;feeling of warmth;rapid breathing;redness of the face, neck, arms, and occasionally, upper chest;sunken eyes;sweating;thirst;troubled breathing;unusual tiredness or weakness;wrinkled skin;blistering, peeling, or loosening of the skin;chills;cough;dark urine;fever;general tiredness and weakness;headache;hoarseness;irritation;joint pain, stiffness, or swelling;light-colored stools;nausea and vomiting;nervousness;pounding in the ears;rash, hives, or itching skin;red skin lesions, often with a purple center;red, irritated eyes;redness of the skin;swelling of the eyelids, face, lips, hands, or feet;tightness in the chest;troubled swallowing;upper right abdominal or stomach pain;yellow eyes and skin;confusion;convulsions;irregular, fast or slow, or shallow breathing;muscle weakness;pale or blue lips, fingernails, or skin;severe nausea;stomach cramps;sweating;tearing of the eyes;twitches of the muscle visible under the skin;vomiting;decreased appetite;weight loss;acid or sour stomach;belching;discouragement;feeling sad or empty;general feeling of discomfort or illness;heartburn;increased sweating;indigestion;irritability;lack of appetite;lack or loss of strength;loss of interest or pleasure;muscle spasms;stomach discomfort, upset, or pain;trouble concentrating;trouble sleeping;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste;dry heaves;loss of taste;unusually deep sleep;unusually long duration of sleep;continuing ringing or buzzing or other unexplained noise in the ears;hearing loss;seeing, hearing, or feeling things that are not there",,,,,,,,
8,8,Razadyne ER,,,,,,,,,,,"chest pain or discomfort;lightheadedness, dizziness, or fainting;shakiness in the legs, arms, hands, or feet;shortness of breath;slow or irregular heartbeat;unusual tiredness;blurred vision;confusion;decreased urination;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;dry mouth;fainting;fast, irregular, pounding, or racing heartbeat or pulse;feeling of warmth;rapid breathing;redness of the face, neck, arms, and occasionally, upper chest;sunken eyes;sweating;thirst;troubled breathing;unusual tiredness or weakness;wrinkled skin;blistering, peeling, or loosening of the skin;chills;cough;dark urine;fever;general tiredness and weakness;headache;hoarseness;irritation;joint pain, stiffness, or swelling;light-colored stools;nausea and vomiting;nervousness;pounding in the ears;rash, hives, or itching skin;red skin lesions, often with a purple center;red, irritated eyes;redness of the skin;swelling of the eyelids, face, lips, hands, or feet;tightness in the chest;troubled swallowing;upper right abdominal or stomach pain;yellow eyes and skin;confusion;convulsions;irregular, fast or slow, or shallow breathing;muscle weakness;pale or blue lips, fingernails, or skin;severe nausea;stomach cramps;sweating;tearing of the eyes;twitches of the muscle visible under the skin;vomiting;decreased appetite;weight loss;acid or sour stomach;belching;discouragement;feeling sad or empty;general feeling of discomfort or illness;heartburn;increased sweating;indigestion;irritability;lack of appetite;lack or loss of strength;loss of interest or pleasure;muscle spasms;stomach discomfort, upset, or pain;trouble concentrating;trouble sleeping;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste;dry heaves;loss of taste;unusually deep sleep;unusually long duration of sleep;continuing ringing or buzzing or other unexplained noise in the ears;hearing loss;seeing, hearing, or feeling things that are not there",,,,,,,,
9,9,Razadyne,,,,,,,,,,,"chest pain or discomfort;lightheadedness, dizziness, or fainting;shakiness in the legs, arms, hands, or feet;shortness of breath;slow or irregular heartbeat;unusual tiredness;blurred vision;confusion;decreased urination;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;dry mouth;fainting;fast, irregular, pounding, or racing heartbeat or pulse;feeling of warmth;rapid breathing;redness of the face, neck, arms, and occasionally, upper chest;sunken eyes;sweating;thirst;troubled breathing;unusual tiredness or weakness;wrinkled skin;blistering, peeling, or loosening of the skin;chills;cough;dark urine;fever;general tiredness and weakness;headache;hoarseness;irritation;joint pain, stiffness, or swelling;light-colored stools;nausea and vomiting;nervousness;pounding in the ears;rash, hives, or itching skin;red skin lesions, often with a purple center;red, irritated eyes;redness of the skin;swelling of the eyelids, face, lips, hands, or feet;tightness in the chest;troubled swallowing;upper right abdominal or stomach pain;yellow eyes and skin;confusion;convulsions;irregular, fast or slow, or shallow breathing;muscle weakness;pale or blue lips, fingernails, or skin;severe nausea;stomach cramps;sweating;tearing of the eyes;twitches of the muscle visible under the skin;vomiting;decreased appetite;weight loss;acid or sour stomach;belching;discouragement;feeling sad or empty;general feeling of discomfort or illness;heartburn;increased sweating;indigestion;irritability;lack of appetite;lack or loss of strength;loss of interest or pleasure;muscle spasms;stomach discomfort, upset, or pain;trouble concentrating;trouble sleeping;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste;dry heaves;loss of taste;unusually deep sleep;unusually long duration of sleep;continuing ringing or buzzing or other unexplained noise in the ears;hearing loss;seeing, hearing, or feeling things that are not there",,,,,,,,
