,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Provera,,,,,,,,,,,"abdominal or stomach pain;absent, missed, or irregular menstrual periods;anxiety;blurred vision;breast pain or tenderness;changes in skin color;chills;clay-colored stools;cough;dark urine;decrease in amount of urine;diarrhea;difficulty swallowing;dizziness or lightheadedness;eye pain;fainting;fast heartbeat;fever;headache;hives or welts, itching, redness, swelling, or skin rash;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of appetite;menstrual changes;nausea;noisy, rattling breathing;pain in the chest, groin, or legs, especially the calves;pain, tenderness, or swelling of the foot or leg;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;severe, sudden headache;shortness of breath;slurred speech;stopping of menstrual bleeding;sudden loss of coordination;sudden, severe weakness or numbness in the arm or leg;sudden, unexplained shortness of breath;swelling of the fingers, hands, feet, or lower legs;troubled breathing at rest;unexpected or excess milk flow from the breasts;unpleasant breath odor;unusual tiredness or weakness;vaginal bleeding or spotting;vision changes;vomiting of blood;weight gain;yellow eyes or skin;blemishes on the skin;discouragement;feeling sad or empty;hair loss, thinning of hair;increased hair growth, especially on the face;irritability;lack of appetite;loss of interest or pleasure;nervousness;pimples;sleepiness or unusual drowsiness;tiredness;trouble concentrating;trouble sleeping;weight changes;or",,,,,,,,
1,1,medroxyprogesterone,,,,,,,,,,,"abdominal or stomach pain;absent, missed, or irregular menstrual periods;anxiety;blurred vision;breast pain or tenderness;changes in skin color;chills;clay-colored stools;cough;dark urine;decrease in amount of urine;diarrhea;difficulty swallowing;dizziness or lightheadedness;eye pain;fainting;fast heartbeat;fever;headache;hives or welts, itching, redness, swelling, or skin rash;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of appetite;menstrual changes;nausea;noisy, rattling breathing;pain in the chest, groin, or legs, especially the calves;pain, tenderness, or swelling of the foot or leg;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;severe, sudden headache;shortness of breath;slurred speech;stopping of menstrual bleeding;sudden loss of coordination;sudden, severe weakness or numbness in the arm or leg;sudden, unexplained shortness of breath;swelling of the fingers, hands, feet, or lower legs;troubled breathing at rest;unexpected or excess milk flow from the breasts;unpleasant breath odor;unusual tiredness or weakness;vaginal bleeding or spotting;vision changes;vomiting of blood;weight gain;yellow eyes or skin;blemishes on the skin;discouragement;feeling sad or empty;hair loss, thinning of hair;increased hair growth, especially on the face;irritability;lack of appetite;loss of interest or pleasure;nervousness;pimples;sleepiness or unusual drowsiness;tiredness;trouble concentrating;trouble sleeping;weight changes;or",,,,,,,,
2,2,Depo-Provera,,,,,,,,,,,"abdominal or stomach pain;absent, missed, or irregular menstrual periods;anxiety;blurred vision;breast pain or tenderness;changes in skin color;chills;clay-colored stools;cough;dark urine;decrease in amount of urine;diarrhea;difficulty swallowing;dizziness or lightheadedness;eye pain;fainting;fast heartbeat;fever;headache;hives or welts, itching, redness, swelling, or skin rash;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of appetite;menstrual changes;nausea;noisy, rattling breathing;pain in the chest, groin, or legs, especially the calves;pain, tenderness, or swelling of the foot or leg;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;severe, sudden headache;shortness of breath;slurred speech;stopping of menstrual bleeding;sudden loss of coordination;sudden, severe weakness or numbness in the arm or leg;sudden, unexplained shortness of breath;swelling of the fingers, hands, feet, or lower legs;troubled breathing at rest;unexpected or excess milk flow from the breasts;unpleasant breath odor;unusual tiredness or weakness;vaginal bleeding or spotting;vision changes;vomiting of blood;weight gain;yellow eyes or skin;blemishes on the skin;discouragement;feeling sad or empty;hair loss, thinning of hair;increased hair growth, especially on the face;irritability;lack of appetite;loss of interest or pleasure;nervousness;pimples;sleepiness or unusual drowsiness;tiredness;trouble concentrating;trouble sleeping;weight changes;or",,,,,,,,
3,3,progesterone,,,,,,,,,,,"chest pain;chills;cold or flu-like symptoms;cough or hoarseness;fever;problems with urination;clear or bloody discharge from the nipple;dimpling of the breast skin;inverted nipple;lump in the breast or under the arm;persistent crusting or scaling of the nipple;redness or swelling of the breast;sore on the skin of the breast that does not heal;abdominal or stomach pain;bloating;blurred vision;change in vaginal discharge;clay-colored stools;cleft lip or palate;confusion;constipation;darkened urine;diarrhea;difficult or labored breathing;difficulty with swallowing;difficulty with walking;dizziness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;fast, pounding, or irregular heartbeat or pulse;headache;hives;indigestion;irregular heartbeat;irritation;itching;joint pain, stiffness, or swelling;lightheadedness;loss of appetite;nausea;nervousness;noisy breathing;numbness or tingling in the face, arms, or legs;pain or feeling of pressure in the pelvis;pains in the stomach, side, or abdomen, possibly radiating to the back;pounding in the ears;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rash;redness of the skin;shortness of breath;slow heartbeat;spontaneous abortion;stomach or pelvic discomfort, aching, or heaviness;sweating;swelling of the eyelids, face, lips, hands, or feet;tightness in the chest;trouble speaking, thinking, or walking;unpleasant breath odor;unusual tiredness or weakness;vaginal bleeding;vomiting;vomiting of blood;wheezing;yellow eyes or skin;breast pain or tenderness;depression;muscle or joint pain;white or brownish vaginal discharge;worry;attack, assault, or force;blurred or loss of vision;change in walking and balance;changes in behavior;changes in patterns and rhythms of speech;choking;clumsiness or unsteadiness;confusion about identity, place, and time;continuing ringing or buzzing or other unexplained noise in the ears;decreased awareness or responsiveness;difficulty with moving;disturbed color perception;double vision;drowsiness;extreme dizziness or drowsiness;feeling drunk;feeling of constant movement of self or surroundings;feeling of unreality;hair loss or thinning of the hair;halos around lights;hearing loss;hives or welts;longer or heavier menstrual periods;loss of consciousness;muscle cramps;muscle stiffness;night blindness;normal menstrual bleeding occurring earlier, possibly lasting longer than expected;overbright appearance of lights;redness of the skin;relaxed and calm;sensation of spinning;sense of detachment from self or body;severe sleepiness;sleepiness;slurred speech;swollen tongue;thoughts of killing oneself;tunnel vision;weight changes;or",,,,,,,,
4,4,Prometrium,,,,,,,,,,,"chest pain;chills;cold or flu-like symptoms;cough or hoarseness;fever;problems with urination;clear or bloody discharge from the nipple;dimpling of the breast skin;inverted nipple;lump in the breast or under the arm;persistent crusting or scaling of the nipple;redness or swelling of the breast;sore on the skin of the breast that does not heal;abdominal or stomach pain;bloating;blurred vision;change in vaginal discharge;clay-colored stools;cleft lip or palate;confusion;constipation;darkened urine;diarrhea;difficult or labored breathing;difficulty with swallowing;difficulty with walking;dizziness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;fast, pounding, or irregular heartbeat or pulse;headache;hives;indigestion;irregular heartbeat;irritation;itching;joint pain, stiffness, or swelling;lightheadedness;loss of appetite;nausea;nervousness;noisy breathing;numbness or tingling in the face, arms, or legs;pain or feeling of pressure in the pelvis;pains in the stomach, side, or abdomen, possibly radiating to the back;pounding in the ears;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rash;redness of the skin;shortness of breath;slow heartbeat;spontaneous abortion;stomach or pelvic discomfort, aching, or heaviness;sweating;swelling of the eyelids, face, lips, hands, or feet;tightness in the chest;trouble speaking, thinking, or walking;unpleasant breath odor;unusual tiredness or weakness;vaginal bleeding;vomiting;vomiting of blood;wheezing;yellow eyes or skin;breast pain or tenderness;depression;muscle or joint pain;white or brownish vaginal discharge;worry;attack, assault, or force;blurred or loss of vision;change in walking and balance;changes in behavior;changes in patterns and rhythms of speech;choking;clumsiness or unsteadiness;confusion about identity, place, and time;continuing ringing or buzzing or other unexplained noise in the ears;decreased awareness or responsiveness;difficulty with moving;disturbed color perception;double vision;drowsiness;extreme dizziness or drowsiness;feeling drunk;feeling of constant movement of self or surroundings;feeling of unreality;hair loss or thinning of the hair;halos around lights;hearing loss;hives or welts;longer or heavier menstrual periods;loss of consciousness;muscle cramps;muscle stiffness;night blindness;normal menstrual bleeding occurring earlier, possibly lasting longer than expected;overbright appearance of lights;redness of the skin;relaxed and calm;sensation of spinning;sense of detachment from self or body;severe sleepiness;sleepiness;slurred speech;swollen tongue;thoughts of killing oneself;tunnel vision;weight changes;or",,,,,,,,
5,5,norethindrone,,,,,,,,,,,"frequent and irregular bleeding;menstrual changes;abdominal or stomach pain;blindness;blue-yellow color blindness;blurred vision;breast pain;changes in menstrual period;changes in vision;chills;clay-colored stools;confusion;cough;dark urine;decreased vision;diarrhea;difficulty with swallowing;discouragement;dizziness;double vision;eye pain;fast heartbeat;feeling sad or empty;fever;general tiredness and weakness;headache;heavy non-menstrual vaginal bleeding;hives, itching, or rash;irritability;lack of appetite;light-colored stools;light vaginal bleeding between regular menstrual periods;loss of interest or pleasure;migraine headache;nausea and vomiting;numbness of the hands;pain, redness, or swelling in the arm or leg;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;swelling;tightness in the chest;trouble concentrating;trouble sleeping;unpleasant breath odor;unusual tiredness or weakness;upper right abdominal or stomach pain;vomiting of blood;yellow eyes and skin;breast tenderness;increased hair growth, especially on the face;pimples;weight gain;brown, blotchy spots on exposed skin;enlarged breasts;hair loss or thinning of the hair;mood swings;nervousness;weight changes;or",,,,,,,,
6,6,Depo-Provera Contraceptive,,,,,,,,,,,"abdominal or stomach pain;absent, missed, or irregular menstrual periods;anxiety;blurred vision;breast pain or tenderness;changes in skin color;chills;clay-colored stools;cough;dark urine;decrease in amount of urine;diarrhea;difficulty swallowing;dizziness or lightheadedness;eye pain;fainting;fast heartbeat;fever;headache;hives or welts, itching, redness, swelling, or skin rash;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of appetite;menstrual changes;nausea;noisy, rattling breathing;pain in the chest, groin, or legs, especially the calves;pain, tenderness, or swelling of the foot or leg;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;severe, sudden headache;shortness of breath;slurred speech;stopping of menstrual bleeding;sudden loss of coordination;sudden, severe weakness or numbness in the arm or leg;sudden, unexplained shortness of breath;swelling of the fingers, hands, feet, or lower legs;troubled breathing at rest;unexpected or excess milk flow from the breasts;unpleasant breath odor;unusual tiredness or weakness;vaginal bleeding or spotting;vision changes;vomiting of blood;weight gain;yellow eyes or skin;blemishes on the skin;discouragement;feeling sad or empty;hair loss, thinning of hair;increased hair growth, especially on the face;irritability;lack of appetite;loss of interest or pleasure;nervousness;pimples;sleepiness or unusual drowsiness;tiredness;trouble concentrating;trouble sleeping;weight changes;or",,,,,,,,
7,7,Jolivette,,,,,,,,,,,"frequent and irregular bleeding;menstrual changes;abdominal or stomach pain;blindness;blue-yellow color blindness;blurred vision;breast pain;changes in menstrual period;changes in vision;chills;clay-colored stools;confusion;cough;dark urine;decreased vision;diarrhea;difficulty with swallowing;discouragement;dizziness;double vision;eye pain;fast heartbeat;feeling sad or empty;fever;general tiredness and weakness;headache;heavy non-menstrual vaginal bleeding;hives, itching, or rash;irritability;lack of appetite;light-colored stools;light vaginal bleeding between regular menstrual periods;loss of interest or pleasure;migraine headache;nausea and vomiting;numbness of the hands;pain, redness, or swelling in the arm or leg;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;swelling;tightness in the chest;trouble concentrating;trouble sleeping;unpleasant breath odor;unusual tiredness or weakness;upper right abdominal or stomach pain;vomiting of blood;yellow eyes and skin;breast tenderness;increased hair growth, especially on the face;pimples;weight gain;brown, blotchy spots on exposed skin;enlarged breasts;hair loss or thinning of the hair;mood swings;nervousness;weight changes;or",,,,,,,,
8,8,Ortho Micronor,,,,,,,,,,,"frequent and irregular bleeding;menstrual changes;abdominal or stomach pain;blindness;blue-yellow color blindness;blurred vision;breast pain;changes in menstrual period;changes in vision;chills;clay-colored stools;confusion;cough;dark urine;decreased vision;diarrhea;difficulty with swallowing;discouragement;dizziness;double vision;eye pain;fast heartbeat;feeling sad or empty;fever;general tiredness and weakness;headache;heavy non-menstrual vaginal bleeding;hives, itching, or rash;irritability;lack of appetite;light-colored stools;light vaginal bleeding between regular menstrual periods;loss of interest or pleasure;migraine headache;nausea and vomiting;numbness of the hands;pain, redness, or swelling in the arm or leg;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;swelling;tightness in the chest;trouble concentrating;trouble sleeping;unpleasant breath odor;unusual tiredness or weakness;upper right abdominal or stomach pain;vomiting of blood;yellow eyes and skin;breast tenderness;increased hair growth, especially on the face;pimples;weight gain;brown, blotchy spots on exposed skin;enlarged breasts;hair loss or thinning of the hair;mood swings;nervousness;weight changes;or",,,,,,,,
9,9,Aygestin,,,,,,,,,,,"frequent and irregular bleeding;menstrual changes;abdominal or stomach pain;blindness;blue-yellow color blindness;blurred vision;breast pain;changes in menstrual period;changes in vision;chills;clay-colored stools;confusion;cough;dark urine;decreased vision;diarrhea;difficulty with swallowing;discouragement;dizziness;double vision;eye pain;fast heartbeat;feeling sad or empty;fever;general tiredness and weakness;headache;heavy non-menstrual vaginal bleeding;hives, itching, or rash;irritability;lack of appetite;light-colored stools;light vaginal bleeding between regular menstrual periods;loss of interest or pleasure;migraine headache;nausea and vomiting;numbness of the hands;pain, redness, or swelling in the arm or leg;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;swelling;tightness in the chest;trouble concentrating;trouble sleeping;unpleasant breath odor;unusual tiredness or weakness;upper right abdominal or stomach pain;vomiting of blood;yellow eyes and skin;breast tenderness;increased hair growth, especially on the face;pimples;weight gain;brown, blotchy spots on exposed skin;enlarged breasts;hair loss or thinning of the hair;mood swings;nervousness;weight changes;or",,,,,,,,
