,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Xeloda,,,,,,,,,,,"abdominal or stomach pain;diarrhea;nausea;numbness, pain, tingling, or other unusual sensations in the palms of the hands or bottoms of the feet;pain, blistering, peeling, redness, or swelling of the palms of the hands or bottoms of the feet;pain, redness, swelling, sores, or ulcers in your mouth or on your lips;unusual tiredness or weakness;vomiting;abdominal or stomach cramping or pain (severe);agitation;back pain;bleeding and bruising;bleeding gums;blood in the urine or stools;bloody nose;bloody or black, tarry stools;blurred vision;burning, dry, or itching eyes;chest pain;chills;clumsiness or unsteadiness;cold;collapse;coma;confusion;constipation;convulsions;cough or hoarseness (accompanied by fever or chills);cough producing mucus;coughing or spitting up blood;dark urine;decreased frequency or amount of urine;difficulty with breathing;difficulty with swallowing or pain in the back of throat or chest when swallowing;discharge from the eyes;drowsiness;dry mouth;excessive tearing;extra heartbeats;eye redness, irritation, or pain;fainting;fast or irregular heartbeat;fever or chills;flu-like symptoms;hallucinations;headache, sudden and severe;heavier menstrual periods;high fever;hot, red skin on the feet or legs;inability to speak;increased menstrual flow or vaginal bleeding;increased thirst;irritability;itching in the genital or other skin areas;lightheadedness;light-colored stools;loss of consciousness;lower back or side pain (accompanied by fever or chills);muscle aches or cramps;muscle spasms;nosebleeds;numbness or tingling in the hands, feet, or lips;painful or difficult urination (accompanied by fever or chills);painful, swollen feet or legs;pain, tenderness, or swelling in the upper abdominal or stomach area;pale skin;paralysis;pinpoint red spots on the skin;problems with coordination;prolonged bleeding from cuts;rapid, shallow breathing;red or dark brown urine;redness, pain, or swelling of the eye, eyelid, or inner lining of the eyelid;scaling;seizures;severe constipation;skin rash or itching;slow or irregular heartbeat;slurred speech;sneezing, sore throat, or stuffy nose;sores, ulcers, or white spots on the lips or in the mouth;stiff neck;stomach bloating, burning, or cramping;swelling of the face, fingers, feet, or lower legs;swelling of the lymph nodes;swollen glands;temporary blindness;tiredness or weakness;trouble with speaking;troubled breathing or tightness in the chest;unexplained nosebleeds;unusual bleeding or bruising;unusual lump or swelling in the chest;vomiting blood or material that looks like coffee grounds;weakness in the arm or leg on one side of the body, sudden and severe;weight gain or loss;white patches in the mouth or throat or on the tongue;white patches with diaper rash;yellow eyes or skin;burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings;changes or discoloration in the fingernails or toenails;difficulty with moving;discouragement;dizziness;headache;heartburn;increased sensitivity of the skin to sunlight;muscle pain;pain;pain and redness of the skin at the place of x-ray treatment;pain in the joints or limbs;red, sore eyes;sunken eyes;thirst;trouble sleeping;weakness;wrinkled skin;bone pain;change in color of treated skin;difficulty with walking;discouragement;feeling of constant movement of self or surroundings;feeling sad or empty;full or bloated feeling or pressure in the stomach;general feeling of discomfort or illness;hot flushes;impaired balance;increased sweating;joint pain;lack of appetite;loss of interest or pleasure;muscle weakness;noisy breathing;pain in the rectum;pain, swelling, or redness in the joints;passing less gas;rough, scratchy sound to voice;runny nose;sensation of spinning;shakiness in the legs, arms, hands, or feet;shivering;sores on the skin;swelling of abdominal or stomach area;tremor or shaking of the hands or feet;trouble concentrating;voice changes",,,,,,,,
1,1,Avastin,,,,,,,,,,,"black, tarry stools;bleeding gums;body aches or pain;burning, tingling, numbness, or pain in the hands, arms, feet, or legs;chest pain or discomfort;chills;cloudy urine;convulsions;cough;cracks in the skin;decreased urine output;difficult or labored breathing;dilated neck veins;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;ear congestion;extreme fatigue;fever;irregular breathing;irregular heartbeat;lack or loss of strength;lightheadedness;loss of appetite;loss of heat from the body;loss of voice;mood changes;nasal congestion;nervousness;pain;pain, redness, or swelling in the arm or leg;painful or difficult urination;pinpoint red spots on the skin;pounding in the ears;rapid breathing;redness;runny nose;sensation of pins and needles;slow or fast heartbeat;sore throat;sores on the skin;sores, ulcers, or white spots on the lips or in the mouth;stabbing pain;sunken eyes;sweating;swelling of the face, fingers, feet, or lower legs;swelling or inflammation of the mouth;swollen glands;thirst;tightness in the chest;trouble breathing;unusual bleeding or bruising;unusual tiredness or weakness;vomiting of blood or material that looks like coffee grounds;watery or bloody diarrhea;weight gain;wrinkled skin;yellow skin;abdominal or stomach pain or tenderness;bone pain;difficulty with swallowing;fainting;severe constipation;severe vomiting;back pain;blisters;blurred vision;coma;confusion;dizziness;drowsiness;headache;increased thirst;muscle pain or cramps;open sores;pale skin;bloody mucus or unexplained nosebleeds;hoarseness;sudden weakness in the arms or legs;sudden, severe chest pain;voice changes;acid or sour stomach;belching;bloody nose;change in taste or bad unusual or unpleasant (after) taste;change in walking and balance;clumsiness or unsteadiness;diarrhea;dry mouth;excess flow of tears;hair loss;heartburn;indigestion;stomach discomfort, upset, or pain;thinning of the hair;weight loss;or",,,,,,,,
2,2,fluorouracil,,,,,,,,,,,"diarrhea;heartburn;sores in mouth and on lips;black, tarry stools;cough or hoarseness, accompanied by fever or chills;fever or chills;lower back or side pain, accompanied by fever or chills;nausea and vomiting (severe);painful or difficult urination, accompanied by fever or chills;stomach cramps;blood in urine or stools;pinpoint red spots on skin;unusual bleeding or bruising;chest pain;cough;shortness of breath;tingling of hands and feet, followed by pain, redness, and swelling;trouble with balance;loss of appetite;nausea and vomiting;skin rash and itching;weakness;dry or cracked skin;black, tarry stools;blood in urine or stools;cough or hoarseness, accompanied by fever or chills;fever or chills;lower back or side pain, accompanied by fever or chills;painful or difficult urination, accompanied by fever or chills;pinpoint red spots on skin;unusual bleeding or bruising;or",,,,,,,,
3,3,oxaliplatin,,,,,,,,,,,"abnormal tongue sensation;black, tarry stools;bleeding gums;blistering, peeling, redness, or swelling of the palms of the hands or bottoms of the feet;blood in the urine or stools;burning, prickling, itching, or tingling of the skin;chest pain;chills;cough;decreased feeling, or pain in the hands, feet, around the mouth, or throat;decreased urination;difficulty performing daily activities such as writing, buttoning, swallowing, or walking;difficulty with articulating words;difficulty with breathing;difficulty with moving;difficulty with swallowing;dizziness;dry mouth;eye pain;fainting;fever;increase in heart rate;jaw spasm;lightheadedness;muscle pain or stiffness;numbness;numbness, pain, tingling, or unusual sensations in the palms of the hands or bottoms of the feet;pain in the chest, groin, or legs, especially the calves;pain in the joints;painful or difficult urination;pale skin;pinpoint red spots on the skin;rapid breathing;sensation of pins and needles;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stabbing pain;sunken eyes;swelling;swelling or inflammation of the mouth;swollen glands;thirst;troubled breathing with exertion;unusual tiredness or weakness;vision changes;wrinkled skin;fast heartbeat;hives, itching, or skin rash;increased thirst;irregular heartbeat;loss of appetite;mood changes;nausea or vomiting;numbness or tingling in the hands, feet, or lips;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;tightness in the chest;back, leg, or stomach pains;blindness;bloated abdomen;blue-yellow color blindness;blurred vision;changes in patterns and rhythms of speech;dark urine;deafness;decreased vision;deep breathing;drowsiness;electric shock-like sensation that moves down the back and into the legs following a bending movement of the neck;general body swelling;increased urination;irregular heartbeat, recurrent;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of deep tendon reflexes;muscle cramps or spasms;muscle tremors;pain and fullness in the right upper abdomen;restlessness;severe constipation;severe diarrhea;severe nosebleeds;severe stomach cramps or tenderness;severe vomiting;trouble with speaking;twitches of the muscle visible under the skin;weakness of the muscles in your face;weight gain;yellow eyes or skin;agitation;coma;cough or hoarseness;diarrhea;disorientation;involuntary, rapid, or rhythmic movement of the eyes;lack of coordination;lack of sensation;lethargy;lower back or side pain;paralysis;respiratory failure;seizures;severe weakness;slow or irregular heartbeat;tremors;vomiting, profuse;acid or sour stomach;belching;body aches or pain;ear congestion;feeling unusually cold, shivering;headache;heartburn;indigestion;loss of voice;nasal congestion;runny nose;sneezing;stomach discomfort, upset, or pain;trouble sleeping;weight loss;bad, unusual, or unpleasant (after) taste;bloated or full feeling;bloody nose;burning while urinating;change in taste;congestion;cracked lips;dryness or soreness of the throat;excess air or gas in stomach or intestines;feeling of warmth;hair loss;passing gas;rapid weight gain;redness of the face, neck, arms, and occasionally upper chest;tender, swollen glands in the neck;thinning of the hair;unusual tearing of the eyes;voice changes",,,,,,,,
4,4,leucovorin,,,,,,,,,,,"skin rash, hives, or itching;wheezing;convulsions (seizures)",,,,,,,,
5,5,capecitabine,,,,,,,,,,,"abdominal or stomach pain;diarrhea;nausea;numbness, pain, tingling, or other unusual sensations in the palms of the hands or bottoms of the feet;pain, blistering, peeling, redness, or swelling of the palms of the hands or bottoms of the feet;pain, redness, swelling, sores, or ulcers in your mouth or on your lips;unusual tiredness or weakness;vomiting;abdominal or stomach cramping or pain (severe);agitation;back pain;bleeding and bruising;bleeding gums;blood in the urine or stools;bloody nose;bloody or black, tarry stools;blurred vision;burning, dry, or itching eyes;chest pain;chills;clumsiness or unsteadiness;cold;collapse;coma;confusion;constipation;convulsions;cough or hoarseness (accompanied by fever or chills);cough producing mucus;coughing or spitting up blood;dark urine;decreased frequency or amount of urine;difficulty with breathing;difficulty with swallowing or pain in the back of throat or chest when swallowing;discharge from the eyes;drowsiness;dry mouth;excessive tearing;extra heartbeats;eye redness, irritation, or pain;fainting;fast or irregular heartbeat;fever or chills;flu-like symptoms;hallucinations;headache, sudden and severe;heavier menstrual periods;high fever;hot, red skin on the feet or legs;inability to speak;increased menstrual flow or vaginal bleeding;increased thirst;irritability;itching in the genital or other skin areas;lightheadedness;light-colored stools;loss of consciousness;lower back or side pain (accompanied by fever or chills);muscle aches or cramps;muscle spasms;nosebleeds;numbness or tingling in the hands, feet, or lips;painful or difficult urination (accompanied by fever or chills);painful, swollen feet or legs;pain, tenderness, or swelling in the upper abdominal or stomach area;pale skin;paralysis;pinpoint red spots on the skin;problems with coordination;prolonged bleeding from cuts;rapid, shallow breathing;red or dark brown urine;redness, pain, or swelling of the eye, eyelid, or inner lining of the eyelid;scaling;seizures;severe constipation;skin rash or itching;slow or irregular heartbeat;slurred speech;sneezing, sore throat, or stuffy nose;sores, ulcers, or white spots on the lips or in the mouth;stiff neck;stomach bloating, burning, or cramping;swelling of the face, fingers, feet, or lower legs;swelling of the lymph nodes;swollen glands;temporary blindness;tiredness or weakness;trouble with speaking;troubled breathing or tightness in the chest;unexplained nosebleeds;unusual bleeding or bruising;unusual lump or swelling in the chest;vomiting blood or material that looks like coffee grounds;weakness in the arm or leg on one side of the body, sudden and severe;weight gain or loss;white patches in the mouth or throat or on the tongue;white patches with diaper rash;yellow eyes or skin;burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings;changes or discoloration in the fingernails or toenails;difficulty with moving;discouragement;dizziness;headache;heartburn;increased sensitivity of the skin to sunlight;muscle pain;pain;pain and redness of the skin at the place of x-ray treatment;pain in the joints or limbs;red, sore eyes;sunken eyes;thirst;trouble sleeping;weakness;wrinkled skin;bone pain;change in color of treated skin;difficulty with walking;discouragement;feeling of constant movement of self or surroundings;feeling sad or empty;full or bloated feeling or pressure in the stomach;general feeling of discomfort or illness;hot flushes;impaired balance;increased sweating;joint pain;lack of appetite;loss of interest or pleasure;muscle weakness;noisy breathing;pain in the rectum;pain, swelling, or redness in the joints;passing less gas;rough, scratchy sound to voice;runny nose;sensation of spinning;shakiness in the legs, arms, hands, or feet;shivering;sores on the skin;swelling of abdominal or stomach area;tremor or shaking of the hands or feet;trouble concentrating;voice changes",,,,,,,,
6,6,Stivarga,,,,,,,,,,,"bleeding gums;blurred vision;cough or hoarseness;coughing up blood;difficulty with breathing or swallowing;dizziness;fever or chills;headache;increased menstrual flow or vaginal bleeding;lower back or side pain;nervousness;nosebleeds;painful or difficult urination;pounding in the ears;prolonged bleeding from cuts;rash;red or black, tarry stools;redness, swelling, or pain of the skin;scaling of the skin on the hands and feet;slow or fast heartbeats;tingling of the hands and feet;ulcers on the skin;chest pain or discomfort;dark-colored urine;general feeling of tiredness or weakness;light-colored stools;nausea or vomiting;pain or discomfort in the arms, jaw, back, or neck;shakiness in the legs, arms, hands, or feet;stomach pain that continues;sweating;yellow eyes or skin;confusion;heartburn;indigestion;severe stomach pain, cramping, or burning;vomiting of material that looks like coffee grounds;bad, unusual, or unpleasant taste;hair loss or thinning of the hair;lack or loss of strength;muscle or joint stiffness;weight loss;constipation;depressed mood;dry skin and hair;feeling cold;muscle cramps;weight gain",,,,,,,,
7,7,irinotecan,,,,,,,,,,,"anxiety;black, tarry stools;blood in the urine or stools;blurred vision;changes in skin color;chest pain or discomfort;chest tightness or heaviness;chills;clay colored stools;cold hands and feet;confusion;constricted pupils;cough or hoarseness;dark urine;diarrhea with or without stomach cramps or sweating;dizziness;fainting;fast, slow, or irregular heartbeat;fever;full or bloated feeling or pressure in the stomach;headache;increased production of saliva;increased tear production;itching;lightheadedness when getting up suddenly from a lying or sitting position;loss of appetite;low blood pressure or pulse;lower back or side pain;nausea or vomiting;numbness or tingling in the face, arms, or legs;pain;pain in the chest, groin, or legs, especially calves of the legs;pain in the shoulders, arms, jaw, or neck;painful or difficult urination;pale skin;pinpoint red spots on the skin;redness or swelling of the leg;runny nose;severe headache of sudden onset;shortness of breath or troubled breathing;skin rash;slow breathing;slurred speech;sore throat;stomach pain;stopping of the heart;sudden and severe weakness in the arm or leg on one side of the body;sudden loss of coordination;sudden vision changes;sweating;swelling;swelling of the abdomen or stomach area;temporary blindness;tenderness, pain, or swelling of the arm, foot, or leg;trouble with speaking or walking;ulcers, sores, or white spots on the lips or in the mouth;unconsciousness;unpleasant breath odor;unusual bleeding or bruising;unusual tiredness or weakness;vomiting of blood;warm, red feeling over the body;yellow eyes or skin;bleeding gums;coughing up blood;decreased urination;difficulty with swallowing;dryness of the mouth;increased menstrual flow or vaginal bleeding;increased thirst;nosebleeds;paralysis;prolonged bleeding from cuts;sneezing;wheezing;wrinkled skin;decreased amount of urine;decreased frequency of urination;fast, irregular, or troubled breathing;hives;increased blood pressure;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rapid weight gain;abdominal or stomach pain and tenderness;agitation;bloated or full feeling;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;coma;constipation;depression;heartburn or indigestion;hostility;irritability;lethargy;muscle pain and cramps;muscle twitching;pain in the stomach, side, or abdomen, possibly radiating to the back;pain or discomfort in the arms, jaw, back, or neck;rectal bleeding;severe abdominal or stomach cramping or burning;severe and continuing nausea;stupor;swelling of the face, lower legs, ankles, fingers, or hands;tightness in the chest;unusual tiredness or weakness;vomiting of material that looks like coffee grounds;acid or sour stomach;belching;blistering, peeling, redness, or swelling of the palms of hands or bottoms of the feet;cracked lips;excess air or gas in the stomach or intestines;feeling of constant movement of self or surroundings;numbness, pain, tingling, or unusual sensations in the palms of hands or bottoms of feet;passing gas;right upper abdominal or stomach pain and fullness;sensation of spinning;sleepiness or unusual drowsiness;sleeplessness;stomach discomfort, upset, or pain;trouble sleeping;unable to sleep;weight loss;hiccups",,,,,,,,
8,8,Camptosar,,,,,,,,,,,"anxiety;black, tarry stools;blood in the urine or stools;blurred vision;changes in skin color;chest pain or discomfort;chest tightness or heaviness;chills;clay colored stools;cold hands and feet;confusion;constricted pupils;cough or hoarseness;dark urine;diarrhea with or without stomach cramps or sweating;dizziness;fainting;fast, slow, or irregular heartbeat;fever;full or bloated feeling or pressure in the stomach;headache;increased production of saliva;increased tear production;itching;lightheadedness when getting up suddenly from a lying or sitting position;loss of appetite;low blood pressure or pulse;lower back or side pain;nausea or vomiting;numbness or tingling in the face, arms, or legs;pain;pain in the chest, groin, or legs, especially calves of the legs;pain in the shoulders, arms, jaw, or neck;painful or difficult urination;pale skin;pinpoint red spots on the skin;redness or swelling of the leg;runny nose;severe headache of sudden onset;shortness of breath or troubled breathing;skin rash;slow breathing;slurred speech;sore throat;stomach pain;stopping of the heart;sudden and severe weakness in the arm or leg on one side of the body;sudden loss of coordination;sudden vision changes;sweating;swelling;swelling of the abdomen or stomach area;temporary blindness;tenderness, pain, or swelling of the arm, foot, or leg;trouble with speaking or walking;ulcers, sores, or white spots on the lips or in the mouth;unconsciousness;unpleasant breath odor;unusual bleeding or bruising;unusual tiredness or weakness;vomiting of blood;warm, red feeling over the body;yellow eyes or skin;bleeding gums;coughing up blood;decreased urination;difficulty with swallowing;dryness of the mouth;increased menstrual flow or vaginal bleeding;increased thirst;nosebleeds;paralysis;prolonged bleeding from cuts;sneezing;wheezing;wrinkled skin;decreased amount of urine;decreased frequency of urination;fast, irregular, or troubled breathing;hives;increased blood pressure;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rapid weight gain;abdominal or stomach pain and tenderness;agitation;bloated or full feeling;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;coma;constipation;depression;heartburn or indigestion;hostility;irritability;lethargy;muscle pain and cramps;muscle twitching;pain in the stomach, side, or abdomen, possibly radiating to the back;pain or discomfort in the arms, jaw, back, or neck;rectal bleeding;severe abdominal or stomach cramping or burning;severe and continuing nausea;stupor;swelling of the face, lower legs, ankles, fingers, or hands;tightness in the chest;unusual tiredness or weakness;vomiting of material that looks like coffee grounds;acid or sour stomach;belching;blistering, peeling, redness, or swelling of the palms of hands or bottoms of the feet;cracked lips;excess air or gas in the stomach or intestines;feeling of constant movement of self or surroundings;numbness, pain, tingling, or unusual sensations in the palms of hands or bottoms of feet;passing gas;right upper abdominal or stomach pain and fullness;sensation of spinning;sleepiness or unusual drowsiness;sleeplessness;stomach discomfort, upset, or pain;trouble sleeping;unable to sleep;weight loss;hiccups",,,,,,,,
9,9,Erbitux,,,,,,,,,,,"blemishes on the skin or pimples;bloating or swelling of the face, arms, hands, lower legs, or feet;body aches or pain;chills;congestion;cough or hoarseness;deep cracks, grooves, or lines in the skin;difficult or labored breathing;dizziness;facial swelling;fever;headache;lower back or side pain;nausea;painful or difficult urination;pale skin;rapid weight gain;runny nose;severe dry skin;shortness of breath;skin rash;tender, swollen glands in the neck;tightness in the chest;tingling of the hands or feet;trouble with breathing on exertion;trouble with swallowing;unusual bleeding or bruising;unusual tiredness or weakness;unusual weight gain or loss;voice changes;vomiting;weakness;wheezing;anxiety;black, tarry stools;chest pain;confusion;decreased urination;dry mouth;fainting;fast heartbeat;increase in heart rate;lightheadedness;rapid, shallow breathing;sore throat;sores, ulcers, or white spots on the lips or in the mouth;sunken eyes;swollen glands;thirst;wrinkled skin;acid or sour stomach;belching;burning, dry, or itching eyes;diarrhea;difficulty having a bowel movement (stool);discharge from the eye;discoloration of the fingernails or toenails;discouragement;excessive tearing;feeling sad or empty;hair loss or thinning of the hair;heartburn;indigestion;irritability;itching skin;lack or loss of appetite;lack or loss of strength;loss of interest or pleasure;pain;redness, pain, or swelling of the eye, eyelid, or inner lining of the eyelid;sleeplessness;stomach discomfort, upset, or pain;swelling or inflammation of the mouth;trouble concentrating;trouble sleeping;unable to sleep;or",,,,,,,,
