,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Procrit,,,,,,,,,,,"chest pain;fever;headache;increased blood pressure;shortness of breath;swelling of the face, fingers, ankles, feet, or lower legs;weight gain;anxiety;blurred vision;change in skin color;change in vision;convulsions (seizures);cough;dizziness or lightheadedness;double vision;fainting;fast heartbeat;migraine headache;nausea;pain or discomfort in the arms, jaw, back, or neck;pain, tenderness, or swelling of the foot or leg;pains in the chest, groin, or legs, especially calves of the legs;pale skin;partial or complete loss of vision in the eye;severe headaches of sudden onset;skin rash or hives;slurred speech;sore throat;sudden and severe inability to speak;sudden loss of coordination;sudden vision changes;sweating;temporary blindness;tenderness, pain, swelling, warmth, or skin discoloration at the injection site;unusual bleeding or bruising;unusual tiredness or weakness;vision problems;vomiting;weakness in the arm or leg on one side of the body, sudden and severe;abdominal or stomach pain and swelling;bone or joint pain, muscle aches, chills, shivering, or sweating;constipation;diarrhea;dizziness;general feeling of tiredness or weakness;heartburn or belching, acid or sour stomach;inability to sleep;itching or stinging at the injection site;loss of strength or energy;muscle pain or weakness;skin pain;stomach discomfort, upset, or pain;weight loss;or",,,,,,,,
1,1,multivitamin with iron,,,,,,,,,,,,,,,,,,,
2,2,Vitamin B6,,,,,,,,,,,clumsiness;numbness of hands or feet,,,,,,,,
3,3,epoetin alfa,,,,,,,,,,,"chest pain;fever;headache;increased blood pressure;shortness of breath;swelling of the face, fingers, ankles, feet, or lower legs;weight gain;anxiety;blurred vision;change in skin color;change in vision;convulsions (seizures);cough;dizziness or lightheadedness;double vision;fainting;fast heartbeat;migraine headache;nausea;pain or discomfort in the arms, jaw, back, or neck;pain, tenderness, or swelling of the foot or leg;pains in the chest, groin, or legs, especially calves of the legs;pale skin;partial or complete loss of vision in the eye;severe headaches of sudden onset;skin rash or hives;slurred speech;sore throat;sudden and severe inability to speak;sudden loss of coordination;sudden vision changes;sweating;temporary blindness;tenderness, pain, swelling, warmth, or skin discoloration at the injection site;unusual bleeding or bruising;unusual tiredness or weakness;vision problems;vomiting;weakness in the arm or leg on one side of the body, sudden and severe;abdominal or stomach pain and swelling;bone or joint pain, muscle aches, chills, shivering, or sweating;constipation;diarrhea;dizziness;general feeling of tiredness or weakness;heartburn or belching, acid or sour stomach;inability to sleep;itching or stinging at the injection site;loss of strength or energy;muscle pain or weakness;skin pain;stomach discomfort, upset, or pain;weight loss;or",,,,,,,,
4,4,Epogen,,,,,,,,,,,"chest pain;fever;headache;increased blood pressure;shortness of breath;swelling of the face, fingers, ankles, feet, or lower legs;weight gain;anxiety;blurred vision;change in skin color;change in vision;convulsions (seizures);cough;dizziness or lightheadedness;double vision;fainting;fast heartbeat;migraine headache;nausea;pain or discomfort in the arms, jaw, back, or neck;pain, tenderness, or swelling of the foot or leg;pains in the chest, groin, or legs, especially calves of the legs;pale skin;partial or complete loss of vision in the eye;severe headaches of sudden onset;skin rash or hives;slurred speech;sore throat;sudden and severe inability to speak;sudden loss of coordination;sudden vision changes;sweating;temporary blindness;tenderness, pain, swelling, warmth, or skin discoloration at the injection site;unusual bleeding or bruising;unusual tiredness or weakness;vision problems;vomiting;weakness in the arm or leg on one side of the body, sudden and severe;abdominal or stomach pain and swelling;bone or joint pain, muscle aches, chills, shivering, or sweating;constipation;diarrhea;dizziness;general feeling of tiredness or weakness;heartburn or belching, acid or sour stomach;inability to sleep;itching or stinging at the injection site;loss of strength or energy;muscle pain or weakness;skin pain;stomach discomfort, upset, or pain;weight loss;or",,,,,,,,
5,5,Anadrol-50,,,,,,,,,,,,,,,,,,,
6,6,Integra Plus,,,,,,,,,,,,,,,,,,,
7,7,Ferralet 90,,,,,,,,,,,,,,,,,,,
8,8,pyridoxine,,,,,,,,,,,clumsiness;numbness of hands or feet,,,,,,,,
9,9,Aminoxin,,,,,,,,,,,clumsiness;numbness of hands or feet,,,,,,,,
