,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,propofol,,,,,,,,,,,or,,,,,,,,
1,1,lidocaine,,,,,,,,,,,"flushing or redness of the skin;itching skin;small red or purple spots on the skin;unusually warm skin;bruising, bleeding, burning, swelling, or pain at the application site;nausea;vomiting;or",,,,,,,,
2,2,Diprivan,,,,,,,,,,,or,,,,,,,,
3,3,fentanyl,,,,,,,,,,,"black, tarry stools;blurred vision;chest pain;confusion;convulsions;cough;decreased urine;difficult or labored breathing;dizziness;dry mouth;fainting;fever or chills;increased thirst;irregular heartbeat;lightheadedness;loss of appetite;lower back or side pain;mood changes;muscle pain or cramps;nausea or vomiting;nervousness;numbness or tingling in the hands, feet, or lips;painful or difficult urination;pale skin;pounding in the ears;rapid breathing;sneezing;sore throat;sunken eyes;swelling of the hands, ankles, feet, or lower legs;tightness in the chest;troubled breathing with exertion;ulcers, sores, or white spots in the mouth;unusual bleeding or bruising;unusual tiredness or weakness;wrinkled skin;abdominal or stomach pain;change in walking and balance;clumsiness or unsteadiness;decreased awareness or responsiveness;decreased frequency of urination;headache;muscle twitching or jerking;pounding in the ears;rhythmic movement of the muscles;seeing, hearing, or feeling things that are not there;seizures;severe constipation;severe sleepiness;shakiness in the legs, arms, hands, or feet;slow or fast heartbeat;thinking abnormalities;trembling or shaking of the hands or feet;extremely shallow or slow breathing;back pain;diarrhea;difficulty having a bowel movement (stool);difficulty with moving;discouragement;feeling sad or empty;irritability;lack or loss of strength;loss of interest or pleasure;muscle stiffness;pain in the joints;sleepiness or unusual drowsiness;tiredness;trouble concentrating;trouble sleeping;weight loss;changes in vision;excessive muscle tone;feeling of constant movement of self or surroundings;feeling of warmth or heat;flushing or redness of the skin, especially on the face and neck;irritation, pain, or sores at the site of application;itching skin;muscle tension or tightness;rash;sensation of spinning;sweating;tooth pain;trouble with gums;trouble with teeth;or",,,,,,,,
4,4,lidocaine / prilocaine,,,,,,,,,,,"cough;difficulty with swallowing;large, hive-like swellings on the eyelids, face, lips, or tongue;severe dizziness or feeling faint;shortness of breath;skin rash, itching, or hives;stuffy nose;tightness in the chest;troubled breathing;wheezing;blisters on skin at application site;blue or blue-purple color of lips, fingernails, mouth, or skin;blurred or double vision;convulsions;dark urine;dizziness or drowsiness;fainting;feeling hot, cold, or numb;headache;irregular or fast heartbeat;muscle twitching or trembling;nausea or vomiting;ringing or buzzing in the ears;shortness of breath or troubled breathing;unusual excitement, nervousness, or restlessness;unusual tiredness or weakness;burning, swelling, itching, or skin rash at application site;white or red skin at the application site",,,,,,,,
5,5,Emla,,,,,,,,,,,"cough;difficulty with swallowing;large, hive-like swellings on the eyelids, face, lips, or tongue;severe dizziness or feeling faint;shortness of breath;skin rash, itching, or hives;stuffy nose;tightness in the chest;troubled breathing;wheezing;blisters on skin at application site;blue or blue-purple color of lips, fingernails, mouth, or skin;blurred or double vision;convulsions;dark urine;dizziness or drowsiness;fainting;feeling hot, cold, or numb;headache;irregular or fast heartbeat;muscle twitching or trembling;nausea or vomiting;ringing or buzzing in the ears;shortness of breath or troubled breathing;unusual excitement, nervousness, or restlessness;unusual tiredness or weakness;burning, swelling, itching, or skin rash at application site;white or red skin at the application site",,,,,,,,
6,6,glycopyrrolate,,,,,,,,,,,"body aches or pain;chills;constipation;cough;decrease in the frequency of urination;decrease in urine volume;difficulty in passing urine (dribbling);difficulty with breathing;ear congestion;feeling of warmth;fever;headache;loss of voice;nasal congestion;painful urination;redness of the face, neck, arms, and occasionally, upper chest;runny nose;sneezing;sore throat;unusual tiredness or weakness;abdominal or stomach discomfort or pain;abdominal or stomach distension;chest pain;confusion;convulsions;dizziness;dry heaves;dry mouth;fainting;increase in heart rate;lightheadedness;pain or tenderness around the eyes and cheekbones;rapid breathing;shortness of breath or troubled breathing;stuffy nose;sunken eyes;thirst;tightness in the chest;vomiting;wheezing;wrinkled skin;low blood pressure;muscle weakness;trouble breathing;altered mood;anxiety;attack, assault, or force;bloated;change in taste;chapped lips;crying;dry skin;dry tongue;excess air or gas in the stomach or intestines;full feeling;hyperventilation;irregular heartbeats;irritability;loss of taste;moaning;nervousness;pain;paleness of the skin;passing gas;rash;restlessness;shaking;trouble with sleeping;uncontrolled eye movements;or",,,,,,,,
7,7,Lidocaine Viscous,,,,,,,,,,,"blistering, crusting, irritation, itching, or reddening of the skin;cough;cracked, dry, or scaly skin;fast heartbeat;fever;hives or welts, itching, or skin rash;hoarseness;irritation;joint pain, stiffness, or swelling;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;noisy breathing;swelling of the eyelids, face, lips, hands, or feet;tightness in the chest;troubled breathing or swallowing;blistering, bruising, burning, discoloration, itching, redness, or swelling at the application site;blurred vision;chest pain or discomfort;cold, clammy, or pale skin;confusion;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;drowsiness or dizziness;false or unusual sense of well-being;fear or nervousness;irregular, fast or slow, or shallow breathing;lethargy;no blood pressure or pulse;pale or blue lips, fingernails, or skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;seizures;shakiness in the legs, arms, hands, or feet;slow heart rate;slow or irregular heartbeat;stopping of heart;trembling or shaking of the hands or feet;twitching;unconsciousness;unusual tiredness or weakness;weakness;bad, unusual, or unpleasant (after) taste;change in taste;cold or numbness;confusion about identity, place, and time;continuing ringing or buzzing or other unexplained noise in the ears;double vision;headache;hearing loss;heat sensation;lack or loss of strength;metallic taste;sleepiness or unusual drowsiness;or",,,,,,,,
8,8,succinylcholine,,,,,,,,,,,,,,,,,,,
9,9,ketamine,,,,,,,,,,,"bloody or cloudy urine;bluish lips or skin;blurred vision;chest pain or discomfort;confusion;confusion as to time, place, or person;convulsions;cough;difficult or troubled breathing;difficult, burning, or painful urination;difficulty with swallowing;dizziness;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fainting;fast, slow, or irregular heartbeat;frequent urge to urinate;hives;holding false beliefs that cannot be changed by fact;irregular, fast or slow, or shallow breathing;itching;not breathing;pale or blue lips, fingernails, or skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;seeing, hearing, or feeling things that are not there;shortness of breath;skin rash;sweating;tightness in the chest;unusual excitement, nervousness, or restlessness;unusual tiredness or weakness;double vision;dream-like state;flushing or redness of the skin;loss of appetite;nausea;pain at the injection site;seeing double;uncontrolled eye movements;unusually warm skin;vomiting;weight loss;or",,,,,,,,
