,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,diltiazem,,,,,,,,,,,"body aches or pain;congestion;cough;dryness or soreness of the throat;fever;hoarseness;runny nose;tender or swollen glands in the neck;trouble swallowing;voice changes;chest pain or discomfort;chills;diarrhea;difficult or labored breathing;feeling faint, dizzy, or lightheaded;feeling of warmth or heat;flushing or redness of the skin, especially on the face and neck;general feeling of discomfort or illness;headache;joint pain;loss of appetite;muscle aches and pains;nausea;shivering;slow or irregular heartbeat;sweating;swelling of the hands, ankles, feet, or lower legs;tightness in the chest;trouble sleeping;unusual tiredness or weakness;vomiting;blistering, peeling, or loosening of the skin;itching;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;no heartbeat;red skin lesions, often with a purple center;red, irritated eyes;sores, ulcers, or white spots in the mouth or on the lips;sneezing;stuffy nose;acid or sour stomach;belching;constipation;continuing ringing or buzzing or other unexplained noise in the ears;degenerative disease of the joint;difficulty with moving;hearing loss;heartburn;indigestion;lack or loss of strength;muscle aching or cramping;muscle pains or stiffness;pain or tenderness around the eyes and cheekbones;rash;stomach discomfort, upset, or pain;swollen joints;hair loss or thinning of the hair;or",,,,,,,,
1,1,Cardizem,,,,,,,,,,,"body aches or pain;congestion;cough;dryness or soreness of the throat;fever;hoarseness;runny nose;tender or swollen glands in the neck;trouble swallowing;voice changes;chest pain or discomfort;chills;diarrhea;difficult or labored breathing;feeling faint, dizzy, or lightheaded;feeling of warmth or heat;flushing or redness of the skin, especially on the face and neck;general feeling of discomfort or illness;headache;joint pain;loss of appetite;muscle aches and pains;nausea;shivering;slow or irregular heartbeat;sweating;swelling of the hands, ankles, feet, or lower legs;tightness in the chest;trouble sleeping;unusual tiredness or weakness;vomiting;blistering, peeling, or loosening of the skin;itching;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;no heartbeat;red skin lesions, often with a purple center;red, irritated eyes;sores, ulcers, or white spots in the mouth or on the lips;sneezing;stuffy nose;acid or sour stomach;belching;constipation;continuing ringing or buzzing or other unexplained noise in the ears;degenerative disease of the joint;difficulty with moving;hearing loss;heartburn;indigestion;lack or loss of strength;muscle aching or cramping;muscle pains or stiffness;pain or tenderness around the eyes and cheekbones;rash;stomach discomfort, upset, or pain;swollen joints;hair loss or thinning of the hair;or",,,,,,,,
2,2,flecainide,,,,,,,,,,,"difficult or labored breathing;dizziness, fainting, or lightheadedness;fast, irregular, pounding, or racing heartbeat or pulse;shortness of breath;tightness in the chest;wheezing;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chest pain;fainting;feeling of warmth;fever;increased sweating;partial or slight paralysis;redness of the face, neck, arms, and occasionally, upper chest;shakiness and unsteady walk;shakiness in the legs, arms, hands, or feet;swelling of the feet or lower legs;trembling or shaking of the hands or feet;unsteadiness, trembling, or other problems with muscle control or coordination;arm, back, or jaw pain;black, tarry stools;bleeding gums;blood in the urine or stools;blurred vision;chest discomfort;chest tightness or heaviness;chills;confusion;convulsions;cough;decrease in the frequency of urination;decrease in urine volume;difficulty in passing urine (dribbling);difficulty with breathing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;frequent urination;general feeling of discomfort or illness;headache;increased volume of pale, dilute urine;nausea;nervousness;noisy breathing;painful or difficult urination;pinpoint red spots on the skin;pounding in the ears;sensation of pins and needles;slow or fast heartbeat;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stabbing pain;sweating;swollen glands;thickening of bronchial secretions;troubled breathing;unusual bleeding or bruising;unusual tiredness or weakness;yellow eyes or skin;blurred vision or seeing spots;abdominal or stomach pain;acid or sour stomach;anxiety or mental depression;belching;constipation;continuing ringing or buzzing or other unexplained noise in the ears;depression;diarrhea;feeling of constant movement of self or surroundings;general feeling of discomfort or illness;hearing loss;heartburn;indigestion;lack or loss of strength;loss of appetite;sensation of spinning;sleepiness or unusual drowsiness;sleeplessness;skin rash;stomach discomfort, upset, or pain;trouble with sleeping;unable to sleep;weight loss;bloated;change in color vision;change in taste;cracks in the skin;decreased awareness or responsiveness;decreased interest in sexual intercourse;difficulty seeing at night;difficulty with moving;dry mouth;excess air or gas in the stomach or intestines;eye pain  or irritation;false or unusual sense of well-being;feeling of unreality;full feeling;hair loss or thinning of the hair;hives or welts;inability to have or keep an erection;increased sensitivity of the eyes to sunlight;itching skin;joint pain;lack of feeling or emotion;loss in sexual ability, desire, drive, or performance;loss of heat from the body;loss of memory;muscle aching or cramping;muscle pain or stiffness;passing gas;problems with memory;red, swollen skin;scaly skin;sense of detachment from self or body;severe sleepiness;swollen joints;swollen lips, mouth, or tongue;uncaring uncontrolled eye movements;or",,,,,,,,
3,3,sotalol,,,,,,,,,,,"blurred vision;chest pain or discomfort;confusion;difficult or labored breathing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fast, slow, irregular, pounding, or racing heartbeat or pulse;lightheadedness, dizziness, or fainting;nausea and vomiting;sweating;swelling of the face, fingers, feet, or lower legs;tightness in the chest;unusual tiredness or weakness;abdominal or stomach pain or swelling;body aches or pain;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;cough or hoarseness;decreased alertness;difficulty with speaking;dilated neck veins;double vision;extreme fatigue;feeling of warmth or heat;fever or chills;flushing or redness of the skin, especially on the face and neck;headache;inability to move the arms, legs, or facial muscles;inability to speak;irregular breathing;joint pain or swelling;loss of voice;lower back or side pain;nervousness;noisy breathing;painful, burning, or difficult urination;pounding in the ears;slow speech;weight gain;fast breathing;pinpoint red spots on the skin;anxiety;cold sweats;cool, pale skin;depression;increased hunger;nightmares;seizures;shakiness;slurred speech;acid or sour stomach;difficulty with sleeping;heartburn or indigestion;pain in the arms or legs;changes in vision;decreased sexual performance or desire;loss of appetite;mood changes;night blindness;passing gas;skin rash;weight changes;feeling of constant movement of self or surroundings;hair loss or thinning of the hair;itching skin;muscle aching or cramping;muscle pains or stiffness;quick to react or overreact emotionally;sensation of spinning;severe sunburn;or",,,,,,,,
4,4,Sotalol Hydrochloride AF,,,,,,,,,,,"blurred vision;chest pain or discomfort;confusion;difficult or labored breathing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;fast, slow, irregular, pounding, or racing heartbeat or pulse;lightheadedness, dizziness, or fainting;nausea and vomiting;sweating;swelling of the face, fingers, feet, or lower legs;tightness in the chest;unusual tiredness or weakness;abdominal or stomach pain or swelling;body aches or pain;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;cough or hoarseness;decreased alertness;difficulty with speaking;dilated neck veins;double vision;extreme fatigue;feeling of warmth or heat;fever or chills;flushing or redness of the skin, especially on the face and neck;headache;inability to move the arms, legs, or facial muscles;inability to speak;irregular breathing;joint pain or swelling;loss of voice;lower back or side pain;nervousness;noisy breathing;painful, burning, or difficult urination;pounding in the ears;slow speech;weight gain;fast breathing;pinpoint red spots on the skin;anxiety;cold sweats;cool, pale skin;depression;increased hunger;nightmares;seizures;shakiness;slurred speech;acid or sour stomach;difficulty with sleeping;heartburn or indigestion;pain in the arms or legs;changes in vision;decreased sexual performance or desire;loss of appetite;mood changes;night blindness;passing gas;skin rash;weight changes;feeling of constant movement of self or surroundings;hair loss or thinning of the hair;itching skin;muscle aching or cramping;muscle pains or stiffness;quick to react or overreact emotionally;sensation of spinning;severe sunburn;or",,,,,,,,
5,5,Cardizem CD,,,,,,,,,,,"body aches or pain;congestion;cough;dryness or soreness of the throat;fever;hoarseness;runny nose;tender or swollen glands in the neck;trouble swallowing;voice changes;chest pain or discomfort;chills;diarrhea;difficult or labored breathing;feeling faint, dizzy, or lightheaded;feeling of warmth or heat;flushing or redness of the skin, especially on the face and neck;general feeling of discomfort or illness;headache;joint pain;loss of appetite;muscle aches and pains;nausea;shivering;slow or irregular heartbeat;sweating;swelling of the hands, ankles, feet, or lower legs;tightness in the chest;trouble sleeping;unusual tiredness or weakness;vomiting;blistering, peeling, or loosening of the skin;itching;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;no heartbeat;red skin lesions, often with a purple center;red, irritated eyes;sores, ulcers, or white spots in the mouth or on the lips;sneezing;stuffy nose;acid or sour stomach;belching;constipation;continuing ringing or buzzing or other unexplained noise in the ears;degenerative disease of the joint;difficulty with moving;hearing loss;heartburn;indigestion;lack or loss of strength;muscle aching or cramping;muscle pains or stiffness;pain or tenderness around the eyes and cheekbones;rash;stomach discomfort, upset, or pain;swollen joints;hair loss or thinning of the hair;or",,,,,,,,
6,6,Cartia XT,,,,,,,,,,,"body aches or pain;congestion;cough;dryness or soreness of the throat;fever;hoarseness;runny nose;tender or swollen glands in the neck;trouble swallowing;voice changes;chest pain or discomfort;chills;diarrhea;difficult or labored breathing;feeling faint, dizzy, or lightheaded;feeling of warmth or heat;flushing or redness of the skin, especially on the face and neck;general feeling of discomfort or illness;headache;joint pain;loss of appetite;muscle aches and pains;nausea;shivering;slow or irregular heartbeat;sweating;swelling of the hands, ankles, feet, or lower legs;tightness in the chest;trouble sleeping;unusual tiredness or weakness;vomiting;blistering, peeling, or loosening of the skin;itching;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;no heartbeat;red skin lesions, often with a purple center;red, irritated eyes;sores, ulcers, or white spots in the mouth or on the lips;sneezing;stuffy nose;acid or sour stomach;belching;constipation;continuing ringing or buzzing or other unexplained noise in the ears;degenerative disease of the joint;difficulty with moving;hearing loss;heartburn;indigestion;lack or loss of strength;muscle aching or cramping;muscle pains or stiffness;pain or tenderness around the eyes and cheekbones;rash;stomach discomfort, upset, or pain;swollen joints;hair loss or thinning of the hair;or",,,,,,,,
7,7,propafenone,,,,,,,,,,,"chest pain;fast, irregular, or slow heartbeat;lightheadedness, dizziness, or fainting;shortness of breath;swelling of the feet or lower legs;weight gain;chills;fever;joint pain;trembling or shaking;weakness;change in taste or bitter or metallic taste;blurred vision;constipation;diarrhea;dryness of the mouth;headache;nausea or vomiting;skin rash;unusual tiredness or weakness;or",,,,,,,,
8,8,Tambocor,,,,,,,,,,,"difficult or labored breathing;dizziness, fainting, or lightheadedness;fast, irregular, pounding, or racing heartbeat or pulse;shortness of breath;tightness in the chest;wheezing;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chest pain;fainting;feeling of warmth;fever;increased sweating;partial or slight paralysis;redness of the face, neck, arms, and occasionally, upper chest;shakiness and unsteady walk;shakiness in the legs, arms, hands, or feet;swelling of the feet or lower legs;trembling or shaking of the hands or feet;unsteadiness, trembling, or other problems with muscle control or coordination;arm, back, or jaw pain;black, tarry stools;bleeding gums;blood in the urine or stools;blurred vision;chest discomfort;chest tightness or heaviness;chills;confusion;convulsions;cough;decrease in the frequency of urination;decrease in urine volume;difficulty in passing urine (dribbling);difficulty with breathing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;frequent urination;general feeling of discomfort or illness;headache;increased volume of pale, dilute urine;nausea;nervousness;noisy breathing;painful or difficult urination;pinpoint red spots on the skin;pounding in the ears;sensation of pins and needles;slow or fast heartbeat;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stabbing pain;sweating;swollen glands;thickening of bronchial secretions;troubled breathing;unusual bleeding or bruising;unusual tiredness or weakness;yellow eyes or skin;blurred vision or seeing spots;abdominal or stomach pain;acid or sour stomach;anxiety or mental depression;belching;constipation;continuing ringing or buzzing or other unexplained noise in the ears;depression;diarrhea;feeling of constant movement of self or surroundings;general feeling of discomfort or illness;hearing loss;heartburn;indigestion;lack or loss of strength;loss of appetite;sensation of spinning;sleepiness or unusual drowsiness;sleeplessness;skin rash;stomach discomfort, upset, or pain;trouble with sleeping;unable to sleep;weight loss;bloated;change in color vision;change in taste;cracks in the skin;decreased awareness or responsiveness;decreased interest in sexual intercourse;difficulty seeing at night;difficulty with moving;dry mouth;excess air or gas in the stomach or intestines;eye pain  or irritation;false or unusual sense of well-being;feeling of unreality;full feeling;hair loss or thinning of the hair;hives or welts;inability to have or keep an erection;increased sensitivity of the eyes to sunlight;itching skin;joint pain;lack of feeling or emotion;loss in sexual ability, desire, drive, or performance;loss of heat from the body;loss of memory;muscle aching or cramping;muscle pain or stiffness;passing gas;problems with memory;red, swollen skin;scaly skin;sense of detachment from self or body;severe sleepiness;swollen joints;swollen lips, mouth, or tongue;uncaring uncontrolled eye movements;or",,,,,,,,
9,9,Multaq,,,,,,,,,,,"chest pain or discomfort;lightheadedness, dizziness, or fainting;shortness of breath;slow or irregular heartbeat;unusual tiredness;abdominal or stomach pain, severe;chills;cough;dark urine;fever;general feeling of discomfort or illness;loss of appetite;nausea or vomiting;thickening of bronchial secretions;unusual tiredness or weakness;yellow eyes or skin;diarrhea;lack or loss of strength;acid or sour stomach;belching;blistering, crusting, irritation, itching, or reddening of the skin;cracked, dry, or scaly skin;heartburn;indigestion;itching skin;rash;redness or discoloration of the skin;skin rash, encrusted, scaly, and oozing;skin rash, hives, itching, or redness;stomach discomfort, upset, or pain;swelling;change in taste;increased sensitivity of the skin to sunlight;loss of taste;severe sunburn",,,,,,,,
