,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,Abilify,,,,,,,,,,,"difficulty with speaking;drooling;loss of balance control;muscle trembling, jerking, or stiffness;restlessness;shuffling walk;stiffness of the limbs;twisting movements of the body;uncontrolled movements, especially of the face, neck, and back;blurred vision;dizziness;headache;inability to move the eyes;increased blinking or spasms of the eyelid;nervousness;pounding in the ears;slow or fast heartbeat;sticking out the tongue;trouble with breathing or swallowing;unusual facial expressions;convulsions;fast heartbeat;high fever;high or low blood pressure;increased sweating;lip smacking or puckering;loss of bladder control;muscle spasm or jerking of all extremities;puffing of the cheeks;rapid or worm-like movements of the tongue;severe muscle stiffness;sudden loss of consciousness;tiredness;uncontrolled chewing movements;uncontrolled movements of the arms and legs;unusually pale skin;hives or welts, itching, or skin rash;itching, puffiness, or swelling of the eyelids or around the eyes, face, lips, or tongue;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;redness of the skin;tightness in the chest;unusual tiredness or weakness;bigger, dilated, or enlarged pupils (black part of the eye);diarrhea;fast, pounding, or irregular heartbeat or pulse;increased sensitivity of the eyes to light;lack or loss of strength;nausea;sleepiness or unusual drowsiness;vomiting;acid or sour stomach;anxiety;belching;blurred vision;difficulty having a bowel movement (stool);dry mouth;fear;fever;headache;heartburn;hyperventilation;inability to sit still;indigestion;irritability;lightheadedness;need to keep moving;nervousness;rash;runny nose;shaking;sore throat;stomach discomfort, upset, or pain;trouble sleeping;weight gain;accidental injury;bloating or swelling of the face, arms, hands, lower legs, or feet;body aches or pain;congestion;coughing;difficulty with moving;dryness or soreness of the throat;hoarseness;increased appetite;increased salivation;joint pain;muscle aching or cramping;muscle pains or stiffness;rapid weight gain;sneezing;stuffy nose;swollen joints;tender, swollen glands in the neck;tingling of the hands or feet;tremor;unusual weight gain or loss;voice changes;or",,,,,,,,
1,1,Risperdal,,,,,,,,,,,"aggressive behavior;agitation;anxiety;changes in vision, including blurred vision;difficulty concentrating;difficulty speaking or swallowing;inability to move the eyes;increase in amount of urine;loss of balance control;mask-like face;memory problems;muscle spasms of the face, neck, and back;problems with urination;restlessness or need to keep moving (severe);shuffling walk;skin rash or itching;stiffness or weakness of the arms or legs;tic-like or twitching movements;trembling and shaking of the fingers and hands;trouble sleeping;twisting body movements;back pain;chest pain;speech or vision problems;sudden weakness or numbness in the face, arms, or legs;confusion;dizziness;drowsiness;extreme thirst;fast, shallow breathing;fast, weak heartbeat;headache;increased thirst;lip smacking or puckering;loss of appetite;muscle cramps;pale, clammy skin;poor coordination;prolonged, painful, inappropriate erection of the penis;puffing of the cheeks;rapid or worm-like movements of the tongue;shivering;talking, feeling, and acting with excitement and activity that cannot be controlled;uncontrolled chewing movements;uncontrolled twisting movements of neck, trunk, arms, or legs;unusual bleeding or bruising;unusual facial expressions or body positions;constipation;cough;diarrhea;dry mouth;headache;heartburn;increased dream activity;increased length of sleep;nausea;sleepiness or unusual drowsiness;sore throat;stuffy or runny nose;unusual tiredness or weakness;weight gain;absent, missed, or irregular menstrual periods;body aches or pain;breast swelling or soreness;chills;dandruff;darkening of skin color;decreased interest in sexual intercourse;dry skin;ear congestion;fever;inability to have or keep an erection;increase in body movements;increased watering of the mouth;joint pain;loss in sexual ability, desire, drive, or performance;loss of voice;oily skin;pain or tenderness around the eyes and cheekbones;shortness of breath or troubled breathing;sneezing;stomach pain;stopping of menstrual bleeding;tightness in the chest;toothache;unusual breast milk production;vomiting;weight loss;or",,,,,,,,
2,2,risperidone,,,,,,,,,,,"aggressive behavior;agitation;anxiety;changes in vision, including blurred vision;difficulty concentrating;difficulty speaking or swallowing;inability to move the eyes;increase in amount of urine;loss of balance control;mask-like face;memory problems;muscle spasms of the face, neck, and back;problems with urination;restlessness or need to keep moving (severe);shuffling walk;skin rash or itching;stiffness or weakness of the arms or legs;tic-like or twitching movements;trembling and shaking of the fingers and hands;trouble sleeping;twisting body movements;back pain;chest pain;speech or vision problems;sudden weakness or numbness in the face, arms, or legs;confusion;dizziness;drowsiness;extreme thirst;fast, shallow breathing;fast, weak heartbeat;headache;increased thirst;lip smacking or puckering;loss of appetite;muscle cramps;pale, clammy skin;poor coordination;prolonged, painful, inappropriate erection of the penis;puffing of the cheeks;rapid or worm-like movements of the tongue;shivering;talking, feeling, and acting with excitement and activity that cannot be controlled;uncontrolled chewing movements;uncontrolled twisting movements of neck, trunk, arms, or legs;unusual bleeding or bruising;unusual facial expressions or body positions;constipation;cough;diarrhea;dry mouth;headache;heartburn;increased dream activity;increased length of sleep;nausea;sleepiness or unusual drowsiness;sore throat;stuffy or runny nose;unusual tiredness or weakness;weight gain;absent, missed, or irregular menstrual periods;body aches or pain;breast swelling or soreness;chills;dandruff;darkening of skin color;decreased interest in sexual intercourse;dry skin;ear congestion;fever;inability to have or keep an erection;increase in body movements;increased watering of the mouth;joint pain;loss in sexual ability, desire, drive, or performance;loss of voice;oily skin;pain or tenderness around the eyes and cheekbones;shortness of breath or troubled breathing;sneezing;stomach pain;stopping of menstrual bleeding;tightness in the chest;toothache;unusual breast milk production;vomiting;weight loss;or",,,,,,,,
3,3,Effexor,,,,,,,,,,,"high blood pressure;lack or loss of strength;severe headache;sweating;blurred vision;chest pain;fast or irregular heartbeat;mood or mental changes;ringing or buzzing in the ears;suicidal thoughts;actions that are out of control;convulsions;high fever;high or low blood pressure;irritability;itching or skin rash;lightheadedness or fainting, especially when getting up suddenly from a sitting or lying position;menstrual changes;nervousness;problems with urinating or holding urine;severe muscle stiffness;talking, feeling, and acting with excitement that you cannot control;trouble breathing;unusually pale skin;agitation;bloody, black, or tarry stools;bloody stool or urine;confusion;dark urine;decreased frequency or amount of urine;diarrhea;drowsiness;fever;general feeling of tiredness or weakness;headache;increased thirst;light-colored stools;muscle cramps, spasms, or pain;nausea or vomiting;nosebleeds;overactive reflexes;poor coordination;red or purple spots on skin;restlessness;shivering;stomach pain on upper right side;swelling of the face, lower legs, ankles, hands, or fingers;trembling or shaking that is hard to control;twitching;unusual bruising;unusual tiredness or weakness;vomiting of blood or material that looks like coffee grounds;yellow eyes or skin;abnormal dreams;chills;constipation;decrease in sexual desire or ability;diarrhea;drowsiness;dry mouth;heartburn;increased sweating;loss of appetite;nausea;stomach pain or gas;stuffy or runny nose;tingling, burning, or prickly sensations;trembling or shaking;trouble sleeping;unusual tiredness or weakness;vomiting;weight loss;change in taste;muscle tension;yawning;night sweats;or",,,,,,,,
4,4,Geodon,,,,,,,,,,,"cough;difficulty with speaking;drooling;fear or nervousness;fever;inability to sit still;loss of balance control;muscle trembling, jerking, or stiffness;need to keep moving;restlessness;shuffling walk;sneezing;sore throat;stiffness of the limbs;twisting movements of the body;uncontrolled movements, especially of the face, neck, and back;blurred vision;body aches or pain;chest pain;congestion;dizziness;fast, pounding, or irregular heartbeat or pulse;headache;hoarseness;pounding in the ears;runny nose;slow or fast heartbeat;swelling of the tongue;tender, swollen glands in the neck;trouble with swallowing;voice changes;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;persistent, painful erection;seizures;inability to move the eyes;increased blinking or spasms of the eyelid;sticking out of tongue;trouble with breathing;uncontrolled twisting movements of the neck, trunk, arms, or legs;unusual facial expressions;acid or sour stomach;belching;constipation;diarrhea;heartburn;indigestion;lack or loss of strength;nausea;rash;stomach discomfort, upset, or pain;weakness;weight gain;blistering, crusting, irritation, itching, or reddening of the skin;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in vision;cracked, dry, or scaly skin;depression;difficulty with moving;dry mouth;increase in salivation;itching or reddening of the skin;joint pain;loss of appetite;muscle ache;muscle pains or stiffness;muscle tightness;stuffy nose;swelling;swollen joints;vomiting;weakness of the arms and legs;weight loss;or",,,,,,,,
5,5,Risperdal M-Tab,,,,,,,,,,,"aggressive behavior;agitation;anxiety;changes in vision, including blurred vision;difficulty concentrating;difficulty speaking or swallowing;inability to move the eyes;increase in amount of urine;loss of balance control;mask-like face;memory problems;muscle spasms of the face, neck, and back;problems with urination;restlessness or need to keep moving (severe);shuffling walk;skin rash or itching;stiffness or weakness of the arms or legs;tic-like or twitching movements;trembling and shaking of the fingers and hands;trouble sleeping;twisting body movements;back pain;chest pain;speech or vision problems;sudden weakness or numbness in the face, arms, or legs;confusion;dizziness;drowsiness;extreme thirst;fast, shallow breathing;fast, weak heartbeat;headache;increased thirst;lip smacking or puckering;loss of appetite;muscle cramps;pale, clammy skin;poor coordination;prolonged, painful, inappropriate erection of the penis;puffing of the cheeks;rapid or worm-like movements of the tongue;shivering;talking, feeling, and acting with excitement and activity that cannot be controlled;uncontrolled chewing movements;uncontrolled twisting movements of neck, trunk, arms, or legs;unusual bleeding or bruising;unusual facial expressions or body positions;constipation;cough;diarrhea;dry mouth;headache;heartburn;increased dream activity;increased length of sleep;nausea;sleepiness or unusual drowsiness;sore throat;stuffy or runny nose;unusual tiredness or weakness;weight gain;absent, missed, or irregular menstrual periods;body aches or pain;breast swelling or soreness;chills;dandruff;darkening of skin color;decreased interest in sexual intercourse;dry skin;ear congestion;fever;inability to have or keep an erection;increase in body movements;increased watering of the mouth;joint pain;loss in sexual ability, desire, drive, or performance;loss of voice;oily skin;pain or tenderness around the eyes and cheekbones;shortness of breath or troubled breathing;sneezing;stomach pain;stopping of menstrual bleeding;tightness in the chest;toothache;unusual breast milk production;vomiting;weight loss;or",,,,,,,,
6,6,Effexor XR,,,,,,,,,,,"high blood pressure;lack or loss of strength;severe headache;sweating;blurred vision;chest pain;fast or irregular heartbeat;mood or mental changes;ringing or buzzing in the ears;suicidal thoughts;actions that are out of control;convulsions;high fever;high or low blood pressure;irritability;itching or skin rash;lightheadedness or fainting, especially when getting up suddenly from a sitting or lying position;menstrual changes;nervousness;problems with urinating or holding urine;severe muscle stiffness;talking, feeling, and acting with excitement that you cannot control;trouble breathing;unusually pale skin;agitation;bloody, black, or tarry stools;bloody stool or urine;confusion;dark urine;decreased frequency or amount of urine;diarrhea;drowsiness;fever;general feeling of tiredness or weakness;headache;increased thirst;light-colored stools;muscle cramps, spasms, or pain;nausea or vomiting;nosebleeds;overactive reflexes;poor coordination;red or purple spots on skin;restlessness;shivering;stomach pain on upper right side;swelling of the face, lower legs, ankles, hands, or fingers;trembling or shaking that is hard to control;twitching;unusual bruising;unusual tiredness or weakness;vomiting of blood or material that looks like coffee grounds;yellow eyes or skin;abnormal dreams;chills;constipation;decrease in sexual desire or ability;diarrhea;drowsiness;dry mouth;heartburn;increased sweating;loss of appetite;nausea;stomach pain or gas;stuffy or runny nose;tingling, burning, or prickly sensations;trembling or shaking;trouble sleeping;unusual tiredness or weakness;vomiting;weight loss;change in taste;muscle tension;yawning;night sweats;or",,,,,,,,
7,7,aripiprazole,,,,,,,,,,,"difficulty with speaking;drooling;loss of balance control;muscle trembling, jerking, or stiffness;restlessness;shuffling walk;stiffness of the limbs;twisting movements of the body;uncontrolled movements, especially of the face, neck, and back;blurred vision;dizziness;headache;inability to move the eyes;increased blinking or spasms of the eyelid;nervousness;pounding in the ears;slow or fast heartbeat;sticking out the tongue;trouble with breathing or swallowing;unusual facial expressions;convulsions;fast heartbeat;high fever;high or low blood pressure;increased sweating;lip smacking or puckering;loss of bladder control;muscle spasm or jerking of all extremities;puffing of the cheeks;rapid or worm-like movements of the tongue;severe muscle stiffness;sudden loss of consciousness;tiredness;uncontrolled chewing movements;uncontrolled movements of the arms and legs;unusually pale skin;hives or welts, itching, or skin rash;itching, puffiness, or swelling of the eyelids or around the eyes, face, lips, or tongue;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;redness of the skin;tightness in the chest;unusual tiredness or weakness;bigger, dilated, or enlarged pupils (black part of the eye);diarrhea;fast, pounding, or irregular heartbeat or pulse;increased sensitivity of the eyes to light;lack or loss of strength;nausea;sleepiness or unusual drowsiness;vomiting;acid or sour stomach;anxiety;belching;blurred vision;difficulty having a bowel movement (stool);dry mouth;fear;fever;headache;heartburn;hyperventilation;inability to sit still;indigestion;irritability;lightheadedness;need to keep moving;nervousness;rash;runny nose;shaking;sore throat;stomach discomfort, upset, or pain;trouble sleeping;weight gain;accidental injury;bloating or swelling of the face, arms, hands, lower legs, or feet;body aches or pain;congestion;coughing;difficulty with moving;dryness or soreness of the throat;hoarseness;increased appetite;increased salivation;joint pain;muscle aching or cramping;muscle pains or stiffness;rapid weight gain;sneezing;stuffy nose;swollen joints;tender, swollen glands in the neck;tingling of the hands or feet;tremor;unusual weight gain or loss;voice changes;or",,,,,,,,
8,8,venlafaxine,,,,,,,,,,,"high blood pressure;lack or loss of strength;severe headache;sweating;blurred vision;chest pain;fast or irregular heartbeat;mood or mental changes;ringing or buzzing in the ears;suicidal thoughts;actions that are out of control;convulsions;high fever;high or low blood pressure;irritability;itching or skin rash;lightheadedness or fainting, especially when getting up suddenly from a sitting or lying position;menstrual changes;nervousness;problems with urinating or holding urine;severe muscle stiffness;talking, feeling, and acting with excitement that you cannot control;trouble breathing;unusually pale skin;agitation;bloody, black, or tarry stools;bloody stool or urine;confusion;dark urine;decreased frequency or amount of urine;diarrhea;drowsiness;fever;general feeling of tiredness or weakness;headache;increased thirst;light-colored stools;muscle cramps, spasms, or pain;nausea or vomiting;nosebleeds;overactive reflexes;poor coordination;red or purple spots on skin;restlessness;shivering;stomach pain on upper right side;swelling of the face, lower legs, ankles, hands, or fingers;trembling or shaking that is hard to control;twitching;unusual bruising;unusual tiredness or weakness;vomiting of blood or material that looks like coffee grounds;yellow eyes or skin;abnormal dreams;chills;constipation;decrease in sexual desire or ability;diarrhea;drowsiness;dry mouth;heartburn;increased sweating;loss of appetite;nausea;stomach pain or gas;stuffy or runny nose;tingling, burning, or prickly sensations;trembling or shaking;trouble sleeping;unusual tiredness or weakness;vomiting;weight loss;change in taste;muscle tension;yawning;night sweats;or",,,,,,,,
9,9,ziprasidone,,,,,,,,,,,"cough;difficulty with speaking;drooling;fear or nervousness;fever;inability to sit still;loss of balance control;muscle trembling, jerking, or stiffness;need to keep moving;restlessness;shuffling walk;sneezing;sore throat;stiffness of the limbs;twisting movements of the body;uncontrolled movements, especially of the face, neck, and back;blurred vision;body aches or pain;chest pain;congestion;dizziness;fast, pounding, or irregular heartbeat or pulse;headache;hoarseness;pounding in the ears;runny nose;slow or fast heartbeat;swelling of the tongue;tender, swollen glands in the neck;trouble with swallowing;voice changes;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;persistent, painful erection;seizures;inability to move the eyes;increased blinking or spasms of the eyelid;sticking out of tongue;trouble with breathing;uncontrolled twisting movements of the neck, trunk, arms, or legs;unusual facial expressions;acid or sour stomach;belching;constipation;diarrhea;heartburn;indigestion;lack or loss of strength;nausea;rash;stomach discomfort, upset, or pain;weakness;weight gain;blistering, crusting, irritation, itching, or reddening of the skin;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in vision;cracked, dry, or scaly skin;depression;difficulty with moving;dry mouth;increase in salivation;itching or reddening of the skin;joint pain;loss of appetite;muscle ache;muscle pains or stiffness;muscle tightness;stuffy nose;swelling;swollen joints;vomiting;weakness of the arms and legs;weight loss;or",,,,,,,,
