,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,tramadol,,,,,,,,,,,"abdominal or stomach fullness;abnormal or decreased touch sensation;blisters under the skin;bloating;blood in the urine;blood pressure increased;blurred vision;change in walking and balance;chest pain or discomfort;chills;convulsions (seizures);darkened urine;difficult urination;dizziness or lightheadedness when getting up from a lying or sitting position;fainting;fast heartbeat;frequent urge to urinate;gaseous abdominal or stomach pain;heart rate increased;indigestion;irregular heartbeat;loss of memory;numbness and tingling of the face, fingers, or toes;numbness, tingling, pain, or weakness in the hands or feet;pain in the arms, legs, or lower back, especially pain in the calves or heels upon exertion;pain or discomfort in the arms, jaw, back, or neck;pains in the stomach, side, or abdomen, possibly radiating to the back;pale bluish-colored or cold hands or feet;recurrent fever;seeing, hearing, or feeling things that are not there;severe cramping;severe nausea;severe redness, swelling, and itching of the skin;shortness of breath;sweats;trembling and shaking of the hands or feet;trouble performing routine tasks;weak or absent pulses in the legs;yellow eyes or skin;change in consciousness;decreased awareness or responsiveness;difficulty with breathing;lack of muscle tone;lightheadedness;loss of consciousness;pinpointed pupils of the eyes;severe sleepiness;shortness of breath;slow or irregular heartbeat;unusual tiredness;abdominal or stomach pain;agitation;anxiety;constipation;cough;diarrhea;discouragement;drowsiness;dry mouth;feeling of warmth;feeling sad or empty;feeling unusually cold;fever;general feeling of discomfort or illness;headache;heartburn;irritability;itching of the skin;joint pain;loss of appetite;loss of interest or pleasure;loss of strength or weakness;muscle aches and pains;nausea;nervousness;redness of the face, neck, arms, and occasionally, upper chest;restlessness;runny nose;shivering;skin rash;sleepiness or unusual drowsiness;sore throat;stuffy nose;sweating;tiredness;trouble concentrating;unusual feeling of excitement;weakness;abnormal dreams;appetite decreased;back pain;bladder pain;blistering, crusting, irritation, itching, or reddening of the skin;bloody or cloudy urine;body aches or pain;change in hearing;clamminess;cold flu-like symptoms;confusion;cough producing mucus;cracked, dry, or scaly skin;decreased interest in sexual intercourse;difficult, burning, or painful urination;difficulty with moving;disturbance in attention;ear congestion;ear drainage;earache or pain in ear;excessive gas;fall;false or unusual sense of well-being;feeling hot;feeling jittery;flushing or redness of the skin;general feeling of bodily discomfort;goosebumps;headache, severe and throbbing;hoarseness;hot flashes;inability to have or keep an erection;itching, pain, redness, swelling, tenderness, or warmth on the skin;joint sprain;joint stiffness;joint swelling;loss in sexual ability, desire, drive, or performance;loss of voice;lower back or side pain;muscle aching or cramping;muscle injury;muscle pain or stiffness;muscle spasms or twitching;nasal congestion;neck pain;night sweats;pain;pain in the limbs;pain or tenderness around the eyes and cheekbones;pain, swelling, or redness in the joints;skin discoloration;swelling;swelling of the hands, ankles, feet, or lower legs;tightness of the chest;trouble in holding or releasing urine;trouble with sleeping;troubled breathing;weight increased or decreased;gooseflesh;high blood pressure;increased sweating;increased yawning;shivering or trembling;unusually large pupils;or",,,,,,,,
1,1,Norco,,,,,,,,,,,"dizziness;lightheadedness;back, leg, or stomach pains;black, tarry stools;bleeding gums;blood in the urine or stools;blood in vomit;bluish lips or skin;chills;choking;cough or hoarseness;dark urine;decrease in the frequency of urination;decrease in urine volume;difficult or troubled breathing;difficulty in passing urine (dribbling);difficulty with breathing;difficulty with swallowing;fast heartbeat;fever;fever with or without chills;general body swelling;general feeling of tiredness or weakness;headache;irregular, fast or slow, or shallow breathing;light-colored stools;loss of appetite;lower back or side pain;nausea or vomiting;nosebleeds;not breathing;painful or difficult urination;pale or blue lips, fingernails, or skin;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;severe or continuing stomach pain;skin rash, hives, or itching;sore throat;sore tongue;sores, ulcers, or white spots on the lips or in the mouth;tightness in the chest;unable to speak;unusual bleeding or bruising;unusual tiredness or weakness;upper right abdominal or stomach pain;yellow eyes and skin;bloody or cloudy urine;change in consciousness;chest pain or discomfort;cold and clammy skin;decreased awareness or responsiveness;extreme drowsiness;general feeling of discomfort or illness;increased sweating;irregular heartbeat;lightheadedness, dizziness, or fainting;loss of consciousness;no blood pressure or pulse;no muscle tone or movement;not breathing;severe sleepiness;slow or irregular heartbeat;stopping of heart;sudden decrease in the amount of urine;unconsciousness;unpleasant breath odor;drowsiness;relaxed and calm;sleepiness;belching;changes in mood;difficulty having a bowel movement (stool);fear or nervousness;feeling of indigestion;hearing loss;impaired hearing;pain in the chest below the breastbone;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness",,,,,,,,
2,2,acetaminophen / hydrocodone,,,,,,,,,,,"dizziness;lightheadedness;back, leg, or stomach pains;black, tarry stools;bleeding gums;blood in the urine or stools;blood in vomit;bluish lips or skin;chills;choking;cough or hoarseness;dark urine;decrease in the frequency of urination;decrease in urine volume;difficult or troubled breathing;difficulty in passing urine (dribbling);difficulty with breathing;difficulty with swallowing;fast heartbeat;fever;fever with or without chills;general body swelling;general feeling of tiredness or weakness;headache;irregular, fast or slow, or shallow breathing;light-colored stools;loss of appetite;lower back or side pain;nausea or vomiting;nosebleeds;not breathing;painful or difficult urination;pale or blue lips, fingernails, or skin;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;severe or continuing stomach pain;skin rash, hives, or itching;sore throat;sore tongue;sores, ulcers, or white spots on the lips or in the mouth;tightness in the chest;unable to speak;unusual bleeding or bruising;unusual tiredness or weakness;upper right abdominal or stomach pain;yellow eyes and skin;bloody or cloudy urine;change in consciousness;chest pain or discomfort;cold and clammy skin;decreased awareness or responsiveness;extreme drowsiness;general feeling of discomfort or illness;increased sweating;irregular heartbeat;lightheadedness, dizziness, or fainting;loss of consciousness;no blood pressure or pulse;no muscle tone or movement;not breathing;severe sleepiness;slow or irregular heartbeat;stopping of heart;sudden decrease in the amount of urine;unconsciousness;unpleasant breath odor;drowsiness;relaxed and calm;sleepiness;belching;changes in mood;difficulty having a bowel movement (stool);fear or nervousness;feeling of indigestion;hearing loss;impaired hearing;pain in the chest below the breastbone;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness",,,,,,,,
3,3,Ultram,,,,,,,,,,,"abdominal or stomach fullness;abnormal or decreased touch sensation;blisters under the skin;bloating;blood in the urine;blood pressure increased;blurred vision;change in walking and balance;chest pain or discomfort;chills;convulsions (seizures);darkened urine;difficult urination;dizziness or lightheadedness when getting up from a lying or sitting position;fainting;fast heartbeat;frequent urge to urinate;gaseous abdominal or stomach pain;heart rate increased;indigestion;irregular heartbeat;loss of memory;numbness and tingling of the face, fingers, or toes;numbness, tingling, pain, or weakness in the hands or feet;pain in the arms, legs, or lower back, especially pain in the calves or heels upon exertion;pain or discomfort in the arms, jaw, back, or neck;pains in the stomach, side, or abdomen, possibly radiating to the back;pale bluish-colored or cold hands or feet;recurrent fever;seeing, hearing, or feeling things that are not there;severe cramping;severe nausea;severe redness, swelling, and itching of the skin;shortness of breath;sweats;trembling and shaking of the hands or feet;trouble performing routine tasks;weak or absent pulses in the legs;yellow eyes or skin;change in consciousness;decreased awareness or responsiveness;difficulty with breathing;lack of muscle tone;lightheadedness;loss of consciousness;pinpointed pupils of the eyes;severe sleepiness;shortness of breath;slow or irregular heartbeat;unusual tiredness;abdominal or stomach pain;agitation;anxiety;constipation;cough;diarrhea;discouragement;drowsiness;dry mouth;feeling of warmth;feeling sad or empty;feeling unusually cold;fever;general feeling of discomfort or illness;headache;heartburn;irritability;itching of the skin;joint pain;loss of appetite;loss of interest or pleasure;loss of strength or weakness;muscle aches and pains;nausea;nervousness;redness of the face, neck, arms, and occasionally, upper chest;restlessness;runny nose;shivering;skin rash;sleepiness or unusual drowsiness;sore throat;stuffy nose;sweating;tiredness;trouble concentrating;unusual feeling of excitement;weakness;abnormal dreams;appetite decreased;back pain;bladder pain;blistering, crusting, irritation, itching, or reddening of the skin;bloody or cloudy urine;body aches or pain;change in hearing;clamminess;cold flu-like symptoms;confusion;cough producing mucus;cracked, dry, or scaly skin;decreased interest in sexual intercourse;difficult, burning, or painful urination;difficulty with moving;disturbance in attention;ear congestion;ear drainage;earache or pain in ear;excessive gas;fall;false or unusual sense of well-being;feeling hot;feeling jittery;flushing or redness of the skin;general feeling of bodily discomfort;goosebumps;headache, severe and throbbing;hoarseness;hot flashes;inability to have or keep an erection;itching, pain, redness, swelling, tenderness, or warmth on the skin;joint sprain;joint stiffness;joint swelling;loss in sexual ability, desire, drive, or performance;loss of voice;lower back or side pain;muscle aching or cramping;muscle injury;muscle pain or stiffness;muscle spasms or twitching;nasal congestion;neck pain;night sweats;pain;pain in the limbs;pain or tenderness around the eyes and cheekbones;pain, swelling, or redness in the joints;skin discoloration;swelling;swelling of the hands, ankles, feet, or lower legs;tightness of the chest;trouble in holding or releasing urine;trouble with sleeping;troubled breathing;weight increased or decreased;gooseflesh;high blood pressure;increased sweating;increased yawning;shivering or trembling;unusually large pupils;or",,,,,,,,
4,4,Vicodin,,,,,,,,,,,"dizziness;lightheadedness;back, leg, or stomach pains;black, tarry stools;bleeding gums;blood in the urine or stools;blood in vomit;bluish lips or skin;chills;choking;cough or hoarseness;dark urine;decrease in the frequency of urination;decrease in urine volume;difficult or troubled breathing;difficulty in passing urine (dribbling);difficulty with breathing;difficulty with swallowing;fast heartbeat;fever;fever with or without chills;general body swelling;general feeling of tiredness or weakness;headache;irregular, fast or slow, or shallow breathing;light-colored stools;loss of appetite;lower back or side pain;nausea or vomiting;nosebleeds;not breathing;painful or difficult urination;pale or blue lips, fingernails, or skin;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;severe or continuing stomach pain;skin rash, hives, or itching;sore throat;sore tongue;sores, ulcers, or white spots on the lips or in the mouth;tightness in the chest;unable to speak;unusual bleeding or bruising;unusual tiredness or weakness;upper right abdominal or stomach pain;yellow eyes and skin;bloody or cloudy urine;change in consciousness;chest pain or discomfort;cold and clammy skin;decreased awareness or responsiveness;extreme drowsiness;general feeling of discomfort or illness;increased sweating;irregular heartbeat;lightheadedness, dizziness, or fainting;loss of consciousness;no blood pressure or pulse;no muscle tone or movement;not breathing;severe sleepiness;slow or irregular heartbeat;stopping of heart;sudden decrease in the amount of urine;unconsciousness;unpleasant breath odor;drowsiness;relaxed and calm;sleepiness;belching;changes in mood;difficulty having a bowel movement (stool);fear or nervousness;feeling of indigestion;hearing loss;impaired hearing;pain in the chest below the breastbone;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness",,,,,,,,
5,5,ibuprofen,,,,,,,,,,,"abdominal pain;acid or sour stomach;belching;bloating;cloudy urine;decrease in amount of urine;decrease in urine output or decrease in urine-concentrating ability;diarrhea;difficulty having a bowel movement (stool);excess air or gas in stomach or intestines;full feeling;heartburn;indigestion;itching skin;pain or discomfort in chest, upper stomach, or throat;pale skin;passing gas;nausea;noisy, rattling breathing;rash with flat lesions or small raised lesions on the skin;shortness of breath;swelling of face, fingers, hands, feet, lower legs, or ankles;troubled breathing at rest;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;vomiting;weight gain;abdominal cramps;stomach soreness or discomfort;agitation;back, leg, or stomach pains;bleeding gums;blistering, peeling, loosening of skin;blood in urine or stools;bloody, black, or tarry stools;blurred vision;burning feeling in chest or stomach;change in vision;chest pain;chills;clay-colored stools;coma;confusion;constipation;cough or hoarseness;dark urine;decreased urine output;depression;difficulty breathing;difficulty swallowing;dilated neck veins;dizziness;dry mouth;extreme fatigue;fast, irregular, pounding, or racing heartbeat or pulse;fever with or without chills;frequent urination;general body swelling;general feeling of tiredness or weakness;hair loss, thinning of hair;headache;hives or welts;hostility;impaired vision;increased blood pressure;increased volume of pale, dilute urine;irregular breathing;irritability;itching;joint or muscle pain;lab results that show problems with liver;lethargy;light-colored stools;loss of appetite;lower back or side pain;muscle twitching;nosebleeds;painful or difficult urination;pains in stomach, side, or abdomen, possibly radiating to the back;pinpoint red spots on skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rash;red skin lesions, often with a purple center;red, irritated eyes;redness of skin;seizures;severe abdominal pain, cramping, burning;severe and continuing nausea;sore throat;sores, ulcers, or white spots in mouth or on lips;stiff neck or back;stomach upset;stupor;swollen or painful glands;tenderness in stomach area;thirst;tightness in chest;unpleasant breath odor;upper right abdominal pain;vomiting of blood;vomiting of material that looks like coffee grounds;wheezing;yellow eyes and skin;bluish lips or skin;difficulty sleeping;disorientation;dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly;drowsiness to profound coma;hallucination;lightheadedness or fainting;mood or other mental changes;muscle tremors;not breathing;rapid, deep breathing;restlessness;slow or irregular heartbeat;stomach cramps;sudden fainting;sweating;continuing ringing or buzzing or other unexplained noise in ears;hearing loss;nervousness;crying;depersonalization;discouragement;dry eyes;dysphoria;euphoria;feeling sad or empty;lack of appetite;loss of interest or pleasure;mental depression;paranoia;quick to react or overreact;rapidly changing moods;runny nose;sleepiness or unusual drowsiness;sleeplessness;sneezing;stuffy nose;trouble concentrating;trouble sleeping;unable to sleep;or",,,,,,,,
6,6,naproxen,,,,,,,,,,,"belching;bruising;difficult or labored breathing;feeling of indigestion;headache;itching skin;large, flat, blue, or purplish patches in the skin;pain in the chest below the breastbone;skin eruptions;stomach pain;swelling;tightness in the chest;bloating;bloody or black, tarry stools;blurred or loss of vision;burning upper abdominal or stomach pain;cloudy urine;constipation;decrease in urine output or decrease in urine-concentrating ability;disturbed color perception;double vision;fast, irregular, pounding, or racing heartbeat or pulse;halos around lights;indigestion;loss of appetite;nausea or vomiting;night blindness;overbright appearance of lights;pale skin;pinpoint red or purple spots on the skin;severe and continuing nausea;severe stomach burning, cramping, or pain;skin rash;swelling or inflammation of the mouth;troubled breathing with exertion;tunnel vision;unusual bleeding or bruising;unusual tiredness or weakness;vomiting of material that looks like coffee grounds;weight loss;anxiety;back or leg pains;bleeding gums;blindness;blistering, peeling, or loosening of the skin;blood in the urine or stools;blue lips and fingernails;canker sores;change in the ability to see colors, especially blue or yellow;chest pain or discomfort;clay-colored stools;cold sweats;coma;confusion;cool, pale skin;cough or hoarseness;coughing that sometimes produces a pink frothy sputum;cracks in the skin;darkened urine;decreased vision;depression;diarrhea;difficult, burning, or painful urination;difficult, fast, or noisy breathing;difficulty with swallowing;dilated neck veins;dizziness;dry cough;dry mouth;early appearance of redness, or swelling of the skin;excess air or gas in the stomach;extreme fatigue;eye pain;fainting;fever with or without chills;fluid-filled skin blisters;flushed, dry skin;frequent urination;fruit-like breath odor;greatly decreased frequency of urination or amount of urine;hair loss;high fever;hives;increased hunger;increased sensitivity of the skin to sunlight;increased sweating;increased thirst;increased urination;increased volume of pale, dilute urine;irregular breathing;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;late appearance of rash with or without weeping blisters that become crusted, especially in sun-exposed areas of skin, may extend to unexposed areas;light-colored stools;lightheadedness;loss of heat from the body;lower back or side pain;nervousness;nightmares;no blood pressure;no breathing;no pulse;nosebleeds;numbness or tingling in the hands, feet, or lips;pain in the ankles or knees;pain or burning in the throat;pain or discomfort in the arms, jaw, back, or neck;painful, red lumps under the skin, mostly on the legs;pains in the stomach, side, or abdomen, possibly radiating to the back;pale or blue lips, fingernails, or skin;pounding in the ears;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rapid, shallow breathing;red, irritated eyes;red skin lesions, often with a purple center;red-green color blindness;redness or other discoloration of the skin;redness, swelling, or soreness of the tongue;scaly skin;seizures;severe sunburn;shakiness;skin thinness;slurred speech;sneezing;sore throat;sores, ulcers, or white spots on the lips or tongue or inside the mouth;sores, welting, or blisters;spots on your skin resembling a blister or pimple;stiff neck or back;stomach cramps or tenderness;stomach upset;swelling in the legs and ankles;swelling of the face, fingers, feet, or lower legs;swollen, painful, or tender lymph glands in the neck, armpit, or groin;tiny bumps on the inner lining of the eyelid;unexplained weight loss;unpleasant breath odor;watery or bloody diarrhea;weakness or heaviness of the legs;weight gain;yellow eyes or skin;bleeding under the skin;confusion about identity, place, and time;muscle tremors;restlessness;sleepiness;continuing ringing or buzzing or other unexplained noise in the ears;hearing loss;acid or sour stomach;change in hearing;feeling of constant movement of self or surroundings;passing gas;sensation of spinning;stomach soreness or discomfort;appetite changes;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;burning, dry, or itching eyes;difficulty with moving;discharge, excessive tearing;general feeling of discomfort or illness;lack or loss of strength;menstrual changes;muscle aching, cramping, stiffness, or weakness;not able to concentrate;redness, pain, or swelling of the eye, eyelid, or inner lining of the eyelid;seeing, hearing, or feeling things that are not there;shakiness in the legs, arms, hands, or feet;swollen joints;trembling or shaking of the hands or feet;trouble getting pregnant;trouble performing routine tasks;trouble sleeping;unusual drowsiness, dullness, or feeling of sluggishness;or",,,,,,,,
7,7,Lortab,,,,,,,,,,,"dizziness;lightheadedness;back, leg, or stomach pains;black, tarry stools;bleeding gums;blood in the urine or stools;blood in vomit;bluish lips or skin;chills;choking;cough or hoarseness;dark urine;decrease in the frequency of urination;decrease in urine volume;difficult or troubled breathing;difficulty in passing urine (dribbling);difficulty with breathing;difficulty with swallowing;fast heartbeat;fever;fever with or without chills;general body swelling;general feeling of tiredness or weakness;headache;irregular, fast or slow, or shallow breathing;light-colored stools;loss of appetite;lower back or side pain;nausea or vomiting;nosebleeds;not breathing;painful or difficult urination;pale or blue lips, fingernails, or skin;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;severe or continuing stomach pain;skin rash, hives, or itching;sore throat;sore tongue;sores, ulcers, or white spots on the lips or in the mouth;tightness in the chest;unable to speak;unusual bleeding or bruising;unusual tiredness or weakness;upper right abdominal or stomach pain;yellow eyes and skin;bloody or cloudy urine;change in consciousness;chest pain or discomfort;cold and clammy skin;decreased awareness or responsiveness;extreme drowsiness;general feeling of discomfort or illness;increased sweating;irregular heartbeat;lightheadedness, dizziness, or fainting;loss of consciousness;no blood pressure or pulse;no muscle tone or movement;not breathing;severe sleepiness;slow or irregular heartbeat;stopping of heart;sudden decrease in the amount of urine;unconsciousness;unpleasant breath odor;drowsiness;relaxed and calm;sleepiness;belching;changes in mood;difficulty having a bowel movement (stool);fear or nervousness;feeling of indigestion;hearing loss;impaired hearing;pain in the chest below the breastbone;unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness",,,,,,,,
8,8,Cymbalta,,,,,,,,,,,"abdominal or stomach pain;area rash;blindness;blistering, peeling, or loosening of the skin;blurred vision;change in consciousness;chills;clay-colored stools;cold sweats;confusion;convulsions;dark urine;decreased urine output;decreased vision;difficulty swallowing;dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position;eye pain;fainting;fast or irregular heartbeat;general tiredness or weakness;hives or welts, itching, or skin rash;hives, itching, puffiness, or swelling of the eyelids or around the eyes, face, lips, or tongue;increased thirst;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;light-colored stools;loss of consciousness;red skin lesions, often with a purple center;red, irritated eyes;redness of the skin;sores, ulcers, or white spots in the mouth or on the lips;swelling of the face, ankles, or hands;tearing;tightness in the chest;unpleasant breath odor;upper right stomach pain;vomiting of blood;yellow eyes and skin;agitation;diarrhea;fever;loss of bladder control;muscle spasm or jerking of all extremities;overactive reflexes;poor coordination;restlessness;shivering;sleepiness or unusual drowsiness;sudden loss of consciousness;sweating;talking or acting with excitement you cannot control;trembling or shaking;twitching;unusual tiredness or weakness;vomiting;body aches or pain;cough;difficulty having a bowel movement (stool);dry mouth;ear congestion;frequent urination;headache;lack or loss of strength;loss of appetite;loss of voice;muscle aches;nausea;sleepiness or unusual drowsiness;sneezing;sore throat;stuffy or runny nose;sweating increased;trouble sleeping;weight loss;abnormal orgasm;acid or sour stomach;belching;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste;change or problem with discharge of semen;decreased interest in sexual intercourse;difficulty with moving;feeling of warmth or redness of the face, neck, arms, and occasionally, upper chest;heartburn;inability to have or keep an erection;indigestion;joint pain;longer than usual time to ejaculation of semen;loose stools;loss in sexual ability, desire, drive, or performance;loss of taste;muscle aching or cramping;muscle pains or stiffness;shakiness in the legs, arms, hands, or feet;stomach discomfort or upset;sudden sweating;swollen joints;trembling or shaking of the hands or feet;or",,,,,,,,
9,9,diclofenac,,,,,,,,,,,"abdominal or stomach bloating, burning, cramping, or pain;belching;bloody or black, tarry stools;cloudy urine;constipation;decrease in urine output or decrease in urine-concentrating ability;diarrhea;dizziness;feeling of indigestion;headache;increased bleeding time;itching skin or rash;loss of appetite;nausea and vomiting;pain in the chest below the breastbone;pale skin;severe stomach pain;swelling;troubled breathing with exertion;unusual bleeding or bruising;unusual tiredness or weakness;vomiting of blood or material that looks like coffee grounds;weight loss;agitation;blurred vision;change in consciousness;change in the ability to see colors, especially blue or yellow;confusion;depression;difficult or troubled breathing;hives;hostility;irregular, fast or slow, or shallow breathing;irritability;loss of consciousness;muscle twitching;nervousness;pain or discomfort in the chest, upper stomach, or throat;pale or blue lips, fingernails, or skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;rapid weight gain;seizures;sleepiness;slow or fast heartbeat;stupor;swelling of the face, ankles, or hands;tightness in the chest;trouble sleeping;unusual drowsiness, dullness, or feeling of sluggishness;continuing ringing or buzzing or other unexplained noise in the ears;excess air or gas in the stomach or intestines;hearing loss;lack or loss of strength;passing gas;or",,,,,,,,
