,Unnamed: 0,Brand Name,Generic Name,Type of Treatment,Brief Description,Quantity,Location,Uninsured Cost,Typical Copay,Rating,Vendor,Effectiveness,Side Effects / Risk,Ingredients,Usage Overview,Conflicting Treatment/Therapies,Food Interaction,Frequency of Treatment,Estimated Percentage of Usage,Additional Information,Reference Link
0,0,omeprazole,,,,,,,,,,,"back, leg, or stomach pain;bleeding or crusting sores on the lips;blisters;bloody or cloudy urine;chills;continuing ulcers or sores in the mouth;difficult, burning, or painful urination;fever;frequent urge to urinate;general feeling of discomfort or illness;joint pain;loss of appetite;muscle aches or cramps;pain;red or irritated eyes;redness, tenderness, itching, burning, or peeling of the skin;skin rash or itching;sore throat;sores, ulcers, or white spots on the lips, in the mouth, or on the genitals;unusual bleeding or bruising;unusual tiredness or weakness;drowsiness;fast, racing, or uneven heartbeat;mood or mental changes;muscle spasms (tetany) or twitching seizures;nausea or vomiting;trembling;blurred vision;confusion;dryness of the mouth;flushing;headache;increased sweating;body aches or pain;chest pain;constipation;cough;diarrhea or loose stools;difficulty with breathing;dizziness;ear congestion;gas;heartburn;loss of voice;muscle pain;nasal congestion;runny nose;sneezing;unusual drowsiness;or",,,,,,,,
1,1,Nexium,,,,,,,,,,,"blistering, peeling, or loosening of the skin;bloating;chills;constipation;cough;darkened urine;difficulty with swallowing;dizziness;drowsiness;fast heartbeat;fever;indigestion;joint or muscle pain;loss of appetite;mood or mental changes;muscle spasms (tetany) or twitching;nausea;pains in the stomach, side, or abdomen, possibly radiating to the back;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red skin lesions, often with a purple center;red, irritated eyes;seizures;skin rash, hives, itching;sore throat;sores, ulcers, or white spots in the mouth or on the lips;tightness in the chest;trembling;unusual tiredness or weakness;vomiting;yellow eyes or skin;bad, unusual, or unpleasant (after) taste;change in taste;sleepiness or unusual drowsiness;acne;back pain;agitation;dry mouth;excess air or gas in the stomach or intestines;full feeling;hair loss or thinning of the hair;muscular weakness;passing gas;seeing, hearing, or feeling things that are not there;swelling of the breasts or breast soreness in both females and males;swelling or inflammation of the mouth;swollen joints;or",,,,,,,,
2,2,Prilosec,,,,,,,,,,,"back, leg, or stomach pain;bleeding or crusting sores on the lips;blisters;bloody or cloudy urine;chills;continuing ulcers or sores in the mouth;difficult, burning, or painful urination;fever;frequent urge to urinate;general feeling of discomfort or illness;joint pain;loss of appetite;muscle aches or cramps;pain;red or irritated eyes;redness, tenderness, itching, burning, or peeling of the skin;skin rash or itching;sore throat;sores, ulcers, or white spots on the lips, in the mouth, or on the genitals;unusual bleeding or bruising;unusual tiredness or weakness;drowsiness;fast, racing, or uneven heartbeat;mood or mental changes;muscle spasms (tetany) or twitching seizures;nausea or vomiting;trembling;blurred vision;confusion;dryness of the mouth;flushing;headache;increased sweating;body aches or pain;chest pain;constipation;cough;diarrhea or loose stools;difficulty with breathing;dizziness;ear congestion;gas;heartburn;loss of voice;muscle pain;nasal congestion;runny nose;sneezing;unusual drowsiness;or",,,,,,,,
3,3,pantoprazole,,,,,,,,,,,"abdominal or stomach pain;blurred vision;dry mouth;flushed, dry skin;fruit-like breath odor;increased hunger;increased thirst;increased urination;nausea;sweating;troubled breathing;unexplained weight loss;vomiting;absence of or decrease in body movements;blindness;blistering, peeling, or loosening of the skin;bloating;bloody or cloudy urine;bloody, black, or tarry stools;blurred vision;chills;clay-colored stools;constipation;continuous ringing or buzzing or other unexplained noise in the ears;cough;dark-colored urine;decreased vision;diarrhea;difficulty with speaking;difficulty with swallowing;dizziness or lightheadedness;drowsiness;fast heartbeat;feeling of constant movement of self or surroundings;fever;general feeling of tiredness or weakness;greatly decreased frequency of urination or amount of urine;headache;hearing loss;high fever;hives, itching, or skin rash;indigestion;joint pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;light-colored stools;loss of appetite;mood or mental changes;muscle cramps;muscle pain or stiffness;muscle spasms (tetany) or twitching;pains in the stomach, side, or abdomen, possibly radiating to the back;pale skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red skin lesions, often with a purple center;red, irritated eyes;seizures;sensation of spinning;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stomach pain, continuing;swelling of the feet or lower legs;swollen glands;tightness in the chest;trembling;unexplained bleeding or bruising;unpleasant breath odor;unusual tiredness or weakness;vomiting of blood;yellow eyes or skin;belching;bloated or full feeling;excess air or gas in the stomach or intestines;passing gas;trouble sleeping;increased watering of the mouth;or",,,,,,,,
4,4,Protonix,,,,,,,,,,,"abdominal or stomach pain;blurred vision;dry mouth;flushed, dry skin;fruit-like breath odor;increased hunger;increased thirst;increased urination;nausea;sweating;troubled breathing;unexplained weight loss;vomiting;absence of or decrease in body movements;blindness;blistering, peeling, or loosening of the skin;bloating;bloody or cloudy urine;bloody, black, or tarry stools;blurred vision;chills;clay-colored stools;constipation;continuous ringing or buzzing or other unexplained noise in the ears;cough;dark-colored urine;decreased vision;diarrhea;difficulty with speaking;difficulty with swallowing;dizziness or lightheadedness;drowsiness;fast heartbeat;feeling of constant movement of self or surroundings;fever;general feeling of tiredness or weakness;greatly decreased frequency of urination or amount of urine;headache;hearing loss;high fever;hives, itching, or skin rash;indigestion;joint pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;light-colored stools;loss of appetite;mood or mental changes;muscle cramps;muscle pain or stiffness;muscle spasms (tetany) or twitching;pains in the stomach, side, or abdomen, possibly radiating to the back;pale skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red skin lesions, often with a purple center;red, irritated eyes;seizures;sensation of spinning;sore throat;sores, ulcers, or white spots on the lips or in the mouth;stomach pain, continuing;swelling of the feet or lower legs;swollen glands;tightness in the chest;trembling;unexplained bleeding or bruising;unpleasant breath odor;unusual tiredness or weakness;vomiting of blood;yellow eyes or skin;belching;bloated or full feeling;excess air or gas in the stomach or intestines;passing gas;trouble sleeping;increased watering of the mouth;or",,,,,,,,
5,5,Dexilant,,,,,,,,,,,"burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;chest pain or discomfort;chest tightness or heaviness;confusion;continuing stomach pain;diarrhea;difficult or labored breathing;fast, irregular, pounding, or racing heartbeat or pulse;fever;headache;incoherent speech;joint pain, stiffness, or swelling;lightheadedness, dizziness, or fainting;muscle pain, cramps, or weakness;nausea or vomiting;numbness or tingling in the hands, feet, or lips;pain or discomfort in the arms, jaw, leg, back, or neck;pounding in the ears;rash or hives;shakiness in the legs, arms, hands, or feet;sweating;swelling of the eyelids, face, lips, hands, or feet;swollen, painful, or tender lymph glands in the neck, armpit, or groin;unusual bleeding or bruising;vomiting of blood or material that looks like coffee grounds;watery or bloody diarrhea;blistering, peeling, or loosening of the skin;chills;cough;drowsiness;muscle spasms (tetany) or twitching;red skin lesions, often with a purple center;red, irritated eyes;seizures;sores, ulcers, or white spots in the mouth or on the lips;swelling of the body, feet, or ankles;trembling;unusual weight gain;abnormal dreams;body aches or pain;bloated or full feeling;burning or itching around the anus;change in taste or bad, unusual, or unpleasant (after) taste;continuing ringing or buzzing or other unexplained noise in the ears;difficult or painful urination;difficulty with moving;ear congestion;ear pain;excess air or gas in the stomach or intestines;falls;feeling of constant movement of self or surroundings;loss in sexual ability, desire, drive, or performance;loss of voice;metallic taste;muscle or bone pain;nasal congestion;passing gas;redness of the face, neck, arms, and occasionally, upper chest;runny nose;sensation of spinning;sneezing;sore throat;sunburn;trouble sleeping;or",,,,,,,,
6,6,esomeprazole,,,,,,,,,,,"blistering, peeling, or loosening of the skin;bloating;chills;constipation;cough;darkened urine;difficulty with swallowing;dizziness;drowsiness;fast heartbeat;fever;indigestion;joint or muscle pain;loss of appetite;mood or mental changes;muscle spasms (tetany) or twitching;nausea;pains in the stomach, side, or abdomen, possibly radiating to the back;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red skin lesions, often with a purple center;red, irritated eyes;seizures;skin rash, hives, itching;sore throat;sores, ulcers, or white spots in the mouth or on the lips;tightness in the chest;trembling;unusual tiredness or weakness;vomiting;yellow eyes or skin;bad, unusual, or unpleasant (after) taste;change in taste;sleepiness or unusual drowsiness;acne;back pain;agitation;dry mouth;excess air or gas in the stomach or intestines;full feeling;hair loss or thinning of the hair;muscular weakness;passing gas;seeing, hearing, or feeling things that are not there;swelling of the breasts or breast soreness in both females and males;swelling or inflammation of the mouth;swollen joints;or",,,,,,,,
7,7,Prevacid,,,,,,,,,,,"diarrhea;skin rash or itching;abdominal or stomach pain;increased or decreased appetite;joint pain;nausea;vomiting;anxiety;cold or flu-like symptoms;constipation;increased cough;mental depression;muscle pain;rectal bleeding;unusual bleeding or bruising;abdominal or stomach tenderness;back or leg pains;bleeding gums;blistering, peeling, or loosening of the skin;bloating;bloody, black, or tarry stools;change in mental status;chest pain;chills;clay colored stools;cough or hoarseness;dark or bloody urine;difficulty with swallowing;drowsiness;fast heartbeat;fever;general body swelling;high fever;hives;indigestion;loss of appetite;lower back or side pain;mood or mental changes;muscle spasms (tetany) or twitching seizures;nosebleeds;painful or difficult urination;pains in the stomach, side, or abdomen, possibly radiating to the back;pale skin;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red, irritated eyes;red skin lesions, often with a purple center;seizures;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swelling of the feet or lower legs;swollen or painful glands;tightness in the chest;trembling;unusual tiredness or weakness;yellow eyes or skin;dizziness;headache;bleeding, blistering, burning, coldness, or discoloration of the skin;mild nausea;acid or sour stomach;bad, unusual or unpleasant (after) taste;belching;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste;feeling faint, dizzy, or lightheaded;feeling of heat or warmth;flushing or redness of the skin, especially on the face and neck;mild diarrhea;mild headache;mild vomiting;stomach discomfort or upset;sweating;decrease in passing urine (dribbling);decrease in the frequency of urination;decrease in urine volume;difficulty with speaking;or",,,,,,,,
8,8,Aciphex,,,,,,,,,,,"bloating or swelling of the face, arms, hands, lower legs, or feet;cough or hoarseness;dark urine;dry mouth;fever or chills;general tiredness and weakness;light-colored stools;lower back or side pain;nausea and vomiting;painful or difficult urination;rapid weight gain;tingling of the hands or feet;unusual weight gain or loss;yellow eyes and skin;bloody urine;continuing ulcers or sores in the mouth;convulsions (seizures);difficulty with breathing;sore throat;unusual bleeding or bruising;unusual tiredness or weakness;back, leg, or stomach pains;bleeding gums;blood in the urine or stools;bloody, black, or tarry stools;change in consciousness;clay-colored stools;cloudy urine;confusion about identity, place, person, and time;continuing nausea or vomiting;difficulty with swallowing;dizziness;drowsiness;fast heartbeat;general body swelling;general feeling of tiredness or weakness;greatly decreased frequency of urination or amount of urine;headache;high fever;hives, itching, or skin rash;holding false beliefs that cannot be changed by fact;increase in the frequency of seizures;joint or muscle pain;large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs;loss of appetite;loss of consciousness;mood or mental changes;muscle cramps;muscle pain or stiffness;muscle spasms (tetany) or twitching;no blood pressure;no breathing;no pulse;nosebleeds;pale skin;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;seeing, hearing, or feeling things that are not there;skin blisters;sores, ulcers, or white spots on the lips or in the mouth;swollen glands;tightness in the chest;trembling;unpleasant breath odor;unusual excitement, nervousness, or restlessness;vomiting of blood;bad, unusual, or unpleasant (after) taste;change in taste;body aches or pain;congestion;constipation;diarrhea;excess air or gas in the stomach or intestines;feeling weak;full feeling;heartburn;numbness, tingling, pain, or weakness in the hands or feet;pain;passing gas;runny nose;sleepiness;swollen joints;tender, swollen glands in the neck;voice changes;blistering, peeling, or loosening of the skin;red, irritated eyes;red skin lesions, often with a purple center;or",,,,,,,,
9,9,lansoprazole,,,,,,,,,,,"diarrhea;skin rash or itching;abdominal or stomach pain;increased or decreased appetite;joint pain;nausea;vomiting;anxiety;cold or flu-like symptoms;constipation;increased cough;mental depression;muscle pain;rectal bleeding;unusual bleeding or bruising;abdominal or stomach tenderness;back or leg pains;bleeding gums;blistering, peeling, or loosening of the skin;bloating;bloody, black, or tarry stools;change in mental status;chest pain;chills;clay colored stools;cough or hoarseness;dark or bloody urine;difficulty with swallowing;drowsiness;fast heartbeat;fever;general body swelling;high fever;hives;indigestion;loss of appetite;lower back or side pain;mood or mental changes;muscle spasms (tetany) or twitching seizures;nosebleeds;painful or difficult urination;pains in the stomach, side, or abdomen, possibly radiating to the back;pale skin;pinpoint red spots on the skin;puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue;red, irritated eyes;red skin lesions, often with a purple center;seizures;sore throat;sores, ulcers, or white spots on the lips or in the mouth;swelling of the feet or lower legs;swollen or painful glands;tightness in the chest;trembling;unusual tiredness or weakness;yellow eyes or skin;dizziness;headache;bleeding, blistering, burning, coldness, or discoloration of the skin;mild nausea;acid or sour stomach;bad, unusual or unpleasant (after) taste;belching;burning, crawling, itching, numbness, prickling, ""pins and needles"", or tingling feelings;change in taste;feeling faint, dizzy, or lightheaded;feeling of heat or warmth;flushing or redness of the skin, especially on the face and neck;mild diarrhea;mild headache;mild vomiting;stomach discomfort or upset;sweating;decrease in passing urine (dribbling);decrease in the frequency of urination;decrease in urine volume;difficulty with speaking;or",,,,,,,,
